name,position,age,nation,club,value,confederation,league
Junior Diaz,Centre-Back,22.0,Cote d'Ivoire,Stade Brestois 29,€4.00m,AFC,
Rafik Guitane,Right Winger,26.0,Algeria,GD Estoril Praia,€4.00m,AFC,
Morgan Guilavogui,Right Winger,27.0,Guinea,RC Lens,€4.00m,AFC,
Anthony Dennis,Defensive Midfield,21.0,Nigeria,Göztepe,€4.00m,AFC,
Ayman El Wafi,Centre-Back,21.0,Morocco,FC Lugano,€4.00m,AFC,
Philip Otele,Left Winger,26.0,Nigeria,FC Basel 1893,€4.00m,AFC,
Kamory Doumbia,Attacking Midfield,22.0,Mali,Stade Brestois 29,€4.00m,AFC,
Nobel Mendy,Centre-Back,20.0,Senegal,Real Betis Balompié,€4.00m,AFC,
Mory Gbane,Defensive Midfield,24.0,Cote d'Ivoire,Stade Reims,€4.00m,AFC,
Christopher Operi,Left-Back,28.0,Cote d'Ivoire,Basaksehir FK,€3.80m,AFC,
Ibrahim Sadiq,Right Winger,25.0,Ghana,AZ Alkmaar,€3.50m,AFC,
Amine El Ouazzani,Centre-Forward,24.0,Morocco,SC Braga,€3.50m,AFC,
Louey Ben Farhat,Attacking Midfield,19.0,Tunisia,Karlsruher SC,€3.00m,AFC,
Jeffrey Schlupp,Left Midfield,32.0,Ghana,Without Club,€3.00m,AFC,
Mohamed Bamba,Defensive Midfield,20.0,Cote d'Ivoire,Gil Vicente FC,€3.00m,AFC,
Prince Kwabena Adu,Centre-Forward,21.0,Ghana,FC Viktoria Plzen,€3.00m,AFC,
Ibrahim Salah,Left Winger,23.0,Morocco,Stade Rennais FC,€3.00m,AFC,
Joyskim Dawa,Centre-Back,29.0,Cameroon,FCSB,€3.00m,AFC,
Makhtar Gueye,Centre-Forward,27.0,Senegal,Blackburn Rovers,€3.00m,AFC,
Abdoulaye Touré,Defensive Midfield,31.0,Guinea,Le Havre AC,€3.00m,AFC,
Frank Magri,Centre-Forward,25.0,Cameroon,FC Toulouse,€3.00m,AFC,
Dermane Karim,Defensive Midfield,21.0,Togo,Lommel SK,€3.00m,AFC,
Amin Chiakha,Centre-Forward,19.0,Algeria,FC Copenhagen,€3.00m,AFC,
Moussa N'Diaye,Left-Back,23.0,Senegal,RSC Anderlecht,€3.00m,AFC,
Obinna Nwobodo,Defensive Midfield,28.0,Nigeria,FC Cincinnati,€3.00m,AFC,
Kings Kangwa,Central Midfield,26.0,Zambia,Hapoel Beer Sheva,€3.00m,AFC,
Emmanuel Uchenna,Centre-Back,21.0,Nigeria,AC Sparta Prague,€3.00m,AFC,
Aliou Dieng,Defensive Midfield,27.0,Mali,Al Ahly FC,€3.00m,AFC,
Henry Onyekuru,Left Winger,28.0,Nigeria,Genclerbirligi Ankara,€3.00m,AFC,
Seydouba Cissé,Central Midfield,24.0,Guinea,CD Leganés,€3.00m,AFC,
Warmed Omari,Centre-Back,25.0,Comoros,Stade Rennais FC,€3.00m,AFC,
Kiki Kouyaté,Centre-Back,28.0,Mali,Montpellier HSC,€3.00m,AFC,
Yvan Neyou,Defensive Midfield,28.0,Cameroon,Getafe CF,€3.00m,AFC,
Lazare Amani,Central Midfield,27.0,Cote d'Ivoire,Union Saint-Gilloise,€3.00m,AFC,
Modibo Sagnan,Centre-Back,26.0,Mali,Montpellier HSC,€3.00m,AFC,
Steve Kapuadi,Centre-Back,27.0,DR Congo,Legia Warszawa,€3.00m,AFC,
Arthur Masuaku,Left-Back,31.0,DR Congo,Without Club,€3.00m,AFC,
Youssef Maleh,Central Midfield,26.0,Morocco,US Lecce,€3.20m,AFC,
Adil Boulbina,Left Winger,22.0,Algeria,Al-Duhail SC,€3.20m,AFC,
Clinton Mata,Centre-Back,32.0,Angola,Olympique Lyon,€3.50m,AFC,
Nouhou,Left-Back,28.0,Cameroon,Seattle Sounders FC,€3.50m,AFC,
Kodjo Laba,Centre-Forward,33.0,Togo,Al-Ain FC,€3.50m,AFC,
Antoine Makoumbou,Defensive Midfield,27.0,Congo,Samsunspor,€3.50m,AFC,
Bongokuhle Hlongwane,Right Winger,25.0,South Africa,Minnesota United FC,€3.50m,AFC,
Adama Traoré,Right Winger,30.0,Mali,Ferencvárosi TC,€3.50m,AFC,
Zizo,Right Winger,29.0,Egypt,Al Ahly FC,€3.50m,AFC,
Farid El Melali,Left Winger,28.0,Algeria,Without Club,€3.50m,AFC,
Sofiane Boufal,Left Winger,31.0,Morocco,Union Saint-Gilloise,€3.50m,AFC,
Hassane Kamara,Left-Back,31.0,Cote d'Ivoire,Udinese Calcio,€3.50m,AFC,
Tarik Tissoudali,Centre-Forward,32.0,Morocco,Khor Fakkan SSC,€3.50m,AFC,
Sékou Koïta,Centre-Forward,25.0,Mali,CSKA Moscow,€3.50m,AFC,
Pierre-Emerick Aubameyang,Centre-Forward,36.0,Gabon,Without Club,€3.50m,AFC,
Siyabonga Ngezana,Centre-Back,28.0,South Africa,FCSB,€3.50m,AFC,
Benson Manuel,Right Winger,28.0,Angola,Burnley FC,€3.50m,AFC,
Grady Diangana,Right Winger,27.0,DR Congo,Without Club,€3.50m,AFC,
Yasser Larouci,Left-Back,24.0,Algeria,ESTAC Troyes,€3.50m,AFC,
Ibrahim Adel,Left Winger,24.0,Egypt,Al-Jazira Club,€3.50m,AFC,
Yanis Begraoui,Centre-Forward,24.0,Morocco,GD Estoril Praia,€3.50m,AFC,
Jonathan Bamba,Left Winger,29.0,Cote d'Ivoire,Chicago Fire FC,€3.50m,AFC,
Jean-Charles Castelletto,Centre-Back,30.0,Cameroon,FC Nantes,€3.50m,AFC,
Kialonda Gaspar,Centre-Back,27.0,Angola,US Lecce,€3.50m,AFC,
Brandon Thomas-Asante,Centre-Forward,26.0,Ghana,Coventry City,€3.50m,AFC,
Daniel Elfadli,Defensive Midfield,28.0,Libya,Hamburger SV,€3.50m,AFC,
Ricardo Gomes,Centre-Forward,33.0,Cape Verde,Al-Wakrah SC,€3.50m,AFC,
Prestige Mboungou,Left Winger,25.0,Congo,FK TSC Backa Topola,€3.50m,AFC,
Parfait Guiagon,Left Winger,24.0,Cote d'Ivoire,Royal Charleroi SC,€3.00m,AFC,
Reiss Nelson,Right Winger,25.0,England,Arsenal FC,€16.00m,,
Dominic Calvert-Lewin,Centre-Forward,28.0,England,Without Club,€16.00m,,
Jacob Murphy,Right Winger,30.0,England,Newcastle United,€16.00m,,
Eli Junior Kroupi,Centre-Forward,19.0,France,AFC Bournemouth,€15.00m,,
Sindre Walle Egeli,Right Winger,19.0,Norway,FC Nordsjaelland,€15.00m,,
Matías Fernández-Pardo,Centre-Forward,20.0,Spain,LOSC Lille,€15.00m,,
Mohamed-Ali Cho,Right Winger,21.0,France,OGC Nice,€15.00m,,
Andreas Schjelderup,Left Winger,21.0,Norway,SL Benfica,€15.00m,,
Jota Silva,Right Winger,25.0,Portugal,Nottingham Forest,€15.00m,,
Orri Óskarsson,Centre-Forward,20.0,Iceland,Real Sociedad,€15.00m,,
Yeremay Hernández,Left Winger,22.0,Spain,Deportivo de La Coruña,€15.00m,,
Vladyslav Vanat,Centre-Forward,23.0,Ukraine,Dynamo Kyiv,€15.00m,,
Diego López,Right Winger,23.0,Spain,Valencia CF,€15.00m,,
Ander Barrenetxea,Left Winger,23.0,Spain,Real Sociedad,€15.00m,,
Armand Laurienté,Left Winger,26.0,France,US Sassuolo,€15.00m,,
Mathias Kvistgaarden,Centre-Forward,23.0,Denmark,Norwich City,€15.00m,,
Jack Clarke,Left Winger,24.0,England,Ipswich Town,€15.00m,,
Bryan Gil,Left Winger,24.0,Spain,Tottenham Hotspur,€15.00m,,
Patrick Wimmer,Right Winger,24.0,Austria,VfL Wolfsburg,€15.00m,,
Fotis Ioannidis,Centre-Forward,25.0,Greece,Panathinaikos FC,€15.00m,,
Nikola Krstović,Centre-Forward,25.0,Montenegro,US Lecce,€15.00m,,
Ansgar Knauff,Right Winger,23.0,Germany,Eintracht Frankfurt,€15.00m,,
Ché Adams,Centre-Forward,29.0,Scotland,Torino FC,€15.00m,,
Tammy Abraham,Centre-Forward,27.0,England,Besiktas JK,€15.00m,,
Andrea Pinamonti,Centre-Forward,26.0,Italy,US Sassuolo,€15.00m,,
Harry Wilson,Right Winger,28.0,Wales,Fulham FC,€15.00m,,
Chris Führich,Left Winger,27.0,Germany,VfB Stuttgart,€15.00m,,
Ben Doak,Right Winger,19.0,Scotland,Liverpool FC,€14.00m,,
Samuel Mbangula,Left Winger,21.0,Belgium,Juventus FC,€14.00m,,
Borja Sainz,Left Winger,24.0,Spain,FC Porto,€14.00m,,
Hugo Duro,Centre-Forward,25.0,Spain,Valencia CF,€14.00m,,
Troy Parrott,Centre-Forward,23.0,Ireland,AZ Alkmaar,€14.00m,,
Maksim Glushenkov,Second Striker,25.0,Russia,Zenit St. Petersburg,€14.00m,,
Andreas Skov Olsen,Right Winger,25.0,Denmark,VfL Wolfsburg,€14.00m,,
Jack Harrison,Right Winger,28.0,England,Leeds United,€14.00m,,
Eljif Elmas,Left Winger,25.0,North Macedonia,RB Leipzig,€14.00m,,
Yunus Akgün,Right Winger,25.0,Türkiye,Galatasaray,€14.00m,,
Manor Solomon,Left Winger,25.0,Israel,Tottenham Hotspur,€14.00m,,
Federico Chiesa,Right Winger,27.0,Italy,Liverpool FC,€14.00m,,
Steven Bergwijn,Left Winger,27.0,Netherlands,Al-Ittihad Club,€14.00m,,
Franjo Ivanovic,Centre-Forward,21.0,Croatia,Union Saint-Gilloise,€13.00m,,
Noah Okafor,Left Winger,25.0,Switzerland,AC Milan,€13.00m,,
Kasper Dolberg,Centre-Forward,27.0,Denmark,RSC Anderlecht,€13.00m,,
Allan Saint-Maximin,Left Winger,28.0,France,Al-Ahli SFC,€13.00m,,
Charalampos Kostoulas,Centre-Forward,18.0,Greece,Brighton & Hove Albion,€12.00m,,
Eliezer Mayenda,Centre-Forward,20.0,Spain,Sunderland AFC,€12.00m,,
Romain Esse,Right Winger,20.0,England,Crystal Palace,€12.00m,,
Semih Kılıçsoy,Centre-Forward,19.0,Türkiye,Besiktas JK,€12.00m,,
Luca Koleosho,Right Winger,20.0,Italy,Burnley FC,€12.00m,,
Bryan Zaragoza,Left Winger,23.0,Spain,Bayern Munich,€12.00m,,
Jonathan Rowe,Left Winger,22.0,England,Olympique Marseille,€12.00m,,
Tiago Tomás,Centre-Forward,23.0,Portugal,VfL Wolfsburg,€12.00m,,
Armando Broja,Centre-Forward,23.0,Albania,Chelsea FC,€12.00m,,
Zeki Amdouni,Centre-Forward,24.0,Switzerland,Burnley FC,€12.00m,,
Thijs Dallinga,Centre-Forward,24.0,Netherlands,Bologna FC 1909,€12.00m,,
Cameron Archer,Centre-Forward,23.0,England,Southampton FC,€12.00m,,
Wilson Isidor,Centre-Forward,24.0,France,Sunderland AFC,€12.00m,,
Rodrigo Riquelme,Left Winger,25.0,Spain,Real Betis Balompié,€12.00m,,
Benedict Hollerbach,Centre-Forward,24.0,Germany,1.FSV Mainz 05,€12.00m,,
Roberto Piccoli,Centre-Forward,24.0,Italy,Cagliari Calcio,€12.00m,,
Jonas Wind,Centre-Forward,26.0,Denmark,VfL Wolfsburg,€12.00m,,
Nicolas Kühn,Right Winger,25.0,Germany,Como 1907,€12.00m,,
Marcus Edwards,Right Winger,26.0,England,Burnley FC,€12.00m,,
Robin Hack,Left Winger,26.0,Germany,Borussia Mönchengladbach,€12.00m,,
Ricardo Horta,Right Winger,30.0,Portugal,SC Braga,€12.00m,,
Adam Armstrong,Centre-Forward,28.0,England,Southampton FC,€12.00m,,
Breel Embolo,Centre-Forward,28.0,Switzerland,AS Monaco,€12.00m,,
Franck Honorat,Right Winger,28.0,France,Borussia Mönchengladbach,€12.00m,,
Robert Lewandowski,Centre-Forward,36.0,Poland,FC Barcelona,€12.00m,,
Cristiano Ronaldo,Centre-Forward,40.0,Portugal,Al-Nassr FC,€12.00m,,
Jarne Steuckers,Right Winger,23.0,Belgium,KRC Genk,€11.00m,,
Jay Stansfield,Centre-Forward,22.0,England,Birmingham City,€11.00m,,
Oğuz Aydın,Left Winger,24.0,Türkiye,Fenerbahce,€11.00m,,
Gonçalo Guedes,Left Winger,28.0,Portugal,Wolverhampton Wanderers,€11.00m,,
Álvaro Morata,Centre-Forward,32.0,Spain,Galatasaray,€11.00m,,
Francesco Camarda,Centre-Forward,17.0,Italy,US Lecce,€10.00m,,
Tyrique George,Left Winger,19.0,England,Chelsea FC,€10.00m,,
Nelson Weiper,Centre-Forward,20.0,Germany,1.FSV Mainz 05,€10.00m,,
Mika Godts,Left Winger,20.0,Belgium,Ajax Amsterdam,€10.00m,,
Tom Cannon,Centre-Forward,22.0,Ireland,Sheffield United,€10.00m,,
Loum Tchaouna,Right Winger,21.0,France,Burnley FC,€10.00m,,
Ernest Muci,Left Winger,24.0,Albania,Besiktas JK,€10.00m,,
Samuel Iling-Junior,Left Winger,21.0,England,Aston Villa,€10.00m,,
Carlos Vicente,Right Winger,26.0,Spain,Deportivo Alavés,€10.00m,,
Anastasios Douvikas,Centre-Forward,25.0,Greece,Como 1907,€10.00m,,
Morgan Whittaker,Right Winger,24.0,England,Middlesbrough FC,€10.00m,,
Youssoufa Moukoko,Centre-Forward,20.0,Germany,FC Copenhagen,€10.00m,,
Willem Geubbels,Centre-Forward,23.0,France,FC St. Gallen 1879,€10.00m,,
Zuriko Davitashvili,Left Winger,24.0,Georgia,AS Saint-Étienne,€10.00m,,
Javi Puado,Left Winger,27.0,Spain,RCD Espanyol Barcelona,€10.00m,,
Dennis Man,Right Winger,26.0,Romania,Parma Calcio 1913,€10.00m,,
Stephy Mavididi,Left Winger,27.0,England,Leicester City,€10.00m,,
Roland Sallai,Right Winger,28.0,Hungary,Galatasaray,€10.00m,,
David Brooks,Right Winger,28.0,Wales,AFC Bournemouth,€10.00m,,
Enes Ünal,Centre-Forward,28.0,Türkiye,AFC Bournemouth,€10.00m,,
Ayoze Pérez,Centre-Forward,31.0,Spain,Villarreal CF,€10.00m,,
Memphis Depay,Centre-Forward,31.0,Netherlands,Sport Club Corinthians Paulista,€10.00m,,
Matteo Politano,Right Winger,31.0,Italy,SSC Napoli,€10.00m,,
Raheem Sterling,Right Winger,30.0,England,Chelsea FC,€10.00m,,
Niclas Füllkrug,Centre-Forward,32.0,Germany,West Ham United,€10.00m,,
Nicolò Tresoldi,Centre-Forward,20.0,Germany,Club Brugge KV,€9.00m,,
Jaidon Anthony,Left Winger,25.0,England,Burnley FC,€9.00m,,
Hugo Cuypers,Centre-Forward,28.0,Belgium,Chicago Fire FC,€9.00m,,
Anders Dreyer,Right Winger,27.0,Denmark,San Diego FC,€9.00m,,
Gorka Guruzeta,Centre-Forward,28.0,Spain,Athletic Bilbao,€9.00m,,
Álex Berenguer,Left Winger,30.0,Spain,Athletic Bilbao,€9.00m,,
Rafa Silva,Second Striker,32.0,Portugal,Besiktas JK,€9.00m,,
Adama Traoré,Right Winger,29.0,Spain,Fulham FC,€9.00m,,
Julien Duranville,Left Winger,19.0,Belgium,Borussia Dortmund,€8.50m,,
Sebastiano Esposito,Second Striker,23.0,Italy,Inter Milan,€8.50m,,
Nicolò Cambiaghi,Left Winger,24.0,Italy,Bologna FC 1909,€8.50m,,
Krzysztof Piatek,Centre-Forward,30.0,Poland,Al-Duhail SC,€8.50m,,
Anan Khalaili,Right Winger,20.0,Israel,Union Saint-Gilloise,€8.00m,,
Marc Guiu,Centre-Forward,19.0,Spain,Chelsea FC,€8.00m,,
Gonzalo García,Centre-Forward,21.0,Spain,Real Madrid,€8.00m,,
Tom Watson,Left Winger,19.0,England,Brighton & Hove Albion,€8.00m,,
Yoann Cathline,Left Winger,23.0,France,FC Utrecht,€8.00m,,
Chemsdine Talbi,Right Winger,20.0,Morocco,Sunderland AFC,€8.00m,,
Carlos Forbs,Left Winger,21.0,Portugal,Club Brugge KV,€8.00m,,
Ruben van Bommel,Left Winger,20.0,Netherlands,PSV Eindhoven,€8.00m,,
Mexx Meerdink,Centre-Forward,21.0,Netherlands,AZ Alkmaar,€8.00m,,
Chermiti,Centre-Forward,21.0,Portugal,Everton FC,€8.00m,,
Jacob Ondrejka,Left Winger,22.0,Sweden,Parma Calcio 1913,€8.00m,,
Eren Dinkçi,Right Winger,23.0,Türkiye,SC Freiburg,€8.00m,,
William Bøving,Centre-Forward,22.0,Denmark,SK Sturm Graz,€8.00m,,
Ferran Jutglà,Centre-Forward,26.0,Spain,Celta de Vigo,€8.00m,,
Vitinha,Centre-Forward,25.0,Portugal,Genoa CFC,€8.00m,,
Ante Crnac,Centre-Forward,21.0,Croatia,Norwich City,€8.00m,,
Kasper Høgh,Centre-Forward,24.0,Denmark,FK Bodø/Glimt,€8.00m,,
Fisnik Asllani,Centre-Forward,22.0,Kosovo,TSG 1899 Hoffenheim,€8.00m,,
Mirlind Daku,Centre-Forward,27.0,Albania,Rubin Kazan,€8.00m,,
Sergey Pinyaev,Left Winger,20.0,Russia,Lokomotiv Moscow,€8.00m,,
David Strelec,Centre-Forward,24.0,Slovakia,Slovan Bratislava,€8.00m,,
Yann Gboho,Left Winger,24.0,France,FC Toulouse,€8.00m,,
Tyrese Campbell,Centre-Forward,25.0,England,Sheffield United,€8.00m,,
Cyril Ngonge,Right Winger,25.0,Belgium,SSC Napoli,€8.00m,,
Gaëtan Perrin,Right Winger,29.0,France,AJ Auxerre,€8.00m,,
Odsonne Edouard,Centre-Forward,27.0,France,Crystal Palace,€8.00m,,
Jota,Left Winger,26.0,Portugal,Celtic FC,€8.00m,,
Oleksandr Zubkov,Right Winger,28.0,Ukraine,Trabzonspor,€8.00m,,
Vaclav Cerny,Right Winger,27.0,Czech Republic,VfL Wolfsburg,€8.00m,,
Moussa Dembélé,Centre-Forward,29.0,France,Al-Ettifaq FC,€8.00m,,
Kiril Despodov,Right Winger,28.0,Bulgaria,PAOK Thessaloniki,€8.00m,,
Neal Maupay,Centre-Forward,28.0,France,Olympique Marseille,€8.00m,,
Andrija Zivkovic,Right Winger,29.0,Serbia,PAOK Thessaloniki,€8.00m,,
Domenico Berardi,Right Winger,30.0,Italy,US Sassuolo,€8.00m,,
Callum Wilson,Centre-Forward,33.0,England,Without Club,€8.00m,,
Hugo Álvarez,Left Winger,22.0,Spain,Celta de Vigo,€7.50m,,
Matija Frigan,Centre-Forward,22.0,Croatia,KVC Westerlo,€7.50m,,
Ismaël Gharbi,Left Winger,21.0,Spain,SC Braga,€7.50m,,
Tommy Conway,Centre-Forward,22.0,Scotland,Middlesbrough FC,€7.50m,,
Roony Bardghji,Right Winger,19.0,Sweden,FC Barcelona Atlètic,€7.50m,,
Raúl Moro,Left Winger,22.0,Spain,Ajax Amsterdam,€7.50m,,
Largie Ramazani,Left Winger,24.0,Belgium,Leeds United,€7.50m,,
Tijjani Noslin,Right Winger,26.0,Netherlands,SS Lazio,€7.50m,,
Rafa Mujica,Centre-Forward,26.0,Spain,Al-Sadd SC,€7.50m,,
Cengiz Ünder,Right Winger,28.0,Türkiye,Fenerbahce,€7.50m,,
Myrto Uzuni,Left Winger,30.0,Albania,Austin FC,€7.50m,,
Borja Mayoral,Centre-Forward,28.0,Spain,Getafe CF,€7.50m,,
Fedor Chalov,Centre-Forward,27.0,Russia,PAOK Thessaloniki,€7.50m,,
Lukas Haraslin,Left Winger,29.0,Slovakia,AC Sparta Prague,€7.50m,,
Paulinho,Centre-Forward,32.0,Portugal,Deportivo Toluca,€7.50m,,
Anthony Martial,Centre-Forward,29.0,France,AEK Athens,€7.50m,,
Sondre Ørjasæter,Left Winger,21.0,Norway,Sarpsborg 08 FF,€7.00m,,
Maxence Caqueret,Central Midfield,25.0,France,Como 1907,€16.00m,,
Gustavo Hamer,Left Midfield,28.0,Netherlands,Sheffield United,€16.00m,,
John McGinn,Central Midfield,30.0,Scotland,Aston Villa,€16.00m,,
Andrija Maksimovic,Attacking Midfield,18.0,Serbia,RB Leipzig,€15.00m,,
Sverre Nypan,Central Midfield,18.0,Norway,Manchester City,€15.00m,,
Senny Mayulu,Central Midfield,19.0,France,Paris Saint-Germain,€15.00m,,
Mateus Fernandes,Central Midfield,21.0,Portugal,Southampton FC,€15.00m,,
Yegor Yarmolyuk,Central Midfield,21.0,Ukraine,Brentford FC,€15.00m,,
Andy Diouf,Central Midfield,22.0,France,RC Lens,€15.00m,,
Rodrigo Gomes,Right Midfield,22.0,Portugal,Wolverhampton Wanderers,€15.00m,,
Samú Costa,Defensive Midfield,24.0,Portugal,RCD Mallorca,€15.00m,,
Aimar Oroz,Attacking Midfield,23.0,Spain,CA Osasuna,€15.00m,,
Cesare Casadei,Central Midfield,22.0,Italy,Torino FC,€15.00m,,
Luka Sucic,Central Midfield,22.0,Croatia,Real Sociedad,€15.00m,,
Rocco Reitz,Central Midfield,23.0,Germany,Borussia Mönchengladbach,€15.00m,,
Adrián Bernabé,Central Midfield,24.0,Spain,Parma Calcio 1913,€15.00m,,
Sergi Altimira,Central Midfield,23.0,Spain,Real Betis Balompié,€15.00m,,
Leandro Barreiro,Central Midfield,25.0,Luxembourg,SL Benfica,€15.00m,,
Sebastian Szymański,Attacking Midfield,26.0,Poland,Fenerbahce,€15.00m,,
Lewis Cook,Central Midfield,28.0,England,AFC Bournemouth,€15.00m,,
Otávio,Attacking Midfield,30.0,Portugal,Al-Nassr FC,€15.00m,,
Petar Sučić,Defensive Midfield,21.0,Croatia,Inter Milan,€14.00m,,
Alvyn Sanches,Central Midfield,22.0,Switzerland,FC Lausanne-Sport,€14.00m,,
Fabio Miretti,Central Midfield,21.0,Italy,Juventus FC,€14.00m,,
Fábio Carvalho,Attacking Midfield,22.0,Portugal,Brentford FC,€14.00m,,
Anton Stach,Defensive Midfield,26.0,Germany,Leeds United,€14.00m,,
Mathias Jensen,Central Midfield,29.0,Denmark,Brentford FC,€14.00m,,
Josh Brownhill,Central Midfield,29.0,England,Without Club,€14.00m,,
Jens Stage,Central Midfield,28.0,Denmark,SV Werder Bremen,€14.00m,,
Saša Lukić,Defensive Midfield,28.0,Serbia,Fulham FC,€14.00m,,
Ezechiel Banzuzi,Central Midfield,20.0,Netherlands,RB Leipzig,€13.00m,,
Niccolò Pisilli,Central Midfield,20.0,Italy,AS Roma,€13.00m,,
Tomás Händel,Defensive Midfield,24.0,Portugal,Vitória Guimarães SC,€13.00m,,
Kristjan Asllani,Defensive Midfield,23.0,Albania,Inter Milan,€13.00m,,
Flynn Downes,Defensive Midfield,26.0,England,Southampton FC,€13.00m,,
Cameron Puertas,Attacking Midfield,26.0,Spain,Al-Qadsiah FC,€13.00m,,
Christos Mouzakitis,Central Midfield,18.0,Greece,Olympiacos Piraeus,€12.00m,,
Victor Froholdt,Central Midfield,19.0,Denmark,FC Copenhagen,€12.00m,,
Bence Dárdai,Attacking Midfield,19.0,Hungary,VfL Wolfsburg,€12.00m,,
Soungoutou Magassa,Defensive Midfield,21.0,France,AS Monaco,€12.00m,,
Aleksey Batrakov,Attacking Midfield,20.0,Russia,Lokomotiv Moscow,€12.00m,,
Mandela Keita,Defensive Midfield,23.0,Belgium,Parma Calcio 1913,€12.00m,,
Volodymyr Brazhko,Defensive Midfield,23.0,Ukraine,Dynamo Kyiv,€12.00m,,
Jack Rudoni,Central Midfield,24.0,England,Coventry City,€12.00m,,
Tommaso Baldanzi,Attacking Midfield,22.0,Italy,AS Roma,€12.00m,,
Giovanni Fabbian,Attacking Midfield,22.0,Italy,Bologna FC 1909,€12.00m,,
Merlin Röhl,Attacking Midfield,23.0,Germany,SC Freiburg,€12.00m,,
Mario Stroeykens,Attacking Midfield,20.0,Belgium,RSC Anderlecht,€12.00m,,
Arne Engels,Central Midfield,21.0,Belgium,Celtic FC,€12.00m,,
Nicola Zalewski,Left Midfield,23.0,Poland,Inter Milan,€12.00m,,
Hayden Hackney,Defensive Midfield,23.0,England,Middlesbrough FC,€12.00m,,
Jens Cajuste,Defensive Midfield,25.0,Sweden,SSC Napoli,€12.00m,,
Daniel Bragança,Central Midfield,26.0,Portugal,Sporting CP,€12.00m,,
Ryan Yates,Central Midfield,27.0,England,Nottingham Forest,€12.00m,,
Nicolò Zaniolo,Attacking Midfield,26.0,Italy,Galatasaray,€12.00m,,
Alexis Claude-Maurice,Attacking Midfield,27.0,France,FC Augsburg,€12.00m,,
Jakub Moder,Central Midfield,26.0,Poland,Feyenoord Rotterdam,€12.00m,,
Guus Til,Attacking Midfield,27.0,Netherlands,PSV Eindhoven,€12.00m,,
Kalvin Phillips,Defensive Midfield,29.0,England,Manchester City,€12.00m,,
Jens Odgaard,Attacking Midfield,26.0,Denmark,Bologna FC 1909,€12.00m,,
Boubakary Soumaré,Defensive Midfield,26.0,France,Leicester City,€12.00m,,
Mattias Svanberg,Central Midfield,26.0,Sweden,VfL Wolfsburg,€12.00m,,
Christoph Baumgartner,Attacking Midfield,25.0,Austria,RB Leipzig,€12.00m,,
Rolando Mandragora,Defensive Midfield,28.0,Italy,ACF Fiorentina,€12.00m,,
Atakan Karazor,Defensive Midfield,28.0,Türkiye,VfB Stuttgart,€12.00m,,
Corentin Tolisso,Central Midfield,30.0,France,Olympique Lyon,€12.00m,,
Granit Xhaka,Defensive Midfield,32.0,Switzerland,Bayer 04 Leverkusen,€12.00m,,
Aleksandar Stanković,Defensive Midfield,19.0,Serbia,Inter Milan,€11.00m,,
İsmail Yüksek,Defensive Midfield,26.0,Türkiye,Fenerbahce,€11.00m,,
Christos Zafeiris,Central Midfield,22.0,Greece,SK Slavia Prague,€11.00m,,
Albert Grønbæk,Attacking Midfield,24.0,Denmark,Genoa CFC,€11.00m,,
Yacine Adli,Defensive Midfield,24.0,France,AC Milan,€11.00m,,
Mykola Shaparenko,Central Midfield,26.0,Ukraine,Dynamo Kyiv,€11.00m,,
Bryan Heynen,Central Midfield,28.0,Belgium,KRC Genk,€11.00m,,
Christian Nørgaard,Defensive Midfield,31.0,Denmark,Arsenal FC,€11.00m,,
Mathis Amougou,Central Midfield,19.0,France,RC Strasbourg Alsace,€10.00m,,
Valentin Atangana,Central Midfield,19.0,France,Stade Reims,€10.00m,,
Tom Rothe,Left Midfield,20.0,Germany,1.FC Union Berlin,€10.00m,,
Shea Charles,Defensive Midfield,21.0,Northern Ireland,Southampton FC,€10.00m,,
Manu Silva,Defensive Midfield,24.0,Portugal,SL Benfica,€10.00m,,
Jacopo Fazzini,Central Midfield,22.0,Italy,ACF Fiorentina,€10.00m,,
Leon Avdullahu,Defensive Midfield,21.0,Switzerland,TSG 1899 Hoffenheim,€10.00m,,
Félix Lemaréchal,Attacking Midfield,21.0,France,RC Strasbourg Alsace,€10.00m,,
Warren Bondo,Central Midfield,21.0,France,AC Milan,€10.00m,,
Aaron Ramsey,Attacking Midfield,22.0,England,Burnley FC,€10.00m,,
Beñat Turrientes,Central Midfield,23.0,Spain,Real Sociedad,€10.00m,,
Tom Fellows,Right Midfield,21.0,England,West Bromwich Albion,€10.00m,,
Maurits Kjaergaard,Central Midfield,22.0,Denmark,Red Bull Salzburg,€10.00m,,
Daniel Maldini,Attacking Midfield,23.0,Italy,Atalanta BC,€10.00m,,
Artem Bondarenko,Attacking Midfield,24.0,Ukraine,Shakhtar Donetsk,€10.00m,,
Pavel Sulc,Attacking Midfield,24.0,Czech Republic,FC Viktoria Plzen,€10.00m,,
Lucas Da Cunha,Central Midfield,24.0,France,Como 1907,€10.00m,,
Antonio Blanco,Defensive Midfield,25.0,Spain,Deportivo Alavés,€10.00m,,
Mads Bidstrup,Central Midfield,24.0,Denmark,Red Bull Salzburg,€10.00m,,
Patrick Osterhage,Defensive Midfield,25.0,Germany,SC Freiburg,€10.00m,,
Tommy Doyle,Central Midfield,23.0,England,Birmingham City,€10.00m,,
Toni Fruk,Attacking Midfield,24.0,Croatia,HNK Rijeka,€10.00m,,
