name,position,age,nation,club,value,confederation,league
Malcom Bokele,Centre-Back,25,Cameroon,Göztepe,€2.40m,AFC,
Maxwell Woledzi,Centre-Back,24,Ghana,Fredrikstad FK,€2.20m,AFC,
Iqraam Rayners,Centre-Forward,29,South Africa,Mamelodi Sundowns FC,€2.40m,AFC,
Mohamed Konate,Centre-Forward,27,Burkina Faso,Akhmat Grozny,€2.30m,AFC,
Teboho Mokoena,Defensive Midfield,28,South Africa,Mamelodi Sundowns FC,€2.30m,AFC,
Siaka Sidibe,Defensive Midfield,22,Mali,Al-Wasl FC,€2.30m,AFC,
Anatole Abang,Centre-Forward,29,Cameroon,Al-Bataeh CSC,€2.20m,AFC,
Hamdy Fathy,Central Midfield,30,Egypt,Al-Wakrah SC,€2.20m,AFC,
Ibrahim Olawoyin,Central Midfield,27,Nigeria,Caykur Rizespor,€2.20m,AFC,
Salim Diakite,Right-Back,25,Mali,Palermo FC,€2.20m,AFC,
Abdelkahar Kadri,Attacking Midfield,25,Algeria,KV Kortrijk,€2.20m,AFC,
David Okereke,Centre-Forward,27,Nigeria,US Cremonese,€2.20m,AFC,
Mehdi Leris,Right Winger,27,Algeria,Pisa Sporting Club,€2.20m,AFC,
Arthur Masuaku,Left-Back,31,DR Congo,Without Club,€3.00m,AFC,
Frank Magri,Centre-Forward,25,Cameroon,FC Toulouse,€3.00m,AFC,
Firas Ben Larbi,Attacking Midfield,29,Tunisia,Sharjah FC,€5.00m,AFC,
Anthony Dennis,Defensive Midfield,21,Nigeria,Göztepe,€4.00m,AFC,
Idrissa Gueye,Centre-Forward,18,Senegal,FC Metz,€4.00m,AFC,
Fashion Sakala,Centre-Forward,28,Zambia,Al-Fayha FC,€4.00m,AFC,
Moustapha Mbow,Centre-Back,25,Senegal,Paris FC,€4.00m,AFC,
Mama Balde,Centre-Forward,29,Guinea-Bissau,Stade Brestois 29,€4.00m,AFC,
Thibault Klidje,Centre-Forward,24,Togo,Hibernian FC,€4.00m,AFC,
Kamory Doumbia,Attacking Midfield,22,Mali,Stade Brestois 29,€4.00m,AFC,
Adam Aznou,Left-Back,19,Morocco,Bayern Munich,€4.00m,AFC,
Abdoulaye Ndiaye,Centre-Back,23,Senegal,ESTAC Troyes,€4.00m,AFC,
Ilay Camara,Left Midfield,22,Senegal,RSC Anderlecht,€4.00m,AFC,
Afimico Pululu,Centre-Forward,26,DR Congo,Jagiellonia Bialystok,€4.00m,AFC,
Jordan Torunarigha,Centre-Back,27,Nigeria,Hamburger SV,€4.00m,AFC,
Gideon Mensah,Left-Back,27,Ghana,AJ Auxerre,€4.00m,AFC,
Lassina Traore,Centre-Forward,24,Burkina Faso,Shakhtar Donetsk,€4.00m,AFC,
Mohamed Abdelmonem,Centre-Back,26,Egypt,OGC Nice,€4.00m,AFC,
Mohamed Belhadj Mahmoud,Defensive Midfield,25,Tunisia,FC Lugano,€4.00m,AFC,
Emam Ashour,Central Midfield,27,Egypt,Al Ahly FC,€4.00m,AFC,
Ousseynou Niang,Left Winger,23,Senegal,Union Saint-Gilloise,€4.00m,AFC,
Vakoun Bayo,Centre-Forward,28,Cote d'Ivoire,Udinese Calcio,€4.00m,AFC,
Couhaib Driouech,Left Winger,23,Morocco,PSV Eindhoven,€4.00m,AFC,
Chidera Ejuke,Left Winger,27,Nigeria,Sevilla FC,€4.00m,AFC,
Lassine Sinayoko,Centre-Forward,25,Mali,AJ Auxerre,€4.00m,AFC,
Papa Amadou Diallo,Left Winger,21,Senegal,Norwich City,€4.00m,AFC,
Christian Kouame,Centre-Forward,27,Cote d'Ivoire,ACF Fiorentina,€4.00m,AFC,
Issa Kabore,Right-Back,24,Burkina Faso,Manchester City,€4.00m,AFC,
Rafik Guitane,Right Winger,26,Algeria,GD Estoril Praia,€4.00m,AFC,
Oussama Targhalline,Defensive Midfield,23,Morocco,Feyenoord Rotterdam,€4.00m,AFC,
Morgan Guilavogui,Right Winger,27,Guinea,RC Lens,€4.00m,AFC,
Edmund Baidoo,Right Winger,19,Ghana,Red Bull Salzburg,€4.00m,AFC,
Jordan Zemura,Left-Back,25,Zimbabwe,Udinese Calcio,€4.50m,AFC,
Cherif Ndiaye,Centre-Forward,29,Senegal,Red Star Belgrade,€5.00m,AFC,
Mohamed Bamba,Centre-Forward,23,Cote d'Ivoire,FC Lorient,€5.00m,AFC,
Abdou Diallo,Centre-Back,29,Senegal,Al-Arabi SC,€5.00m,AFC,
Milson,Left Winger,25,Angola,Red Star Belgrade,€5.00m,AFC,
Abdul Mumin,Centre-Back,27,Ghana,Rayo Vallecano,€5.00m,AFC,
Osman Bukari,Right Winger,26,Ghana,Austin FC,€5.00m,AFC,
Amankwah Forson,Central Midfield,22,Ghana,Norwich City,€4.50m,AFC,
Kelechi Iheanacho,Centre-Forward,28,Nigeria,Sevilla FC,€4.50m,AFC,
Aboubakary Koita,Left Winger,26,Mauritania,AEK Athens,€4.50m,AFC,
Bernard Tekpetey,Right Winger,27,Ghana,Ludogorets Razgrad,€4.50m,AFC,
Amine Bassi,Attacking Midfield,27,Morocco,Houston Dynamo FC,€4.50m,AFC,
Mohammed Fuseini,Centre-Forward,23,Ghana,Union Saint-Gilloise,€4.50m,AFC,
Nathan Ngoumou,Right Winger,25,Cameroon,Borussia Mönchengladbach,€4.00m,AFC,
Lameck Banda,Left Winger,24,Zambia,US Lecce,€4.50m,AFC,
Hakim Ziyech,Right Winger,32,Morocco,Without Club,€4.50m,AFC,
Samuel Essende,Centre-Forward,27,DR Congo,FC Augsburg,€4.50m,AFC,
Mohamed Belloumi,Right Winger,23,Algeria,Hull City,€4.50m,AFC,
Alieu Fadera,Left Winger,23,The Gambia,Como 1907,€4.50m,AFC,
Peter Olayinka,Left Winger,29,Nigeria,Red Star Belgrade,€4.00m,AFC,
Junior Diaz,Centre-Back,22,Cote d'Ivoire,Stade Brestois 29,€4.00m,AFC,
Mario Dorgeles,Central Midfield,20,Cote d'Ivoire,SC Braga,€4.00m,AFC,
Kevin Boma,Centre-Back,22,Togo,GD Estoril Praia,€4.00m,AFC,
Danny Namaso,Centre-Forward,24,Cameroon,FC Porto,€4.00m,AFC,
Cheikh Sabaly,Left Winger,26,Senegal,FC Metz,€4.00m,AFC,
Nobel Mendy,Centre-Back,20,Senegal,Real Betis Balompié,€4.00m,AFC,
Amadou Kone,Defensive Midfield,20,Cote d'Ivoire,NEOM SC,€4.00m,AFC,
Kings Kangwa,Central Midfield,26,Zambia,Hapoel Beer Sheva,€3.00m,AFC,
Ayman El Wafi,Centre-Back,21,Morocco,FC Lugano,€4.00m,AFC,
Elias Achouri,Left Winger,26,Tunisia,FC Copenhagen,€3.50m,AFC,
Clinton Mata,Centre-Back,32,Angola,Olympique Lyon,€3.50m,AFC,
Adil Boulbina,Left Winger,22,Algeria,Al-Duhail SC,€3.20m,AFC,
Youssef Maleh,Central Midfield,26,Morocco,US Lecce,€3.20m,AFC,
Dermane Karim,Defensive Midfield,21,Togo,Lommel SK,€3.00m,AFC,
Ibrahim Salah,Left Winger,23,Morocco,Stade Rennais FC,€3.00m,AFC,
Alhassan Yusuf,Central Midfield,25,Nigeria,New England Revolution,€3.00m,AFC,
Modibo Sagnan,Centre-Back,26,Mali,Montpellier HSC,€3.00m,AFC,
Noah Fadiga,Right-Back,25,Senegal,Aris Thessaloniki,€3.00m,AFC,
Jeffrey Schlupp,Left Midfield,32,Ghana,Norwich City,€3.00m,AFC,
Joris Kayembe,Left-Back,30,DR Congo,KRC Genk,€3.00m,AFC,
Khalil Fayad,Central Midfield,21,Morocco,Montpellier HSC,€3.00m,AFC,
Makhtar Gueye,Centre-Forward,27,Senegal,Blackburn Rovers,€3.00m,AFC,
Lazare Amani,Central Midfield,27,Cote d'Ivoire,Union Saint-Gilloise,€3.00m,AFC,
Yvan Neyou,Defensive Midfield,28,Cameroon,Getafe CF,€3.00m,AFC,
Elisha Owusu,Defensive Midfield,27,Ghana,AJ Auxerre,€3.00m,AFC,
Warmed Omari,Centre-Back,25,Comoros,Stade Rennais FC,€3.00m,AFC,
Kiki Kouyate,Centre-Back,28,Mali,Montpellier HSC,€3.00m,AFC,
Sebastien Haller,Centre-Forward,31,Cote d'Ivoire,Borussia Dortmund,€3.00m,AFC,
Jackson Muleka,Centre-Forward,25,DR Congo,Al-Kholood Club,€3.00m,AFC,
Prince Kwabena Adu,Centre-Forward,21,Ghana,FC Viktoria Plzen,€3.00m,AFC,
Mamady Diambou,Defensive Midfield,22,Mali,Red Bull Salzburg,€3.00m,AFC,
Anis Slimane,Central Midfield,24,Tunisia,Norwich City,€3.00m,AFC,
Divine Teah,Central Midfield,19,Liberia,SK Slavia Prague,€3.00m,AFC,
Obinna Nwobodo,Defensive Midfield,28,Nigeria,FC Cincinnati,€3.00m,AFC,
Ricardo Gomes,Centre-Forward,33,Cape Verde,Al-Khor SC,€3.50m,AFC,
Grady Diangana,Right Winger,27,DR Congo,Without Club,€3.50m,AFC,
Adama Traore,Right Winger,30,Mali,Ferencvárosi TC,€3.50m,AFC,
Siyabonga Ngezana,Centre-Back,28,South Africa,FCSB,€3.50m,AFC,
Yaya Fofana,Central Midfield,21,Cote d'Ivoire,Stade Reims,€4.00m,AFC,
Edo Kayembe,Central Midfield,27,DR Congo,Watford FC,€4.00m,AFC,
Christopher Operi,Left-Back,28,Cote d'Ivoire,Basaksehir FK,€3.80m,AFC,
Ibrahim Sadiq,Right Winger,25,Ghana,AZ Alkmaar,€3.50m,AFC,
Zizo,Right Winger,29,Egypt,Al Ahly FC,€3.50m,AFC,
Daniel Elfadli,Defensive Midfield,28,Libya,Hamburger SV,€3.50m,AFC,
Antoine Makoumbou,Defensive Midfield,27,Congo,Samsunspor,€3.50m,AFC,
Sofiane Boufal,Left Winger,31,Morocco,Union Saint-Gilloise,€3.50m,AFC,
Jean-Charles Castelletto,Centre-Back,30,Cameroon,Al-Duhail SC,€3.50m,AFC,
Farid El Melali,Left Winger,28,Algeria,Without Club,€3.50m,AFC,
Benson Manuel,Right Winger,28,Angola,Burnley FC,€3.50m,AFC,
Kialonda Gaspar,Centre-Back,27,Angola,US Lecce,€3.50m,AFC,
Pierre-Emerick Aubameyang,Centre-Forward,36,Gabon,Without Club,€3.50m,AFC,
Jonathan Bamba,Left Winger,29,Cote d'Ivoire,Chicago Fire FC,€3.50m,AFC,
Hassane Kamara,Left-Back,31,Cote d'Ivoire,Udinese Calcio,€3.50m,AFC,
Yasser Larouci,Left-Back,24,Algeria,ESTAC Troyes,€3.50m,AFC,
Ibrahim Adel,Left Winger,24,Egypt,Al-Jazira Club,€3.50m,AFC,
Nouhou,Left-Back,28,Cameroon,Seattle Sounders FC,€3.50m,AFC,
Kodjo Laba,Centre-Forward,33,Togo,Al-Ain FC,€3.50m,AFC,
Tarik Tissoudali,Centre-Forward,32,Morocco,Khor Fakkan SSC,€3.50m,AFC,
Brandon Thomas-Asante,Centre-Forward,26,Ghana,Coventry City,€3.50m,AFC,
Romeo Amane,Central Midfield,22,Cote d'Ivoire,Rapid Vienna,€3.50m,AFC,
Yanis Begraoui,Centre-Forward,24,Morocco,GD Estoril Praia,€3.50m,AFC,
Bongokuhle Hlongwane,Right Winger,25,South Africa,Minnesota United FC,€3.50m,AFC,
Metinho,Central Midfield,22,DR Congo,FC Basel 1893,€3.00m,AFC,
Dango Ouattara,Left Winger,23,Burkina Faso,AFC Bournemouth,€28.00m,,
Reiss Nelson,Right Winger,25,England,Arsenal FC,€16.00m,,
Dominic Calvert-Lewin,Centre-Forward,28,England,Without Club,€16.00m,,
Jacob Murphy,Right Winger,30,England,Newcastle United,€16.00m,,
Eli Junior Kroupi,Centre-Forward,19,France,AFC Bournemouth,€15.00m,,
Sindre Walle Egeli,Right Winger,19,Norway,FC Nordsjaelland,€15.00m,,
Matias Fernandez-Pardo,Centre-Forward,20,Spain,LOSC Lille,€15.00m,,
Mohamed-Ali Cho,Right Winger,21,France,OGC Nice,€15.00m,,
Andreas Schjelderup,Left Winger,21,Norway,SL Benfica,€15.00m,,
Jota Silva,Right Winger,25,Portugal,Nottingham Forest,€15.00m,,
Orri Oskarsson,Centre-Forward,20,Iceland,Real Sociedad,€15.00m,,
Yeremay Hernandez,Left Winger,22,Spain,Deportivo de La Coruña,€15.00m,,
Vladyslav Vanat,Centre-Forward,23,Ukraine,Dynamo Kyiv,€15.00m,,
Diego Lopez,Right Winger,23,Spain,Valencia CF,€15.00m,,
Ander Barrenetxea,Left Winger,23,Spain,Real Sociedad,€15.00m,,
Armand Lauriente,Left Winger,26,France,US Sassuolo,€15.00m,,
Mathias Kvistgaarden,Centre-Forward,23,Denmark,Norwich City,€15.00m,,
Jack Clarke,Left Winger,24,England,Ipswich Town,€15.00m,,
Bryan Gil,Left Winger,24,Spain,Tottenham Hotspur,€15.00m,,
Patrick Wimmer,Right Winger,24,Austria,VfL Wolfsburg,€15.00m,,
Fotis Ioannidis,Centre-Forward,25,Greece,Panathinaikos FC,€15.00m,,
Nikola Krstovic,Centre-Forward,25,Montenegro,US Lecce,€15.00m,,
Ansgar Knauff,Right Winger,23,Germany,Eintracht Frankfurt,€15.00m,,
Che Adams,Centre-Forward,29,Scotland,Torino FC,€15.00m,,
Tammy Abraham,Centre-Forward,27,England,Besiktas JK,€15.00m,,
Andrea Pinamonti,Centre-Forward,26,Italy,US Sassuolo,€15.00m,,
Harry Wilson,Right Winger,28,Wales,Fulham FC,€15.00m,,
Chris Fuhrich,Left Winger,27,Germany,VfB Stuttgart,€15.00m,,
Ben Doak,Right Winger,19,Scotland,Liverpool FC,€14.00m,,
Samuel Mbangula,Left Winger,21,Belgium,SV Werder Bremen,€14.00m,,
Borja Sainz,Left Winger,24,Spain,FC Porto,€14.00m,,
Hugo Duro,Centre-Forward,25,Spain,Valencia CF,€14.00m,,
Troy Parrott,Centre-Forward,23,Ireland,AZ Alkmaar,€14.00m,,
Maksim Glushenkov,Second Striker,25,Russia,Zenit St. Petersburg,€14.00m,,
Andreas Skov Olsen,Right Winger,25,Denmark,VfL Wolfsburg,€14.00m,,
Jack Harrison,Right Winger,28,England,Leeds United,€14.00m,,
Eljif Elmas,Left Winger,25,North Macedonia,RB Leipzig,€14.00m,,
Yunus Akgun,Right Winger,25,Türkiye,Galatasaray,€14.00m,,
Manor Solomon,Left Winger,26,Israel,Tottenham Hotspur,€14.00m,,
Federico Chiesa,Right Winger,27,Italy,Liverpool FC,€14.00m,,
Steven Bergwijn,Left Winger,27,Netherlands,Al-Ittihad Club,€14.00m,,
Franjo Ivanovic,Centre-Forward,21,Croatia,Union Saint-Gilloise,€13.00m,,
Noah Okafor,Left Winger,25,Switzerland,AC Milan,€13.00m,,
Kasper Dolberg,Centre-Forward,27,Denmark,RSC Anderlecht,€13.00m,,
Allan Saint-Maximin,Left Winger,28,France,Al-Ahli SFC,€13.00m,,
Charalampos Kostoulas,Centre-Forward,18,Greece,Brighton & Hove Albion,€12.00m,,
Eliezer Mayenda,Centre-Forward,20,Spain,Sunderland AFC,€12.00m,,
Romain Esse,Right Winger,20,England,Crystal Palace,€12.00m,,
Semih Kilicsoy,Centre-Forward,19,Türkiye,Besiktas JK,€12.00m,,
Luca Koleosho,Right Winger,20,Italy,Burnley FC,€12.00m,,
Bryan Zaragoza,Left Winger,23,Spain,Bayern Munich,€12.00m,,
Jonathan Rowe,Left Winger,22,England,Olympique Marseille,€12.00m,,
Dorgeles Nene,Left Winger,22,Mali,Red Bull Salzburg,€12.00m,,
Tiago Tomas,Centre-Forward,23,Portugal,VfL Wolfsburg,€12.00m,,
Armando Broja,Centre-Forward,23,Albania,Chelsea FC,€12.00m,,
Zeki Amdouni,Centre-Forward,24,Switzerland,Burnley FC,€12.00m,,
Thijs Dallinga,Centre-Forward,24,Netherlands,Bologna FC 1909,€12.00m,,
Cameron Archer,Centre-Forward,23,England,Southampton FC,€12.00m,,
Wilson Isidor,Centre-Forward,24,France,Sunderland AFC,€12.00m,,
Rodrigo Riquelme,Left Winger,25,Spain,Real Betis Balompié,€12.00m,,
Benedict Hollerbach,Centre-Forward,24,Germany,1.FSV Mainz 05,€12.00m,,
Roberto Piccoli,Centre-Forward,24,Italy,Cagliari Calcio,€12.00m,,
Jonas Wind,Centre-Forward,26,Denmark,VfL Wolfsburg,€12.00m,,
Nicolas Kuhn,Right Winger,25,Germany,Como 1907,€12.00m,,
Marcus Edwards,Right Winger,26,England,Burnley FC,€12.00m,,
Robin Hack,Left Winger,26,Germany,Borussia Mönchengladbach,€12.00m,,
Ricardo Horta,Right Winger,30,Portugal,SC Braga,€12.00m,,
Adam Armstrong,Centre-Forward,28,England,Southampton FC,€12.00m,,
Breel Embolo,Centre-Forward,28,Switzerland,AS Monaco,€12.00m,,
Franck Honorat,Right Winger,28,France,Borussia Mönchengladbach,€12.00m,,
Robert Lewandowski,Centre-Forward,36,Poland,FC Barcelona,€12.00m,,
Cristiano Ronaldo,Centre-Forward,40,Portugal,Al-Nassr FC,€12.00m,,
Jarne Steuckers,Right Winger,23,Belgium,KRC Genk,€11.00m,,
Jay Stansfield,Centre-Forward,22,England,Birmingham City,€11.00m,,
Oguz Aydin,Left Winger,24,Türkiye,Fenerbahce,€11.00m,,
Goncalo Guedes,Left Winger,28,Portugal,Wolverhampton Wanderers,€11.00m,,
Alvaro Morata,Centre-Forward,32,Spain,Galatasaray,€11.00m,,
Francesco Camarda,Centre-Forward,17,Italy,US Lecce,€10.00m,,
Tyrique George,Left Winger,19,England,Chelsea FC,€10.00m,,
Nelson Weiper,Centre-Forward,20,Germany,1.FSV Mainz 05,€10.00m,,
Mika Godts,Left Winger,20,Belgium,Ajax Amsterdam,€10.00m,,
Tom Cannon,Centre-Forward,22,Ireland,Sheffield United,€10.00m,,
Loum Tchaouna,Right Winger,21,France,Burnley FC,€10.00m,,
Ernest Muci,Left Winger,24,Albania,Besiktas JK,€10.00m,,
Samuel Iling-Junior,Left Winger,21,England,Aston Villa,€10.00m,,
Carlos Vicente,Right Winger,26,Spain,Deportivo Alavés,€10.00m,,
Anastasios Douvikas,Centre-Forward,25,Greece,Como 1907,€10.00m,,
Morgan Whittaker,Right Winger,24,England,Middlesbrough FC,€10.00m,,
Youssoufa Moukoko,Centre-Forward,20,Germany,FC Copenhagen,€10.00m,,
Willem Geubbels,Centre-Forward,23,France,FC St. Gallen 1879,€10.00m,,
Zuriko Davitashvili,Left Winger,24,Georgia,AS Saint-Étienne,€10.00m,,
Javi Puado,Left Winger,27,Spain,RCD Espanyol Barcelona,€10.00m,,
Dennis Man,Right Winger,26,Romania,Parma Calcio 1913,€10.00m,,
Stephy Mavididi,Left Winger,27,England,Leicester City,€10.00m,,
Roland Sallai,Right Winger,28,Hungary,Galatasaray,€10.00m,,
David Brooks,Right Winger,28,Wales,AFC Bournemouth,€10.00m,,
Enes Unal,Centre-Forward,28,Türkiye,AFC Bournemouth,€10.00m,,
Ayoze Perez,Centre-Forward,31,Spain,Villarreal CF,€10.00m,,
Memphis Depay,Centre-Forward,31,Netherlands,Sport Club Corinthians Paulista,€10.00m,,
Matteo Politano,Right Winger,31,Italy,SSC Napoli,€10.00m,,
Raheem Sterling,Right Winger,30,England,Chelsea FC,€10.00m,,
Niclas Fullkrug,Centre-Forward,32,Germany,West Ham United,€10.00m,,
Nicolo Tresoldi,Centre-Forward,20,Germany,Club Brugge KV,€9.00m,,
Jaidon Anthony,Left Winger,25,England,Burnley FC,€9.00m,,
Hugo Cuypers,Centre-Forward,28,Belgium,Chicago Fire FC,€9.00m,,
Patson Daka,Centre-Forward,26,Zambia,Leicester City,€9.00m,,
Anders Dreyer,Right Winger,27,Denmark,San Diego FC,€9.00m,,
Gorka Guruzeta,Centre-Forward,28,Spain,Athletic Bilbao,€9.00m,,
Alex Berenguer,Left Winger,30,Spain,Athletic Bilbao,€9.00m,,
Rafa Silva,Second Striker,32,Portugal,Besiktas JK,€9.00m,,
Adama Traore,Right Winger,29,Spain,Fulham FC,€9.00m,,
Julien Duranville,Left Winger,19,Belgium,Borussia Dortmund,€8.50m,,
Sebastiano Esposito,Second Striker,23,Italy,Inter Milan,€8.50m,,
Nicolo Cambiaghi,Left Winger,24,Italy,Bologna FC 1909,€8.50m,,
Krzysztof Piatek,Centre-Forward,30,Poland,Al-Duhail SC,€8.50m,,
Anan Khalaili,Right Winger,20,Israel,Union Saint-Gilloise,€8.00m,,
Marc Guiu,Centre-Forward,19,Spain,Chelsea FC,€8.00m,,
Gonzalo Garcia,Centre-Forward,21,Spain,Real Madrid,€8.00m,,
Tom Watson,Left Winger,19,England,Brighton & Hove Albion,€8.00m,,
Yoann Cathline,Left Winger,23,France,FC Utrecht,€8.00m,,
Carlos Forbs,Left Winger,21,Portugal,Club Brugge KV,€8.00m,,
Ruben van Bommel,Left Winger,20,Netherlands,PSV Eindhoven,€8.00m,,
Mexx Meerdink,Centre-Forward,22,Netherlands,AZ Alkmaar,€8.00m,,
Chermiti,Centre-Forward,21,Portugal,Everton FC,€8.00m,,
Jacob Ondrejka,Left Winger,22,Sweden,Parma Calcio 1913,€8.00m,,
Eren Dinkci,Right Winger,23,Türkiye,SC Freiburg,€8.00m,,
William Boving,Centre-Forward,22,Denmark,SK Sturm Graz,€8.00m,,
Ferran Jutgla,Centre-Forward,26,Spain,Celta de Vigo,€8.00m,,
Vitinha,Centre-Forward,25,Portugal,Genoa CFC,€8.00m,,
Ante Crnac,Centre-Forward,21,Croatia,Norwich City,€8.00m,,
Kasper Hogh,Centre-Forward,24,Denmark,FK Bodø/Glimt,€8.00m,,
Fisnik Asllani,Centre-Forward,22,Kosovo,TSG 1899 Hoffenheim,€8.00m,,
Mirlind Daku,Centre-Forward,27,Albania,Rubin Kazan,€8.00m,,
Sergey Pinyaev,Left Winger,20,Russia,Lokomotiv Moscow,€8.00m,,
David Strelec,Centre-Forward,24,Slovakia,Slovan Bratislava,€8.00m,,
Yann Gboho,Left Winger,24,France,FC Toulouse,€8.00m,,
Tyrese Campbell,Centre-Forward,25,England,Sheffield United,€8.00m,,
Cyril Ngonge,Right Winger,25,Belgium,Torino FC,€8.00m,,
Gaetan Perrin,Right Winger,29,France,FC Krasnodar,€8.00m,,
Odsonne Edouard,Centre-Forward,27,France,Crystal Palace,€8.00m,,
Jota,Left Winger,26,Portugal,Celtic FC,€8.00m,,
Oleksandr Zubkov,Right Winger,28,Ukraine,Trabzonspor,€8.00m,,
Vaclav Cerny,Right Winger,27,Czech Republic,VfL Wolfsburg,€8.00m,,
Moussa Dembele,Centre-Forward,29,France,Al-Ettifaq FC,€8.00m,,
Kiril Despodov,Right Winger,28,Bulgaria,PAOK Thessaloniki,€8.00m,,
Neal Maupay,Centre-Forward,28,France,Olympique Marseille,€8.00m,,
Andrija Zivkovic,Right Winger,29,Serbia,PAOK Thessaloniki,€8.00m,,
Domenico Berardi,Right Winger,30,Italy,US Sassuolo,€8.00m,,
Callum Wilson,Centre-Forward,33,England,Without Club,€8.00m,,
Hugo Alvarez,Left Winger,22,Spain,Celta de Vigo,€7.50m,,
Matija Frigan,Centre-Forward,22,Croatia,KVC Westerlo,€7.50m,,
Ismael Gharbi,Left Winger,21,Spain,SC Braga,€7.50m,,
Tommy Conway,Centre-Forward,22,Scotland,Middlesbrough FC,€7.50m,,
Roony Bardghji,Right Winger,19,Sweden,FC Barcelona Atlètic,€7.50m,,
Raul Moro,Left Winger,22,Spain,Ajax Amsterdam,€7.50m,,
Largie Ramazani,Left Winger,24,Belgium,Leeds United,€7.50m,,
Tijjani Noslin,Right Winger,26,Netherlands,SS Lazio,€7.50m,,
Rafa Mujica,Centre-Forward,26,Spain,Al-Sadd SC,€7.50m,,
Cengiz Under,Right Winger,28,Türkiye,Fenerbahce,€7.50m,,
Myrto Uzuni,Left Winger,30,Albania,Austin FC,€7.50m,,
Borja Mayoral,Centre-Forward,28,Spain,Getafe CF,€7.50m,,
Fedor Chalov,Centre-Forward,27,Russia,PAOK Thessaloniki,€7.50m,,
Lukas Haraslin,Left Winger,29,Slovakia,AC Sparta Prague,€7.50m,,
Paulinho,Centre-Forward,32,Portugal,Deportivo Toluca,€7.50m,,
Anthony Martial,Centre-Forward,29,France,AEK Athens,€7.50m,,
Sondre Orjasaeter,Left Winger,21,Norway,Sarpsborg 08 FF,€7.00m,,
Raphael Onyedika,Defensive Midfield,24,Nigeria,Club Brugge KV,€20.00m,,
Maxence Caqueret,Central Midfield,25,France,Como 1907,€16.00m,,
Gustavo Hamer,Left Midfield,28,Netherlands,Sheffield United,€16.00m,,
John McGinn,Central Midfield,30,Scotland,Aston Villa,€16.00m,,
Andrija Maksimovic,Attacking Midfield,18,Serbia,RB Leipzig,€15.00m,,
Sverre Nypan,Central Midfield,18,Norway,Manchester City,€15.00m,,
Senny Mayulu,Central Midfield,19,France,Paris Saint-Germain,€15.00m,,
Mateus Fernandes,Central Midfield,21,Portugal,Southampton FC,€15.00m,,
Yegor Yarmolyuk,Central Midfield,21,Ukraine,Brentford FC,€15.00m,,
Andy Diouf,Central Midfield,22,France,RC Lens,€15.00m,,
Rodrigo Gomes,Right Midfield,22,Portugal,Wolverhampton Wanderers,€15.00m,,
Samu Costa,Defensive Midfield,24,Portugal,RCD Mallorca,€15.00m,,
Aimar Oroz,Attacking Midfield,23,Spain,CA Osasuna,€15.00m,,
Cesare Casadei,Central Midfield,22,Italy,Torino FC,€15.00m,,
Luka Sucic,Central Midfield,22,Croatia,Real Sociedad,€15.00m,,
Rocco Reitz,Central Midfield,23,Germany,Borussia Mönchengladbach,€15.00m,,
Adrian Bernabe,Central Midfield,24,Spain,Parma Calcio 1913,€15.00m,,
Sergi Altimira,Central Midfield,23,Spain,Real Betis Balompié,€15.00m,,
Leandro Barreiro,Central Midfield,25,Luxembourg,SL Benfica,€15.00m,,
Sebastian Szymanski,Attacking Midfield,26,Poland,Fenerbahce,€15.00m,,
Lewis Cook,Central Midfield,28,England,AFC Bournemouth,€15.00m,,
Otavio,Attacking Midfield,30,Portugal,Al-Nassr FC,€15.00m,,
Petar Sucic,Defensive Midfield,21,Croatia,Inter Milan,€14.00m,,
Alvyn Sanches,Central Midfield,22,Switzerland,FC Lausanne-Sport,€14.00m,,
Fabio Miretti,Central Midfield,21,Italy,Juventus FC,€14.00m,,
Fabio Carvalho,Attacking Midfield,22,Portugal,Brentford FC,€14.00m,,
Anton Stach,Defensive Midfield,26,Germany,Leeds United,€14.00m,,
Mathias Jensen,Central Midfield,29,Denmark,Brentford FC,€14.00m,,
Josh Brownhill,Central Midfield,29,England,Without Club,€14.00m,,
Jens Stage,Central Midfield,28,Denmark,SV Werder Bremen,€14.00m,,
Sasa Lukic,Defensive Midfield,28,Serbia,Fulham FC,€14.00m,,
Ezechiel Banzuzi,Central Midfield,20,Netherlands,RB Leipzig,€13.00m,,
Niccolo Pisilli,Central Midfield,20,Italy,AS Roma,€13.00m,,
Tomas Handel,Defensive Midfield,24,Portugal,Vitória Guimarães SC,€13.00m,,
Kristjan Asllani,Defensive Midfield,23,Albania,Inter Milan,€13.00m,,
Flynn Downes,Defensive Midfield,26,England,Southampton FC,€13.00m,,
Cameron Puertas,Attacking Midfield,26,Spain,Al-Qadsiah FC,€13.00m,,
Christos Mouzakitis,Central Midfield,18,Greece,Olympiacos Piraeus,€12.00m,,
Victor Froholdt,Central Midfield,19,Denmark,FC Porto,€12.00m,,
Bence Dardai,Attacking Midfield,19,Hungary,VfL Wolfsburg,€12.00m,,
Soungoutou Magassa,Defensive Midfield,21,France,AS Monaco,€12.00m,,
Aleksey Batrakov,Attacking Midfield,20,Russia,Lokomotiv Moscow,€12.00m,,
Mandela Keita,Defensive Midfield,23,Belgium,Parma Calcio 1913,€12.00m,,
Volodymyr Brazhko,Defensive Midfield,23,Ukraine,Dynamo Kyiv,€12.00m,,
