name,field,position,age,nation,confederation,club,league,value_billion_krw,Identifier
Lazare Amani,MF,Central_Midfielder,27,Cote d'Ivoire,CAF,Union Saint-Gilloise,Jupiler_ProLeague,48.8,lazareamani_COT
Lazaros Rota,DF,Right_Back,27,Greece,UEFA,AEK Athens,SuperLeague1,48.8,lazarosrota_GRE
Lazar Samardzic,MF,Attacking_Midfielder,23,Serbia,UEFA,Atalanta BC,Serie_A,276.2,lazarsamardzic_SER
Leandro Brey,GK,Goalkeeper,22,Argentina,CONMEBOL,CA Boca Juniors,Liga_Profesional,24.4,leandrobrey_ARG
Leandro Cabrera,DF,Centre_Back,34,Uruguay,CONMEBOL,RCD Espanyol Barcelona,LaLiga,16.2,leandrocabrera_URU
Leandro Lozano,DF,Right_Back,26,Uruguay,CONMEBOL,AA Argentinos Juniors,Liga_Profesional,56.9,leandrolozano_URU
Leandro Paredes,MF,Defensive_Midfielder,31,Argentina,CONMEBOL,CA Boca Juniors,Liga_Profesional,81.2,leandroparedes_ARG
Leandro Trossard,FW,Left_Winger,30,Belgium,UEFA,Arsenal FC,PremierLeague,357.5,leandrotrossard_BEL
Lee Chang Geun,GK,Goalkeeper,31,"Korea, South",AFC,Daejeon Hana Citizen,K_League1,10.6,leechanggeun_KOR
Lee Dong Kyeong,MF,Attacking_Midfielder,27,"Korea, South",AFC,Gimcheon Sangmu,K_League1,22.8,leedongkyeong_KOR
Lee Han Beom,DF,Centre_Back,23,"Korea, South",AFC,FC Midtjylland,Danish_Superligaen,16.2,leehanbeom_KOR
Lee Ho Jae,FW,Striker,24,"Korea, South",AFC,Pohang Steelers,K_League1,10.6,leehojae_KOR
Lee Hyun Ju,MF,Attacking_Midfielder,22,"Korea, South",AFC,FC Arouca,Liga_Portugal,24.4,leehyunju_KOR
Lee Jae Sung,MF,Attacking_Midfielder,32,"Korea, South",AFC,1.FSV Mainz 05,Bundesliga,40.6,leejaesung_KOR
Lee Jin Yong,MF,Defensive_Midfielder,24,"Korea, South",AFC,Daegu FC,K_League1,8.1,leejinyong_KOR
Lee Myung Jae,DF,Left_Back,31,"Korea, South",AFC,Daejeon Hana Citizen,K_League1,8.1,leemyungjae_KOR
Lee Myung Joo,MF,Central_Midfielder,35,"Korea, South",AFC,Incheon United,K_League2,5.7,leemyungjoo_KOR
Lee Seung Mo,MF,Central_Midfielder,27,"Korea, South",AFC,FC Seoul,K_League1,8.1,leeseungmo_KOR
Lee Seung Woo,MF,Attacking_Midfielder,27,"Korea, South",AFC,Jeonbuk Hyundai Motors,K_League1,8.9,leeseungwoo_KOR
Lee Soon Min,MF,Central_Midfielder,31,"Korea, South",AFC,Daejeon Hana Citizen,K_League1,8.9,leesoonmin_KOR
Lee Yeong Jae,MF,Central_Midfielder,30,"Korea, South",AFC,Jeonbuk Hyundai Motors,K_League1,10.6,leeyeongjae_KOR
Leif Davis,DF,Left_Back,25,England,UEFA,Ipswich Town,Championship,357.5,leifdavis_ENG
Leighton Clarkson,MF,Attacking_Midfielder,23,England,UEFA,Aberdeen FC,Scottish_Premiership,21.1,leightonclarkson_ENG
Lennard Maloney,MF,Defensive_Midfielder,25,United States,CONCACAF,1.FSV Mainz 05,Bundesliga,56.9,lennardmaloney_UNI
Lennon Miller,MF,Central_Midfielder,18,Scotland,UEFA,Motherwell FC,Scottish_Premiership,130.0,lennonmiller_SCO
Leny Yoro,DF,Centre_Back,19,France,UEFA,Manchester United,PremierLeague,893.8,lenyyoro_FRA
Leo Duarte,DF,Centre_Back,29,Brazil,CONMEBOL,Basaksehir FK,SuperLig,48.8,leoduarte_BRA
Leo Kokubo,GK,Goalkeeper,24,Japan,AFC,Sint-Truidense VV,Jupiler_ProLeague,48.8,leokokubo_JAP
Leo Leroy,MF,Central_Midfielder,25,France,UEFA,FC Basel 1893,Swiss_SuperLeague,32.5,leoleroy_FRA
Leonardo Balerdi,DF,Centre_Back,26,Argentina,CONMEBOL,Olympique Marseille,Ligue1,325.0,leonardobalerdi_ARG
Leonardo Fernandez,MF,Attacking_Midfielder,26,Uruguay,CONMEBOL,CA Peñarol,Other_leagues,121.9,leonardofernandez_URU
Leonardo Morales,DF,Centre_Back,34,Argentina,CONMEBOL,Club Atlético Belgrano,Liga_Profesional,11.4,leonardomorales_ARG
Leonardo Pavoletti,FW,Striker,36,Italy,UEFA,Cagliari Calcio,Serie_A,11.4,leonardopavoletti_ITA
Leon Avdullahu,MF,Defensive_Midfielder,21,Switzerland,UEFA,TSG 1899 Hoffenheim,Bundesliga,162.5,leonavdullahu_SWI
Leonel Picco,MF,Defensive_Midfielder,26,Argentina,CONMEBOL,Club Atlético Platense,Liga_Profesional,48.8,leonelpicco_ARG
Leon Flach,MF,Defensive_Midfielder,24,United States,CONCACAF,Jagiellonia Bialystok,Ekstraklasa,48.8,leonflach_UNI
Leon Goretzka,MF,Central_Midfielder,30,Germany,UEFA,Bayern Munich,Bundesliga,357.5,leongoretzka_GER
Leon Grgic,FW,Striker,19,Austria,UEFA,SK Sturm Graz,Austria_Bundesliga,40.6,leongrgic_AUS
Leon King,DF,Centre_Back,21,Scotland,UEFA,Rangers FC,Scottish_Premiership,13.0,leonking_SCO
Leo Ostigard,DF,Centre_Back,25,Norway,UEFA,Stade Rennais FC,Ligue1,162.5,leoostigard_NOR
Leopold Querfeld,DF,Centre_Back,21,Austria,UEFA,1.FC Union Berlin,Bundesliga,211.2,leopoldquerfeld_AUS
Leopold Wahlstedt,GK,Goalkeeper,26,Sweden,UEFA,Aarhus GF,Danish_Superligaen,16.2,leopoldwahlstedt_SWE
Leo Roman,GK,Goalkeeper,25,Spain,UEFA,RCD Mallorca,LaLiga,81.2,leoroman_SPA
Leo Sauer,FW,Left_Winger,19,Slovakia,UEFA,Feyenoord Rotterdam,Eredivisie,81.2,leosauer_SLO
Lesley Ugochukwu,MF,Defensive_Midfielder,21,France,UEFA,Chelsea FC,PremierLeague,292.5,lesleyugochukwu_FRA
Levi Colwill,DF,Centre_Back,22,England,UEFA,Chelsea FC,PremierLeague,893.8,levicolwill_ENG
Levi Garcia,FW,Striker,27,Trinidad and Tobago,CONCACAF,Spartak Moscow,Russian_PremierLiga,195.0,levigarcia_TRI
Levin Winkler,MF,Central_Midfielder,21,Switzerland,UEFA,FC Luzern,Swiss_SuperLeague,29.2,levinwinkler_SWI
Lewin Blum,DF,Right_Back,24,Switzerland,UEFA,BSC Young Boys,Swiss_SuperLeague,48.8,lewinblum_SWI
Lewis Cook,MF,Central_Midfielder,28,England,UEFA,AFC Bournemouth,PremierLeague,243.8,lewiscook_ENG
Lewis Ferguson,MF,Central_Midfielder,25,Scotland,UEFA,Bologna FC 1909,Serie_A,455.0,lewisferguson_SCO
Lewis Hall,DF,Left_Back,20,England,UEFA,Newcastle United,PremierLeague,520.0,lewishall_ENG
Lewis Holtby,MF,Central_Midfielder,34,Germany,UEFA,Without Club,Without_Club,8.1,lewisholtby_GER
Lewis Mayo,DF,Centre_Back,25,Scotland,UEFA,Kilmarnock FC,Scottish_Premiership,13.8,lewismayo_SCO
Lewis Miley,MF,Central_Midfielder,19,England,UEFA,Newcastle United,PremierLeague,357.5,lewismiley_ENG
Lewis Miller,DF,Right_Back,24,Australia,AFC,Hibernian FC,Scottish_Premiership,14.6,lewismiller_AUS
Lewis Morgan,FW,Left_Winger,28,Scotland,UEFA,New York Red Bulls,MLS,65.0,lewismorgan_SCO
Lewis Neilson,DF,Centre_Back,22,Scotland,UEFA,Falkirk FC,Scottish_Premiership,11.4,lewisneilson_SCO
Liam Delap,FW,Striker,22,England,UEFA,Chelsea FC,PremierLeague,650.0,liamdelap_ENG
Liam Kitching,DF,Centre_Back,25,England,UEFA,Coventry City,Championship,73.1,liamkitching_ENG
Liam Scales,DF,Centre_Back,26,Ireland,UEFA,Celtic FC,Scottish_Premiership,65.0,liamscales_IRE
Liberato Cacace,DF,Left_Back,24,New Zealand,OFC,Wrexham AFC,Championship,48.8,liberatocacace_NEW
Liel Abada,FW,Right_Winger,23,Israel,UEFA,Charlotte FC,MLS,113.8,lielabada_ISR
Lilian Brassier,DF,Centre_Back,25,France,UEFA,Stade Rennais FC,Ligue1,162.5,lilianbrassier_FRA
Lionel Messi,FW,Right_Winger,38,Argentina,CONMEBOL,Inter Miami CF,MLS,292.5,lionelmessi_ARG
Lisandro Martinez,DF,Centre_Back,27,Argentina,CONMEBOL,Manchester United,PremierLeague,650.0,lisandromartinez_ARG
Lloyd Kelly,DF,Centre_Back,26,England,UEFA,Juventus FC,Serie_A,260.0,lloydkelly_ENG
Lluis Lopez,DF,Centre_Back,28,Spain,UEFA,Shandong Taishan,Chinese_SuperLeague,8.1,lluislopez_SPA
Logan Costa,DF,Centre_Back,24,Cabo Verde,CAF,Villarreal CF,LaLiga,292.5,logancosta_CAB
Logan Farrington,FW,Striker,23,United States,CONCACAF,FC Dallas,MLS,13.0,loganfarrington_UNI
Logan Rogerson,FW,Right_Winger,27,New Zealand,OFC,Auckland FC,A_League,7.3,loganrogerson_NEW
Loic Bade,DF,Centre_Back,25,France,UEFA,Sevilla FC,LaLiga,406.2,loicbade_FRA
Loic Lapoussin,MF,Side_Midfielder,29,Madagascar,CAF,Sint-Truidense VV,Jupiler_ProLeague,40.6,loiclapoussin_MAD
Lois Openda,FW,Striker,25,Belgium,UEFA,RB Leipzig,Bundesliga,812.5,loisopenda_BEL
Lorenz Assignon,DF,Right_Back,25,France,UEFA,VfB Stuttgart,Bundesliga,146.2,lorenzassignon_FRA
Lorenzo Amatucci,MF,Defensive_Midfielder,21,Italy,UEFA,UD Las Palmas,LaLiga_2,56.9,lorenzoamatucci_ITA
Lorenzo De Silvestri,DF,Right_Back,37,Italy,UEFA,Bologna FC 1909,Serie_A,13.0,lorenzodesilvestri_ITA
Lorenzo Insigne,FW,Left_Winger,34,Italy,UEFA,Without Club,Without_Club,29.2,lorenzoinsigne_ITA
Lorenzo Lucca,FW,Striker,24,Italy,UEFA,SSC Napoli,Serie_A,357.5,lorenzolucca_ITA
Lorenzo Melgarejo,FW,Left_Winger,34,Paraguay,CONMEBOL,Club Libertad Asunción,Other_leagues,6.5,lorenzomelgarejo_PAR
Lorenzo Montipo,GK,Goalkeeper,29,Italy,UEFA,Hellas Verona,Serie_A,32.5,lorenzomontipo_ITA
Lorenzo Pellegrini,MF,Attacking_Midfielder,29,Italy,UEFA,AS Roma,Serie_A,146.2,lorenzopellegrini_ITA
Lorenzo Pirola,DF,Centre_Back,23,Italy,UEFA,Olympiacos Piraeus,SuperLeague1,97.5,lorenzopirola_ITA
Loum Tchaouna,FW,Right_Winger,21,France,UEFA,Burnley FC,PremierLeague,162.5,loumtchaouna_FRA
Lovro Majer,MF,Attacking_Midfielder,27,Croatia,UEFA,VfL Wolfsburg,Bundesliga,276.2,lovromajer_CRO
Luca Caldirola,DF,Centre_Back,34,Italy,UEFA,Without Club,Without_Club,11.4,lucacaldirola_ITA
Luca Lipani,MF,Defensive_Midfielder,20,Italy,UEFA,US Sassuolo,Serie_A,56.9,lucalipani_ITA
Luca Ranieri,DF,Centre_Back,26,Italy,UEFA,ACF Fiorentina,Serie_A,195.0,lucaranieri_ITA
Lucas Acosta,GK,Goalkeeper,30,Argentina,CONMEBOL,CA Sarmiento (Junin),Liga_Profesional,19.5,lucasacosta_ARG
Lucas Bartlett,DF,Centre_Back,28,United States,CONCACAF,D.C. United,MLS,24.4,lucasbartlett_UNI
Lucas Beraldo,DF,Centre_Back,21,Brazil,CONMEBOL,Paris Saint-Germain,Ligue1,406.2,lucasberaldo_BRA
Lucas Bergvall,MF,Central_Midfielder,19,Sweden,UEFA,Tottenham Hotspur,PremierLeague,617.5,lucasbergvall_SWE
Lucas Chevalier,GK,Goalkeeper,23,France,UEFA,LOSC Lille,Ligue1,487.5,lucaschevalier_FRA
Lucas Da Cunha,MF,Central_Midfielder,24,France,UEFA,Como 1907,Serie_A,162.5,lucasdacunha_FRA
Lucas Digne,DF,Left_Back,32,France,UEFA,Aston Villa,PremierLeague,162.5,lucasdigne_FRA
Lucas Gourna-Douath,MF,Defensive_Midfielder,21,France,UEFA,Red Bull Salzburg,Austria_Bundesliga,130.0,lucasgourna-douath_FRA
Lucas Hernandez,DF,Left_Back,29,France,UEFA,Paris Saint-Germain,Ligue1,406.2,lucashernandez_FRA
Lucas Hey,DF,Centre_Back,22,Denmark,UEFA,RSC Anderlecht,Jupiler_ProLeague,81.2,lucashey_DEN
Lucas Hogsberg,DF,Centre_Back,19,Denmark,UEFA,FC Nordsjaelland,Danish_Superligaen,56.9,lucashogsberg_DEN
Lucas Lund,GK,Goalkeeper,25,Denmark,UEFA,Viborg FF,Danish_Superligaen,24.4,lucaslund_DEN
Lucas Martinez Quarta,DF,Centre_Back,29,Argentina,CONMEBOL,CA River Plate,Liga_Profesional,113.8,lucasmartinezquarta_ARG
Lucas Mauragis,DF,Left_Back,23,Australia,AFC,Central Coast Mariners,A_League,6.5,lucasmauragis_AUS
Lucas Paqueta,MF,Attacking_Midfielder,27,Brazil,CONMEBOL,West Ham United,PremierLeague,455.0,lucaspaqueta_BRA
Lucas Perez,FW,Striker,36,Spain,UEFA,Without Club,Without_Club,6.5,lucasperez_SPA
Lucas Perri,GK,Goalkeeper,27,Brazil,CONMEBOL,Leeds United,PremierLeague,162.5,lucasperri_BRA
Lucas Pires,DF,Left_Back,24,Brazil,CONMEBOL,Burnley FC,PremierLeague,81.2,lucaspires_BRA
Lucas Possignolo,DF,Centre_Back,31,Brazil,CONMEBOL,Zhejiang FC,Chinese_SuperLeague,13.0,lucaspossignolo_BRA
Lucas Sanabria,MF,Defensive_Midfielder,21,Uruguay,CONMEBOL,Los Angeles Galaxy,MLS,65.0,lucassanabria_URU
Lucas Stassin,FW,Striker,20,Belgium,UEFA,AS Saint-Étienne,Ligue2,292.5,lucasstassin_BEL
Lucas Torreira,MF,Defensive_Midfielder,29,Uruguay,CONMEBOL,Galatasaray,SuperLig,211.2,lucastorreira_URU
Lucas Vazquez,DF,Right_Back,34,Spain,UEFA,Without Club,Without_Club,48.8,lucasvazquez_SPA
Luca Zidane,GK,Goalkeeper,27,France,UEFA,Granada CF,LaLiga_2,24.4,lucazidane_FRA
Luciano Acosta,MF,Attacking_Midfielder,31,Argentina,CONMEBOL,FC Dallas,MLS,97.5,lucianoacosta_ARG
Lucien Agoume,MF,Defensive_Midfielder,23,France,UEFA,Sevilla FC,LaLiga,130.0,lucienagoume_FRA
Ludovit Reis,MF,Central_Midfielder,25,Netherlands,UEFA,Club Brugge KV,Jupiler_ProLeague,113.8,ludovitreis_NET
Ludwig Augustinsson,DF,Left_Back,31,Sweden,UEFA,RSC Anderlecht,Jupiler_ProLeague,48.8,ludwigaugustinsson_SWE
Luis Diaz,FW,Left_Winger,28,Colombia,CONMEBOL,Liverpool FC,PremierLeague,1137.5,luisdiaz_COL
Luis Ingolotti,GK,Goalkeeper,25,Argentina,CONMEBOL,Club de Gimnasia y Esgrima La Plata,Liga_Profesional,16.2,luisingolotti_ARG
Luis Maximiano,GK,Goalkeeper,26,Portugal,UEFA,UD Almería,LaLiga_2,48.8,luismaximiano_POR
Luis Muriel,FW,Striker,34,Colombia,CONMEBOL,Orlando City SC,MLS,19.5,luismuriel_COL
Luis Palma,FW,Left_Winger,25,Honduras,CONCACAF,Lech Poznan,Ekstraklasa,48.8,luispalma_HON
Luis Suarez,FW,Striker,38,Uruguay,CONMEBOL,Inter Miami CF,MLS,29.2,luissuarez_URU
Luis Toomey,MF,Central_Midfielder,24,New Zealand,OFC,Without Club,Without_Club,4.1,luistoomey_NEW
Luiz Junior,GK,Goalkeeper,24,Brazil,CONMEBOL,Villarreal CF,LaLiga,162.5,luizjunior_BRA
Luka Ivanusec,FW,Left_Winger,26,Croatia,UEFA,PAOK Thessaloniki,SuperLeague1,56.9,lukaivanusec_CRO
Luka Modric,MF,Central_Midfielder,39,Croatia,UEFA,AC Milan,Serie_A,65.0,lukamodric_CRO
Lukas Gortler,MF,Side_Midfielder,31,Germany,UEFA,FC St. Gallen 1879,Swiss_SuperLeague,19.5,lukasgortler_GER
Lukas Grgic,MF,Defensive_Midfielder,29,Austria,UEFA,Rapid Vienna,Austria_Bundesliga,24.4,lukasgrgic_AUS
Lukas Haraslin,FW,Left_Winger,29,Slovakia,UEFA,AC Sparta Prague,Chance_Liga,121.9,lukasharaslin_SLO
Lukas Hornicek,GK,Goalkeeper,23,Czech Republic,UEFA,SC Braga,Liga_Portugal,97.5,lukashornicek_CZE
Lukas Hradecky,GK,Goalkeeper,35,Finland,UEFA,Bayer 04 Leverkusen,Bundesliga,32.5,lukashradecky_FIN
Lukas Kacavenda,MF,Attacking_Midfielder,22,Croatia,UEFA,LASK,Austria_Bundesliga,32.5,lukaskacavenda_CRO
Lukas Kelly-Heald,DF,Left_Back,20,New Zealand,OFC,Wellington Phoenix,A_League,4.9,lukaskelly-heald_NEW
Lukas Klostermann,DF,Centre_Back,29,Germany,UEFA,RB Leipzig,Bundesliga,130.0,lukasklostermann_GER
Lukas Lerager,MF,Central_Midfielder,32,Denmark,UEFA,FC Copenhagen,Danish_Superligaen,29.2,lukaslerager_DEN
Lukas MacNaughton,DF,Centre_Back,30,Canada,CONCACAF,D.C. United,MLS,19.5,lukasmacnaughton_CAN
Luka Sucic,MF,Central_Midfielder,22,Croatia,UEFA,Real Sociedad,LaLiga,243.8,lukasucic_CRO
Lukas Ullrich,DF,Left_Back,21,Germany,UEFA,Borussia Mönchengladbach,Bundesliga,130.0,lukasullrich_GER
Lukasz Fabianski,GK,Goalkeeper,40,Poland,UEFA,Without Club,Without_Club,8.1,lukaszfabianski_POL
Lukasz Lakomy,MF,Central_Midfielder,24,Poland,UEFA,BSC Young Boys,Swiss_SuperLeague,56.9,lukaszlakomy_POL
Lukasz Skorupski,GK,Goalkeeper,34,Poland,UEFA,Bologna FC 1909,Serie_A,40.6,lukaszskorupski_POL
Luka Vuskovic,DF,Centre_Back,18,Croatia,UEFA,Tottenham Hotspur,PremierLeague,195.0,lukavuskovic_CRO
Luke Amos,MF,Central_Midfielder,28,England,UEFA,Perth Glory,A_League,5.7,lukeamos_ENG
Luke Brattan,MF,Defensive_Midfielder,35,Australia,AFC,Macarthur FC,A_League,6.1,lukebrattan_AUS
Luke McCowan,MF,Central_Midfielder,27,Scotland,UEFA,Celtic FC,Scottish_Premiership,40.6,lukemccowan_SCO
Luke Shaw,DF,Left_Back,30,England,UEFA,Manchester United,PremierLeague,195.0,lukeshaw_ENG
Luke Supyk,FW,Striker,19,New Zealand,OFC,Wellington Phoenix,A_League,1.6,lukesupyk_NEW
Lutsharel Geertruida,DF,Right_Back,25,Netherlands,UEFA,RB Leipzig,Bundesliga,325.0,lutsharelgeertruida_NET
Luuk de Jong,FW,Striker,34,Netherlands,UEFA,Without Club,Without_Club,40.6,luukdejong_NET
Lyall Cameron,MF,Attacking_Midfielder,22,Scotland,UEFA,Rangers FC,Scottish_Premiership,29.2,lyallcameron_SCO
Lyle Foster,FW,Striker,24,South Africa,CAF,Burnley FC,PremierLeague,97.5,lylefoster_SOU
Lynden Gooch,DF,Right_Back,29,United States,CONCACAF,Huddersfield Town,League_One,16.2,lyndengooch_UNI
M'Bala Nzola,FW,Striker,28,Angola,CAF,ACF Fiorentina,Serie_A,97.5,m'balanzola_ANG
Maarten Paes,GK,Goalkeeper,27,Indonesia,AFC,FC Dallas,MLS,29.2,maartenpaes_IND
Maarten Vandevoordt,GK,Goalkeeper,23,Belgium,UEFA,RB Leipzig,Bundesliga,130.0,maartenvandevoordt_BEL
Mads Agger,FW,Right_Winger,25,Denmark,UEFA,Sönderjyske Fodbold,Danish_Superligaen,16.2,madsagger_DEN
Mads Bech Sorensen,DF,Centre_Back,26,Denmark,UEFA,FC Midtjylland,Danish_Superligaen,81.2,madsbechsorensen_DEN
Mads Bidstrup,MF,Central_Midfielder,24,Denmark,UEFA,Red Bull Salzburg,Austria_Bundesliga,162.5,madsbidstrup_DEN
Mads Emil Madsen,MF,Central_Midfielder,27,Denmark,UEFA,Aarhus GF,Danish_Superligaen,32.5,madsemilmadsen_DEN
Mads Hermansen,GK,Goalkeeper,25,Denmark,UEFA,Leicester City,Championship,243.8,madshermansen_DEN
Mads Larsen,MF,Central_Midfielder,23,Denmark,UEFA,Silkeborg IF,Danish_Superligaen,19.5,madslarsen_DEN
Maduka Okoye,GK,Goalkeeper,25,Nigeria,CAF,Udinese Calcio,Serie_A,121.9,madukaokoye_NIG
Mady Camara,MF,Central_Midfielder,28,Guinea,CAF,PAOK Thessaloniki,SuperLeague1,121.9,madycamara_GUI
Magnus Mattsson,MF,Central_Midfielder,26,Denmark,UEFA,FC Copenhagen,Danish_Superligaen,65.0,magnusmattsson_DEN
Magomed Ozdoev,MF,Defensive_Midfielder,32,Russia,UEFA,PAOK Thessaloniki,SuperLeague1,24.4,magomedozdoev_RUS
Mahdi Camara,MF,Central_Midfielder,27,France,UEFA,Stade Brestois 29,Ligue1,146.2,mahdicamara_FRA
Maher Carrizo,FW,Right_Winger,19,Argentina,CONMEBOL,CA Vélez Sarsfield,Liga_Profesional,97.5,mahercarrizo_ARG
Maikel Mesa,MF,Attacking_Midfielder,34,Spain,UEFA,CD Tenerife,Other_leagues,6.5,maikelmesa_SPA
Mailson,GK,Goalkeeper,28,Brazil,CONMEBOL,Al-Taawoun FC,Saudi_ProLeague,56.9,mailson_BRA
Majid Hosseini,DF,Centre_Back,29,Iran,AFC,Kayserispor,SuperLig,21.1,majidhosseini_IRA
Makhtar Gueye,FW,Striker,27,Senegal,CAF,Blackburn Rovers,Championship,48.8,makhtargueye_SEN
Malcom,MF,Attacking_Midfielder,28,Brazil,CONMEBOL,Al-Hilal SFC,Saudi_ProLeague,357.5,malcom_BRA
Malcom Braida,MF,Side_Midfielder,28,Argentina,CONMEBOL,CA Boca Juniors,Liga_Profesional,65.0,malcombraida_ARG
Malick Fofana,FW,Left_Winger,20,Belgium,UEFA,Olympique Lyon,Ligue1,487.5,malickfofana_BEL
Malick Thiaw,DF,Centre_Back,23,Germany,UEFA,AC Milan,Serie_A,292.5,malickthiaw_GER
Malik Tillman,MF,Attacking_Midfielder,23,United States,CONCACAF,Bayer 04 Leverkusen,Bundesliga,520.0,maliktillman_UNI
Malo Gusto,DF,Right_Back,22,France,UEFA,Chelsea FC,PremierLeague,568.8,malogusto_FRA
Mama Balde,FW,Striker,29,Guinea-Bissau,CAF,Stade Brestois 29,Ligue1,65.0,mamabalde_GUI
Mamadou Diop,GK,Goalkeeper,25,Mauritania,CAF,Grenoble Foot 38,Ligue2,16.2,mamadoudiop_MAU
Mamadou Sangare,MF,Central_Midfielder,23,Mali,CAF,Rapid Vienna,Austria_Bundesliga,97.5,mamadousangare_MAL
Mamadou Sarr,DF,Centre_Back,19,France,UEFA,Chelsea FC,PremierLeague,325.0,mamadousarr_FRA
Mamadou Traore,DF,Centre_Back,30,Mali,CAF,Dalian Yingbo,Chinese_SuperLeague,12.2,mamadoutraore_MAL
Mamady Diambou,MF,Defensive_Midfielder,22,Mali,CAF,Red Bull Salzburg,Austria_Bundesliga,48.8,mamadydiambou_MAL
Mamour Ndiaye,GK,Goalkeeper,19,Senegal,CAF,Sarpsborg 08 FF,Eliteserien,19.5,mamourndiaye_SEN
Mandela Keita,MF,Defensive_Midfielder,23,Belgium,UEFA,Parma Calcio 1913,Serie_A,195.0,mandelakeita_BEL
Manfred Fischer,MF,Central_Midfielder,29,Austria,UEFA,Austria Vienna,Austria_Bundesliga,16.2,manfredfischer_AUS
Manolis Siopis,MF,Defensive_Midfielder,31,Greece,UEFA,Panathinaikos FC,SuperLeague1,29.2,manolissiopis_GRE
Manprit Sarkaria,FW,Striker,28,Austria,UEFA,Austria Vienna,Austria_Bundesliga,13.0,manpritsarkaria_AUS
Manuel Akanji,DF,Centre_Back,30,Switzerland,UEFA,Manchester City,PremierLeague,455.0,manuelakanji_SWI
Manuel Locatelli,MF,Defensive_Midfielder,27,Italy,UEFA,Juventus FC,Serie_A,487.5,manuellocatelli_ITA
Manuel Neuer,GK,Goalkeeper,39,Germany,UEFA,Bayern Munich,Bundesliga,65.0,manuelneuer_GER
Manuel Palacios,FW,Right_Winger,32,Colombia,CONMEBOL,Wuhan Three Towns,Chinese_SuperLeague,6.5,manuelpalacios_COL
Manuel Roffo,GK,Goalkeeper,25,Argentina,CONMEBOL,Instituto ACC,Liga_Profesional,56.9,manuelroffo_ARG
Manuel Ugarte,MF,Defensive_Midfielder,24,Uruguay,CONMEBOL,Manchester United,PremierLeague,731.2,manuelugarte_URU
Marash Kumbulla,DF,Centre_Back,25,Albania,UEFA,AS Roma,Serie_A,121.9,marashkumbulla_ALB
Marc-Andre ter Stegen,GK,Goalkeeper,33,Germany,UEFA,FC Barcelona,LaLiga,195.0,marc-andreterstegen_GER
Marc Bartra,DF,Centre_Back,34,Spain,UEFA,Real Betis Balompié,LaLiga,16.2,marcbartra_SPA
Marc Casado,MF,Defensive_Midfielder,21,Spain,UEFA,FC Barcelona,LaLiga,487.5,marccasado_SPA
Marc Cucurella,DF,Left_Back,27,Spain,UEFA,Chelsea FC,PremierLeague,568.8,marccucurella_SPA
Marcel Hartel,MF,Central_Midfielder,29,Germany,UEFA,St. Louis CITY SC,MLS,73.1,marcelhartel_GER
Marcelino Moreno,MF,Attacking_Midfielder,30,Argentina,CONMEBOL,CA Lanús,Liga_Profesional,81.2,marcelinomoreno_ARG
Marcelino Nunez,MF,Central_Midfielder,25,Chile,CONMEBOL,Norwich City,Championship,97.5,marcelinonunez_CHI
Marcelo Brozovic,MF,Defensive_Midfielder,32,Croatia,UEFA,Al-Nassr FC,Saudi_ProLeague,162.5,marcelobrozovic_CRO
Marcel Sabitzer,MF,Central_Midfielder,31,Austria,UEFA,Borussia Dortmund,Bundesliga,130.0,marcelsabitzer_AUS
Marc Guehi,DF,Centre_Back,25,England,UEFA,Crystal Palace,PremierLeague,731.2,marcguehi_ENG
Marc Guiu,FW,Striker,19,Spain,UEFA,Chelsea FC,PremierLeague,130.0,marcguiu_SPA
Marcin Bulka,GK,Goalkeeper,25,Poland,UEFA,NEOM SC,Saudi_ProLeague,325.0,marcinbulka_POL
Marc Mateu,DF,Left_Back,35,Spain,UEFA,CD Tenerife,Other_leagues,6.5,marcmateu_SPA
Marco Bizot,GK,Goalkeeper,34,Netherlands,UEFA,Aston Villa,PremierLeague,48.8,marcobizot_NET
Marco Brescianini,MF,Central_Midfielder,25,Italy,UEFA,Atalanta BC,Serie_A,130.0,marcobrescianini_ITA
Marco Carnesecchi,GK,Goalkeeper,25,Italy,UEFA,Atalanta BC,Serie_A,406.2,marcocarnesecchi_ITA
Marco Di Cesare,DF,Centre_Back,23,Argentina,CONMEBOL,Racing Club,Liga_Profesional,146.2,marcodicesare_ARG
Marco Farfan,DF,Left_Back,26,United States,CONCACAF,FC Dallas,MLS,32.5,marcofarfan_UNI
Marco Friedl,DF,Centre_Back,27,Austria,UEFA,SV Werder Bremen,Bundesliga,195.0,marcofriedl_AUS
Marco Pellegrino,DF,Centre_Back,23,Argentina,CONMEBOL,CA Boca Juniors,Liga_Profesional,65.0,marcopellegrino_ARG
Marco Silvestri,GK,Goalkeeper,34,Italy,UEFA,Without Club,Without_Club,8.1,marcosilvestri_ITA
Marcos Ledesma,GK,Goalkeeper,28,Argentina,CONMEBOL,CA Barracas Central,Liga_Profesional,21.1,marcosledesma_ARG
Marcos Leonardo,FW,Striker,22,Brazil,CONMEBOL,Al-Hilal SFC,Saudi_ProLeague,292.5,marcosleonardo_BRA
Marcos Llorente,MF,Side_Midfielder,30,Spain,UEFA,Atlético de Madrid,LaLiga,406.2,marcosllorente_SPA
