name,position,age,nation,club,value,league
Jon Gorenc Stankovic,Defensive Midfield,29,Slovenia,SK Sturm Graz,€4.00m,Austria Bundesliga
Dimitri Lavalee,Left-Back,28,Belgium,SK Sturm Graz,€4.00m,Austria Bundesliga
Tochi Chukwuani,Central Midfield,22,Denmark,SK Sturm Graz,€4.00m,Austria Bundesliga
Edmund Baidoo,Right Winger,19,Ghana,Red Bull Salzburg,€4.00m,Austria Bundesliga
Jacob Rasmussen,Centre-Back,28,Denmark,Red Bull Salzburg,€3.50m,Austria Bundesliga
Dominik Fitz,Attacking Midfield,26,Austria,Austria Vienna,€3.50m,Austria Bundesliga
Aleksa Terzic,Left-Back,25,Serbia,Red Bull Salzburg,€3.50m,Austria Bundesliga
Frans Kratzig,Left-Back,22,Germany,Red Bull Salzburg,€3.50m,Austria Bundesliga
Max Johnston,Right-Back,21,Scotland,SK Sturm Graz,€3.50m,Austria Bundesliga
Romeo Amane,Central Midfield,22,Cote d'Ivoire,Rapid Vienna,€3.50m,Austria Bundesliga
Erik Kojzek,Centre-Forward,19,Austria,Wolfsberger AC,€3.00m,Austria Bundesliga
Mamady Diambou,Defensive Midfield,22,Mali,Red Bull Salzburg,€3.00m,Austria Bundesliga
Petar Ratkov,Centre-Forward,21,Serbia,Red Bull Salzburg,€3.00m,Austria Bundesliga
Matthias Seidl,Left Midfield,24,Austria,Rapid Vienna,€3.00m,Austria Bundesliga
Alexander Schlager,Goalkeeper,29,Austria,Red Bull Salzburg,€2.50m,Austria Bundesliga
Johannes Eggestein,Centre-Forward,27,Germany,Austria Vienna,€2.50m,Austria Bundesliga
Nikolas Polster,Goalkeeper,23,Austria,Wolfsberger AC,€2.50m,Austria Bundesliga
Leon Grgic,Centre-Forward,19,Austria,SK Sturm Graz,€2.50m,Austria Bundesliga
Filip Rozga,Attacking Midfield,18,Poland,SK Sturm Graz,€2.50m,Austria Bundesliga
Niklas Hedl,Goalkeeper,24,Austria,Rapid Vienna,€2.50m,Austria Bundesliga
Bendeguz Bolla,Right-Back,25,Hungary,Rapid Vienna,€2.50m,Austria Bundesliga
Maurice Malone,Centre-Forward,24,Germany,Austria Vienna,€2.20m,Austria Bundesliga
Emmanuel Agyemang,Central Midfield,21,Ghana,Wolfsberger AC,€2.00m,Austria Bundesliga
Abubakr Barry,Central Midfield,25,The Gambia,Austria Vienna,€2.00m,Austria Bundesliga
Niklas Geyrhofer,Centre-Back,25,Austria,SK Sturm Graz,€2.00m,Austria Bundesliga
Emanuel Aiwu,Centre-Back,24,Austria,SK Sturm Graz,€2.00m,Austria Bundesliga
Seedy Jatta,Centre-Forward,22,Norway,SK Sturm Graz,€2.00m,Austria Bundesliga
Axel Kayombo,Left Winger,19,DR Congo,SK Sturm Graz,€2.00m,Austria Bundesliga
Nenad Cvetkovic,Centre-Back,29,Serbia,Rapid Vienna,€2.00m,Austria Bundesliga
John Mellberg,Centre-Back,18,Sweden,Red Bull Salzburg,€2.00m,Austria Bundesliga
Soumaila Diabate,Defensive Midfield,20,Mali,Red Bull Salzburg,€2.00m,Austria Bundesliga
Janis Antiste,Centre-Forward,22,France,Rapid Vienna,€2.00m,Austria Bundesliga
Maximilian Entrup,Centre-Forward,27,Austria,LASK,€2.00m,Austria Bundesliga
Nikolaus Wurmbrand,Right Winger,19,Austria,Rapid Vienna,€2.00m,Austria Bundesliga
Lukas Kacavenda,Attacking Midfield,22,Croatia,LASK,€2.00m,Austria Bundesliga
Andres Andrade,Centre-Back,26,Panama,LASK,€2.00m,Austria Bundesliga
George Bello,Left-Back,23,United States,LASK,€2.00m,Austria Bundesliga
Takumu Kawamura,Defensive Midfield,25,Japan,Red Bull Salzburg,€1.70m,Austria Bundesliga
Szymon Wlodarczyk,Centre-Forward,22,Poland,SK Sturm Graz,€1.60m,Austria Bundesliga
Valentin Sulzbacher,Central Midfield,20,Austria,Red Bull Salzburg,€1.50m,Austria Bundesliga
Arjan Malic,Right-Back,19,Bosnia-Herzegovina,SK Sturm Graz,€1.50m,Austria Bundesliga
Amady Camara,Centre-Forward,20,Mali,SK Sturm Graz,€1.50m,Austria Bundesliga
Lukas Grgic,Defensive Midfield,29,Austria,Rapid Vienna,€1.50m,Austria Bundesliga
Jonas Auer,Left-Back,24,Austria,Rapid Vienna,€1.50m,Austria Bundesliga
Andrija Radulovic,Right Winger,23,Montenegro,Rapid Vienna,€1.50m,Austria Bundesliga
Sascha Horvath,Central Midfield,28,Austria,LASK,€1.50m,Austria Bundesliga
Ange Ahoussou,Centre-Back,21,Cote d'Ivoire,Rapid Vienna,€1.50m,Austria Bundesliga
Moses Usor,Right Winger,23,Nigeria,LASK,€1.50m,Austria Bundesliga
Ismaila Coulibaly,Central Midfield,24,Mali,LASK,€1.50m,Austria Bundesliga
Kasper Jorgensen,Right-Back,25,Denmark,LASK,€1.50m,Austria Bundesliga
Stefan Lainer,Right-Back,32,Austria,Red Bull Salzburg,€1.20m,Austria Bundesliga
Paul Komposch,Centre-Back,24,Austria,TSV Hartberg,€1.20m,Austria Bundesliga
Tim Trummer,Right-Back,19,Austria,Red Bull Salzburg,€1.20m,Austria Bundesliga
Jannes Horn,Centre-Back,28,Germany,Rapid Vienna,€1.20m,Austria Bundesliga
Krystof Danek,Right Winger,22,Czech Republic,LASK,€1.20m,Austria Bundesliga
Patrik Mijic,Centre-Forward,26,Croatia,TSV Hartberg,€1.00m,Austria Bundesliga
Manfred Fischer,Central Midfield,29,Austria,Austria Vienna,€1.00m,Austria Bundesliga
Tio Cipot,Centre-Forward,22,Slovenia,Grazer AK 1902,€1.00m,Austria Bundesliga
Donis Avdijaj,Left Winger,28,Kosovo,Wolfsberger AC,€1.00m,Austria Bundesliga
Philipp Maybach,Defensive Midfield,17,Austria,Austria Vienna,€1.00m,Austria Bundesliga
Jacob Peter Hodl,Right Midfield,18,Austria,SK Sturm Graz,€1.00m,Austria Bundesliga
Aleksandar Dragovic,Centre-Back,34,Austria,Austria Vienna,€1.00m,Austria Bundesliga
Simon Seidl,Attacking Midfield,22,Austria,FC Blau-Weiss Linz,€1.00m,Austria Bundesliga
Jean Marcelin,Centre-Back,25,Madagascar,Rapid Vienna,€1.00m,Austria Bundesliga
Alexander Briedl,Defensive Midfield,23,Austria,FC Blau-Weiss Linz,€1.00m,Austria Bundesliga
Yusuf Maart,Central Midfield,30,South Africa,SV Ried,€1.00m,Austria Bundesliga
Modou Keba Cisse,Centre-Back,19,Senegal,LASK,€1.00m,Austria Bundesliga
Art Smakaj,Defensive Midfield,22,Kosovo,LASK,€1.00m,Austria Bundesliga
Johannes Handl,Centre-Back,27,Austria,Austria Vienna,€900k,Austria Bundesliga
Tin Plavotic,Centre-Back,28,Croatia,Austria Vienna,€900k,Austria Bundesliga
Dominik Baumgartner,Centre-Back,29,Austria,Wolfsberger AC,€900k,Austria Bundesliga
Samuel Adeniran,Centre-Forward,26,United States,LASK,€900k,Austria Bundesliga
Karim Onisiwo,Centre-Forward,33,Austria,Red Bull Salzburg,€800k,Austria Bundesliga
Valon Berisha,Left Midfield,32,Kosovo,LASK,€800k,Austria Bundesliga
Florian Flecker,Right Midfield,29,Austria,LASK,€800k,Austria Bundesliga
Ercan Kara,Centre-Forward,29,Austria,Rapid Vienna,€800k,Austria Bundesliga
Manprit Sarkaria,Centre-Forward,28,Austria,Austria Vienna,€800k,Austria Bundesliga
Boris Matic,Right-Back,20,Serbia,Wolfsberger AC,€800k,Austria Bundesliga
Viktor Baier,Goalkeeper,20,Czech Republic,FC Blau-Weiss Linz,€800k,Austria Bundesliga
Sindre Walle Egeli,Right Winger,19,Norway,FC Nordsjaelland,€15.00m,Danish Superligaen
Franculino,Centre-Forward,21,Guinea-Bissau,FC Midtjylland,€13.00m,Danish Superligaen
Youssoufa Moukoko,Centre-Forward,20,Germany,FC Copenhagen,€10.00m,Danish Superligaen
Dominik Kotarski,Goalkeeper,25,Croatia,FC Copenhagen,€9.00m,Danish Superligaen
Dario Osorio,Right Winger,21,Chile,FC Midtjylland,€8.00m,Danish Superligaen
Ousmane Diao,Centre-Back,21,Senegal,FC Midtjylland,€7.50m,Danish Superligaen
Oliver Sorensen,Central Midfield,23,Denmark,FC Midtjylland,€7.00m,Danish Superligaen
Adam Buksa,Centre-Forward,29,Poland,FC Midtjylland,€6.00m,Danish Superligaen
Rodrigo Huescas,Right-Back,21,Mexico,FC Copenhagen,€6.00m,Danish Superligaen
Gabriel Pereira,Centre-Back,25,Brazil,FC Copenhagen,€6.00m,Danish Superligaen
Mads Bech Sorensen,Centre-Back,26,Denmark,FC Midtjylland,€5.00m,Danish Superligaen
Mohamed Elyounoussi,Right Winger,30,Norway,FC Copenhagen,€5.00m,Danish Superligaen
Nicolai Vallys,Attacking Midfield,28,Denmark,Bröndby IF,€5.00m,Danish Superligaen
Noah Nartey,Central Midfield,19,Denmark,Bröndby IF,€5.00m,Danish Superligaen
Clement Bischoff,Left Winger,19,Denmark,Bröndby IF,€5.00m,Danish Superligaen
Magnus Mattsson,Central Midfield,26,Denmark,FC Copenhagen,€4.00m,Danish Superligaen
Kevin Mbabu,Right-Back,30,Switzerland,FC Midtjylland,€3.50m,Danish Superligaen
Lucas Hogsberg,Centre-Back,19,Denmark,FC Nordsjaelland,€3.50m,Danish Superligaen
Elias Achouri,Left Winger,26,Tunisia,FC Copenhagen,€3.50m,Danish Superligaen
Gue-sung Cho,Centre-Forward,27,"Korea, South",FC Midtjylland,€3.50m,Danish Superligaen
Mats Kohlert,Left-Back,27,Germany,Bröndby IF,€3.50m,Danish Superligaen
Denil Castillo,Central Midfield,21,Ecuador,FC Midtjylland,€3.50m,Danish Superligaen
Pantelis Hatzidiakos,Centre-Back,28,Greece,FC Copenhagen,€3.20m,Danish Superligaen
Aral Simsir,Left Winger,23,Türkiye,FC Midtjylland,€3.00m,Danish Superligaen
Viktor Claesson,Centre-Forward,33,Sweden,FC Copenhagen,€3.00m,Danish Superligaen
William Clem,Defensive Midfield,21,Denmark,FC Copenhagen,€3.00m,Danish Superligaen
Amin Chiakha,Centre-Forward,19,Algeria,FC Copenhagen,€3.00m,Danish Superligaen
Benjamin Tahirovic,Central Midfield,22,Bosnia-Herzegovina,Bröndby IF,€3.00m,Danish Superligaen
Mikel Gogorza,Left Winger,18,Denmark,FC Midtjylland,€3.00m,Danish Superligaen
Kristian Arnstad,Central Midfield,21,Norway,Aarhus GF,€2.50m,Danish Superligaen
Tobias Bech,Centre-Forward,23,Denmark,Aarhus GF,€2.50m,Danish Superligaen
Dani Silva,Defensive Midfield,25,Portugal,FC Midtjylland,€2.50m,Danish Superligaen
Birger Meling,Left-Back,30,Norway,FC Copenhagen,€2.50m,Danish Superligaen
Jordan Larsson,Right Winger,28,Sweden,FC Copenhagen,€2.50m,Danish Superligaen
Marcos Lopez,Left-Back,25,Peru,FC Copenhagen,€2.50m,Danish Superligaen
Munashe Garananga,Centre-Back,24,Zimbabwe,FC Copenhagen,€2.50m,Danish Superligaen
Yoram Zague,Right-Back,19,France,FC Copenhagen,€2.50m,Danish Superligaen
Patrick Pentz,Goalkeeper,28,Austria,Bröndby IF,€2.50m,Danish Superligaen
Frederik Alves,Centre-Back,25,Denmark,Bröndby IF,€2.50m,Danish Superligaen
Serginho,Right Winger,24,Cape Verde,Viborg FF,€2.50m,Danish Superligaen
Mark Brink,Defensive Midfield,27,Denmark,FC Nordsjaelland,€2.00m,Danish Superligaen
Rasmus Carstensen,Right-Back,24,Denmark,Aarhus GF,€2.00m,Danish Superligaen
Mads Emil Madsen,Central Midfield,27,Denmark,Aarhus GF,€2.00m,Danish Superligaen
Felix Beijmo,Right Midfield,27,Sweden,Aarhus GF,€2.00m,Danish Superligaen
Zidan Sertdemir,Central Midfield,20,Denmark,FC Nordsjaelland,€2.00m,Danish Superligaen
Thomas Jorgensen,Central Midfield,19,Denmark,Viborg FF,€2.00m,Danish Superligaen
Dominik Sarapata,Central Midfield,17,Poland,FC Copenhagen,€2.00m,Danish Superligaen
Jordi Vanlerberghe,Centre-Back,29,Belgium,Bröndby IF,€2.00m,Danish Superligaen
Stijn Spierings,Central Midfield,29,Netherlands,Bröndby IF,€2.00m,Danish Superligaen
Marko Divkovic,Left-Back,26,Croatia,Bröndby IF,€2.00m,Danish Superligaen
Filip Bundgaard,Centre-Forward,21,Denmark,Bröndby IF,€2.00m,Danish Superligaen
Eric Kahl,Centre-Back,23,Sweden,Aarhus GF,€1.80m,Danish Superligaen
Lukas Lerager,Central Midfield,32,Denmark,FC Copenhagen,€1.80m,Danish Superligaen
German Onugkha,Centre-Forward,29,Russia,FC Copenhagen,€1.80m,Danish Superligaen
John Bjorkengren,Central Midfield,26,Sweden,Randers FC,€1.70m,Danish Superligaen
Younes Bakiz,Left Winger,26,Denmark,Silkeborg IF,€1.70m,Danish Superligaen
Pedro Bravo,Central Midfield,20,Colombia,FC Midtjylland,€1.70m,Danish Superligaen
Sean Klaiber,Centre-Back,30,Suriname,Bröndby IF,€1.70m,Danish Superligaen
Rasmus Lauritsen,Centre-Back,29,Denmark,Bröndby IF,€1.70m,Danish Superligaen
Daniel Anyembe,Centre-Back,27,Kenya,Viborg FF,€1.70m,Danish Superligaen
Nikolas Dyhr,Left-Back,24,Denmark,Randers FC,€1.50m,Danish Superligaen
Nicklas Rojkjaer,Central Midfield,27,Denmark,FC Nordsjaelland,€1.50m,Danish Superligaen
Tonni Adamsen,Centre-Forward,30,Denmark,Silkeborg IF,€1.50m,Danish Superligaen
Robin Ostrom,Right-Back,22,Norway,Silkeborg IF,€1.50m,Danish Superligaen
Pedro Ganchas,Centre-Back,25,Portugal,Silkeborg IF,€1.50m,Danish Superligaen
Elias Olafsson,Goalkeeper,25,Iceland,FC Midtjylland,€1.50m,Danish Superligaen
Nathan Trott,Goalkeeper,26,England,FC Copenhagen,€1.50m,Danish Superligaen
Victor Bak,Left-Back,21,Denmark,FC Midtjylland,€1.50m,Danish Superligaen
Robert,Left Winger,20,Brazil,FC Copenhagen,€1.50m,Danish Superligaen
Oliver Villadsen,Right-Back,23,Denmark,Bröndby IF,€1.50m,Danish Superligaen
Valdemar Byskov,Right Winger,20,Denmark,FC Midtjylland,€1.50m,Danish Superligaen
Lucas Lund,Goalkeeper,25,Denmark,Viborg FF,€1.50m,Danish Superligaen
Zan Zaletel,Centre-Back,25,Slovenia,Viborg FF,€1.50m,Danish Superligaen
Andreas Hansen,Goalkeeper,29,Denmark,FC Nordsjaelland,€1.30m,Danish Superligaen
Oliver Olsen,Right-Back,24,Denmark,Randers FC,€1.30m,Danish Superligaen
Norman Campbell,Right Winger,25,Jamaica,Randers FC,€1.30m,Danish Superligaen
Max Ejdum,Central Midfield,20,Denmark,Odense Boldklub,€1.30m,Danish Superligaen
Pelle Mattsson,Central Midfield,23,Denmark,Silkeborg IF,€1.30m,Danish Superligaen
Maxime Soulas,Centre-Back,26,France,Sönderjyske Fodbold,€1.30m,Danish Superligaen
Srdjan Kuzmic,Right-Back,21,Slovenia,Viborg FF,€1.30m,Danish Superligaen
Jean Manuel Mbom,Right-Back,25,Germany,Viborg FF,€1.20m,Danish Superligaen
Alexander Busch,Centre-Back,21,Denmark,Silkeborg IF,€1.20m,Danish Superligaen
Mads Larsen,Central Midfield,23,Denmark,Silkeborg IF,€1.20m,Danish Superligaen
Callum McCowatt,Right Winger,26,New Zealand,Silkeborg IF,€1.20m,Danish Superligaen
Lirim Qamili,Right Winger,27,North Macedonia,Sönderjyske Fodbold,€1.20m,Danish Superligaen
Thomas Delaney,Central Midfield,33,Denmark,FC Copenhagen,€1.20m,Danish Superligaen
Anosike Ementa,Centre-Forward,23,Denmark,Viborg FF,€1.00m,Danish Superligaen
James Gomez,Centre-Back,23,The Gambia,Odense Boldklub,€1.00m,Danish Superligaen
Youssouph Badji,Centre-Forward,23,Senegal,Aarhus GF,€1.00m,Danish Superligaen
Sefer Emini,Central Midfield,25,North Macedonia,Sönderjyske Fodbold,€1.00m,Danish Superligaen
Leopold Wahlstedt,Goalkeeper,26,Sweden,Aarhus GF,€1.00m,Danish Superligaen
Gift Links,Left Midfield,26,South Africa,Aarhus GF,€1.00m,Danish Superligaen
Theo Sander,Goalkeeper,20,Denmark,Odense Boldklub,€1.00m,Danish Superligaen
Han-beom Lee,Centre-Back,23,"Korea, South",FC Midtjylland,€1.00m,Danish Superligaen
Mads Freundlich,Central Midfield,22,Denmark,Silkeborg IF,€1.00m,Danish Superligaen
Juho Lahteenmaki,Left-Back,19,Finland,FC Nordsjaelland,€1.00m,Danish Superligaen
Mads Agger,Right Winger,25,Denmark,Sönderjyske Fodbold,€1.00m,Danish Superligaen
Oliver Bundgaard,Left-Back,24,Denmark,Viborg FF,€1.00m,Danish Superligaen
Edward Chilufya,Right Winger,25,Zambia,FC Midtjylland,€1.00m,Danish Superligaen
Caleb Yirenkyi,Central Midfield,19,Ghana,FC Nordsjaelland,€1.00m,Danish Superligaen
Mateo Retegui,Centre-Forward,26,Italy,Al-Qadsiah FC,€45.00m,Saudi ProLeague
Theo Hernandez,Left-Back,27,France,Al-Hilal SFC,€35.00m,Saudi ProLeague
Moussa Diaby,Right Winger,26,France,Al-Ittihad Club,€30.00m,Saudi ProLeague
Ruben Neves,Defensive Midfield,28,Portugal,Al-Hilal SFC,€25.00m,Saudi ProLeague
Ivan Toney,Centre-Forward,29,England,Al-Ahli SFC,€25.00m,Saudi ProLeague
Galeno,Left Winger,27,Brazil,Al-Ahli SFC,€24.00m,Saudi ProLeague
Mohamed Simakan,Centre-Back,25,France,Al-Nassr FC,€23.00m,Saudi ProLeague
Malcom,Attacking Midfield,28,Brazil,Al-Hilal SFC,€22.00m,Saudi ProLeague
Marcin Bulka,Goalkeeper,25,Poland,NEOM SC,€20.00m,Saudi ProLeague
Marcos Leonardo,Centre-Forward,22,Brazil,Al-Hilal SFC,€18.00m,Saudi ProLeague
Aleksandar Mitrovic,Centre-Forward,30,Serbia,Al-Hilal SFC,€18.00m,Saudi ProLeague
Sergej Milinkovic-Savic,Central Midfield,30,Serbia,Al-Hilal SFC,€17.00m,Saudi ProLeague
Roger Ibanez,Centre-Back,26,Brazil,Al-Ahli SFC,€17.00m,Saudi ProLeague
Otavio,Attacking Midfield,30,Portugal,Al-Nassr FC,€15.00m,Saudi ProLeague
Joao Cancelo,Right-Back,31,Portugal,Al-Hilal SFC,€15.00m,Saudi ProLeague
Aymeric Laporte,Centre-Back,31,Spain,Al-Nassr FC,€15.00m,Saudi ProLeague
Fabinho,Defensive Midfield,31,Brazil,Al-Ittihad Club,€15.00m,Saudi ProLeague
Steven Bergwijn,Left Winger,27,Netherlands,Al-Ittihad Club,€14.00m,Saudi ProLeague
Franck Kessie,Central Midfield,28,Cote d'Ivoire,Al-Ahli SFC,€14.00m,Saudi ProLeague
Cameron Puertas,Attacking Midfield,26,Spain,Al-Qadsiah FC,€13.00m,Saudi ProLeague
Renan Lodi,Left-Back,27,Brazil,Al-Hilal SFC,€13.00m,Saudi ProLeague
Allan Saint-Maximin,Left Winger,28,France,Al-Ahli SFC,€13.00m,Saudi ProLeague
Merih Demiral,Centre-Back,27,Türkiye,Al-Ahli SFC,€13.00m,Saudi ProLeague
Ezequiel Fernandez,Defensive Midfield,22,Argentina,Al-Qadsiah FC,€12.00m,Saudi ProLeague
Cristiano Ronaldo,Centre-Forward,40,Portugal,Al-Nassr FC,€12.00m,Saudi ProLeague
Julian Quinones,Centre-Forward,28,Mexico,Al-Qadsiah FC,€12.00m,Saudi ProLeague
Bento,Goalkeeper,26,Brazil,Al-Nassr FC,€11.00m,Saudi ProLeague
Marcelo Brozovic,Defensive Midfield,32,Croatia,Al-Nassr FC,€10.00m,Saudi ProLeague
Said Benrahma,Left Winger,29,Algeria,NEOM SC,€10.00m,Saudi ProLeague
Gaston Alvarez,Centre-Back,25,Uruguay,Al-Qadsiah FC,€9.00m,Saudi ProLeague
Houssem Aouar,Attacking Midfield,27,Algeria,Al-Ittihad Club,€8.50m,Saudi ProLeague
Sadio Mane,Left Winger,33,Senegal,Al-Nassr FC,€8.00m,Saudi ProLeague
Predrag Rajkovic,Goalkeeper,29,Serbia,Al-Ittihad Club,€8.00m,Saudi ProLeague
Angelo,Right Winger,20,Brazil,Al-Nassr FC,€8.00m,Saudi ProLeague
Moussa Dembele,Centre-Forward,29,France,Al-Ettifaq FC,€8.00m,Saudi ProLeague
Riyad Mahrez,Right Winger,34,Algeria,Al-Ahli SFC,€8.00m,Saudi ProLeague
Christopher Bonsu Baah,Left Winger,20,Ghana,Al-Qadsiah FC,€7.50m,Saudi ProLeague
Yannick Carrasco,Left Winger,31,Belgium,Al-Shabab FC,€7.00m,Saudi ProLeague
Karim Benzema,Centre-Forward,37,France,Al-Ittihad Club,€7.00m,Saudi ProLeague
Musa Barrow,Left Winger,26,The Gambia,Al-Taawoun FC,€6.50m,Saudi ProLeague
Habib Diallo,Centre-Forward,30,Senegal,Al-Shabab FC,€6.50m,Saudi ProLeague
Kalidou Koulibaly,Centre-Back,34,Senegal,Al-Hilal SFC,€6.00m,Saudi ProLeague
Alexandre Lacazette,Centre-Forward,34,France,NEOM SC,€6.00m,Saudi ProLeague
Zaydou Youssouf,Central Midfield,26,Comoros,Al-Fateh SC,€6.00m,Saudi ProLeague
Mario Mitaj,Left-Back,21,Albania,Al-Ittihad Club,€5.50m,Saudi ProLeague
Bono,Goalkeeper,34,Morocco,Al-Hilal SFC,€5.50m,Saudi ProLeague
Daniel Podence,Attacking Midfield,29,Portugal,Al-Shabab FC,€5.50m,Saudi ProLeague
Georges-Kevin N'Koudou,Left Winger,30,Cameroon,Damac FC,€5.00m,Saudi ProLeague
Edouard Mendy,Goalkeeper,33,Senegal,Al-Ahli SFC,€5.00m,Saudi ProLeague
Matias Vargas,Left Winger,28,Argentina,Al-Fateh SC,€5.00m,Saudi ProLeague
Georges-Kevin N'Koudou,Left Winger,30,Cameroon,Damac FC,€5.00m,Saudi ProLeague
Georgiy Bushchan,Goalkeeper,31,Ukraine,Al-Shabab FC,€5.00m,Saudi ProLeague
Matias Vargas,Left Winger,28,Argentina,Al-Fateh SC,€5.00m,Saudi ProLeague
N'Golo Kante,Defensive Midfield,34,France,Al-Ittihad Club,€5.00m,Saudi ProLeague
Matteo Dams,Left-Back,21,Belgium,Al-Ahli SFC,€4.50m,Saudi ProLeague
Firas Al-Buraikan,Centre-Forward,25,Saudi Arabia,Al-Ahli SFC,€4.50m,Saudi ProLeague
Koen Casteels,Goalkeeper,33,Belgium,Al-Qadsiah FC,€4.50m,Saudi ProLeague
Nahitan Nandez,Central Midfield,29,Uruguay,Al-Qadsiah FC,€4.50m,Saudi ProLeague
Danilo Pereira,Centre-Back,33,Portugal,Al-Ittihad Club,€4.50m,Saudi ProLeague
Musab Al-Juwayr,Central Midfield,22,Saudi Arabia,Al-Hilal SFC,€4.00m,Saudi ProLeague
Wesley,Left Winger,20,Brazil,Al-Nassr FC,€4.00m,Saudi ProLeague
Fashion Sakala,Centre-Forward,28,Zambia,Al-Fayha FC,€4.00m,Saudi ProLeague
Carlos Junior,Right Winger,29,Brazil,Al-Shabab FC,€4.00m,Saudi ProLeague
Amadou Kone,Defensive Midfield,20,Cote d'Ivoire,NEOM SC,€4.00m,Saudi ProLeague
Alvaro Medran,Central Midfield,31,Spain,Al-Ettifaq FC,€4.00m,Saudi ProLeague
Ondrej Duda,Central Midfield,30,Slovakia,Al-Ettifaq FC,€3.50m,Saudi ProLeague
Mailson,Goalkeeper,28,Brazil,Al-Taawoun FC,€3.50m,Saudi ProLeague
Jackson Muleka,Centre-Forward,25,DR Congo,Al-Kholood Club,€3.00m,Saudi ProLeague
Georginio Wijnaldum,Central Midfield,34,Netherlands,Al-Ettifaq FC,€3.00m,Saudi ProLeague
Marek Rodak,Goalkeeper,28,Slovakia,Al-Ettifaq FC,€3.00m,Saudi ProLeague
Andrei Girotto,Centre-Back,33,Brazil,Al-Taawoun FC,€3.00m,Saudi ProLeague
Aschraf El Mahdioui,Defensive Midfield,29,Netherlands,Al-Taawoun FC,€3.00m,Saudi ProLeague
Toze,Attacking Midfield,32,Portugal,Al-Riyadh SC,€3.00m,Saudi ProLeague
Joao Costa,Right Winger,20,Portugal,Al-Ettifaq FC,€2.80m,Saudi ProLeague
Jason,Right Winger,31,Spain,Al-Fayha FC,€2.50m,Saudi ProLeague
Jack Hendry,Centre-Back,30,Scotland,Al-Ettifaq FC,€2.50m,Saudi ProLeague
Flavio,Central Midfield,29,Brazil,Al-Taawoun FC,€2.20m,Saudi ProLeague
Konstantinos Fortounis,Attacking Midfield,32,Greece,Al-Khaleej FC,€2.00m,Saudi ProLeague
Sultan Al-Ghannam,Right-Back,31,Saudi Arabia,Al-Nassr FC,€2.00m,Saudi ProLeague
Jorge Fernandes,Centre-Back,28,Portugal,Al-Fateh SC,€2.00m,Saudi ProLeague
Nacho Fernandez,Centre-Back,35,Spain,Al-Qadsiah FC,€2.00m,Saudi ProLeague
Joshua King,Centre-Forward,33,Norway,Al-Khaleej FC,€1.80m,Saudi ProLeague
Abderrazak Hamdallah,Centre-Forward,34,Morocco,Al-Hilal SFC,€1.80m,Saudi ProLeague
Wesley Hoedt,Centre-Back,31,Netherlands,Al-Shabab FC,€1.80m,Saudi ProLeague
Anthony Moris,Goalkeeper,35,Luxembourg,Al-Khaleej FC,€1.80m,Saudi ProLeague
Gokhan Gul,Defensive Midfield,27,Germany,Al-Okhdood Club,€1.70m,Saudi ProLeague
Hassan Tambakti,Centre-Back,26,Saudi Arabia,Al-Hilal SFC,€1.60m,Saudi ProLeague
Faisal Al-Ghamdi,Central Midfield,23,Saudi Arabia,Al-Ittihad Club,€1.50m,Saudi ProLeague
Salem Al-Dawsari,Left Winger,33,Saudi Arabia,Al-Hilal SFC,€1.50m,Saudi ProLeague
William Troost-Ekong,Centre-Back,31,Nigeria,Al-Kholood Club,€1.50m,Saudi ProLeague
Abdulrahman Ghareeb,Left Winger,28,Saudi Arabia,Al-Nassr FC,€1.50m,Saudi ProLeague
Roger Martinez,Centre-Forward,31,Colombia,Al-Taawoun FC,€1.50m,Saudi ProLeague
Unai Hernandez,Central Midfield,20,Spain,Al-Ittihad Club,€1.50m,Saudi ProLeague
Chris Smalling,Centre-Back,35,England,Al-Fayha FC,€1.50m,Saudi ProLeague
Iker Almena,Right Winger,21,Spain,Al-Qadsiah FC,€1.30m,Saudi ProLeague
Nawaf Al-Boushal,Left-Back,25,Saudi Arabia,Al-Nassr FC,€1.30m,Saudi ProLeague
Assan Ceesay,Centre-Forward,31,The Gambia,Damac FC,€1.20m,Saudi ProLeague
Saad Al-Mousa,Centre-Back,22,Saudi Arabia,Al-Ittihad Club,€1.20m,Saudi ProLeague
Dimitrios Kourbelis,Defensive Midfield,31,Greece,Al-Khaleej FC,€1.20m,Saudi ProLeague
Abdulelah Al-Amri,Centre-Back,28,Saudi Arabia,Al-Nassr FC,€1.20m,Saudi ProLeague
Viktor Gyokeres,Centre-Forward,27,Sweden,Sporting CP,€75.00m,Liga Portugal
Samu Aghehowa,Centre-Forward,21,Spain,FC Porto,€50.00m,Liga Portugal
Morten Hjulmand,Defensive Midfield,26,Denmark,Sporting CP,€50.00m,Liga Portugal
Goncalo Inacio,Centre-Back,23,Portugal,Sporting CP,€45.00m,Liga Portugal
Ousmane Diomande,Centre-Back,21,Cote d'Ivoire,Sporting CP,€45.00m,Liga Portugal
Geovany Quenda,Left Winger,18,Portugal,Sporting CP,€45.00m,Liga Portugal
Rodrigo Mora,Attacking Midfield,18,Portugal,FC Porto,€40.00m,Liga Portugal
Diogo Costa,Goalkeeper,25,Portugal,FC Porto,€40.00m,Liga Portugal
Vangelis Pavlidis,Centre-Forward,26,Greece,SL Benfica,€35.00m,Liga Portugal
