name,position,age,nation,club,value
Mason Mount,Attacking Midfield,26,England,Manchester United,€28.00m
Manuel Akanji,Centre-Back,30,Switzerland,Manchester City,€28.00m
Unai Simon,Goalkeeper,28,Spain,Athletic Bilbao,€28.00m
Alex Iwobi,Left Winger,29,Nigeria,Fulham FC,€28.00m
Jack Grealish,Left Winger,29,England,Manchester City,€28.00m
Ismael Saibari,Central Midfield,24,Morocco,PSV Eindhoven,€27.00m
Frank Anguissa,Central Midfield,29,Cameroon,SSC Napoli,€27.00m
Joachim Andersen,Centre-Back,29,Denmark,Fulham FC,€27.00m
Patrik Schick,Centre-Forward,29,Czech Republic,Bayer 04 Leverkusen,€27.00m
Carlos Augusto,Left-Back,26,Brazil,Inter Milan,€26.00m
Luiz Henrique,Right Winger,24,Brazil,Zenit St. Petersburg,€25.00m
Tyrick Mitchell,Left-Back,25,England,Crystal Palace,€25.00m
Loic Bade,Centre-Back,25,France,Sevilla FC,€25.00m
Luis Henrique,Right Midfield,23,Brazil,Inter Milan,€25.00m
Johnny Cardoso,Central Midfield,23,United States,Atlético de Madrid,€25.00m
Wilfried Singo,Centre-Back,24,Cote d'Ivoire,AS Monaco,€25.00m
Odilon Kossounou,Centre-Back,24,Cote d'Ivoire,Atalanta BC,€25.00m
Jean-Clair Todibo,Centre-Back,25,France,West Ham United,€25.00m
Dwight McNeil,Left Winger,25,England,Everton FC,€25.00m
Thiago Almada,Attacking Midfield,24,Argentina,Atlético de Madrid,€25.00m
Radu Dragusin,Centre-Back,23,Romania,Tottenham Hotspur,€25.00m
Joan Garcia,Goalkeeper,24,Spain,FC Barcelona,€25.00m
Kang-in Lee,Right Winger,24,"Korea, South",Paris Saint-Germain,€25.00m
Cheick Doucoure,Defensive Midfield,25,Mali,Crystal Palace,€25.00m
Nuno Tavares,Left-Back,25,Portugal,SS Lazio,€25.00m
Maximilian Kilman,Centre-Back,28,England,West Ham United,€25.00m
Taty Castellanos,Centre-Forward,26,Argentina,SS Lazio,€25.00m
Eduard Spertsyan,Attacking Midfield,25,Armenia,FC Krasnodar,€25.00m
Evann Guessand,Centre-Forward,24,Cote d'Ivoire,OGC Nice,€25.00m
Edon Zhegrova,Right Winger,26,Kosovo,LOSC Lille,€25.00m
Daniel Munoz,Right-Back,29,Colombia,Crystal Palace,€25.00m
Wesley Fofana,Centre-Back,24,France,Chelsea FC,€25.00m
Facundo Medina,Centre-Back,26,Argentina,Olympique Marseille,€25.00m
Calvin Bassey,Centre-Back,25,Nigeria,Fulham FC,€25.00m
Marco Carnesecchi,Goalkeeper,25,Italy,Atalanta BC,€25.00m
Christos Tzolis,Left Winger,23,Greece,Club Brugge KV,€25.00m
Maxence Lacroix,Centre-Back,25,France,Crystal Palace,€25.00m
Matty Cash,Right-Back,27,Poland,Aston Villa,€25.00m
Mats Wieffer,Defensive Midfield,25,Netherlands,Brighton & Hove Albion,€25.00m
Yves Bissouma,Defensive Midfield,28,Mali,Tottenham Hotspur,€25.00m
Ismaila Sarr,Right Winger,27,Senegal,Crystal Palace,€25.00m
Joey Veerman,Central Midfield,26,Netherlands,PSV Eindhoven,€25.00m
Giacomo Raspadori,Second Striker,25,Italy,SSC Napoli,€25.00m
Edson Alvarez,Defensive Midfield,27,Mexico,West Ham United,€25.00m
Callum Hudson-Odoi,Left Winger,24,England,Nottingham Forest,€25.00m
Ferdi Kadioglu,Left-Back,25,Türkiye,Brighton & Hove Albion,€25.00m
Riccardo Orsolini,Right Winger,28,Italy,Bologna FC 1909,€25.00m
Ritsu Doan,Right Winger,27,Japan,SC Freiburg,€25.00m
Hiroki Ito,Centre-Back,26,Japan,Bayern Munich,€25.00m
Benjamin Pavard,Centre-Back,29,France,Inter Milan,€25.00m
Mikel Oyarzabal,Centre-Forward,28,Spain,Real Sociedad,€25.00m
Trevoh Chalobah,Centre-Back,26,England,Chelsea FC,€25.00m
Gerson,Central Midfield,28,Brazil,Zenit St. Petersburg,€25.00m
Noussair Mazraoui,Right-Back,27,Morocco,Manchester United,€25.00m
Noa Lang,Left Winger,26,Netherlands,SSC Napoli,€25.00m
Mile Svilar,Goalkeeper,25,Serbia,AS Roma,€25.00m
Sander Berge,Defensive Midfield,27,Norway,Fulham FC,€25.00m
Donyell Malen,Right Winger,26,Netherlands,Aston Villa,€25.00m
Marcos Llorente,Right Midfield,30,Spain,Atlético de Madrid,€25.00m
Lucas Hernandez,Left-Back,29,France,Paris Saint-Germain,€25.00m
Kevin Danso,Centre-Back,26,Austria,Tottenham Hotspur,€25.00m
Ivan Toney,Centre-Forward,29,England,Al-Ahli SFC,€25.00m
Alexander Sorloth,Centre-Forward,29,Norway,Atlético de Madrid,€25.00m
Andre Onana,Goalkeeper,29,Cameroon,Manchester United,€25.00m
Ruben Neves,Defensive Midfield,28,Portugal,Al-Hilal SFC,€25.00m
Konrad Laimer,Right-Back,28,Austria,Bayern Munich,€25.00m
Stanislav Lobotka,Defensive Midfield,30,Slovakia,SSC Napoli,€25.00m
Julian Brandt,Attacking Midfield,29,Germany,Borussia Dortmund,€25.00m
Adrien Rabiot,Central Midfield,30,France,Olympique Marseille,€25.00m
Mike Maignan,Goalkeeper,30,France,AC Milan,€25.00m
Nathan Ake,Centre-Back,30,Netherlands,Manchester City,€25.00m
Federico Gatti,Centre-Back,27,Italy,Juventus FC,€24.00m
Nico Gonzalez,Right Winger,27,Argentina,Juventus FC,€24.00m
Aaron Wan-Bissaka,Right-Back,27,DR Congo,West Ham United,€24.00m
Galeno,Left Winger,27,Brazil,Al-Ahli SFC,€24.00m
Youssef En-Nesyri,Centre-Forward,28,Morocco,Fenerbahce,€24.00m
Dodo,Right-Back,26,Brazil,ACF Fiorentina,€24.00m
Kerem Akturkoglu,Left Winger,26,Türkiye,SL Benfica,€24.00m
Ibrahim Sangare,Defensive Midfield,27,Cote d'Ivoire,Nottingham Forest,€24.00m
Josip Sutalo,Centre-Back,25,Croatia,Ajax Amsterdam,€24.00m
Arthur Theate,Centre-Back,25,Belgium,Eintracht Frankfurt,€24.00m
Raoul Bellanova,Right Midfield,25,Italy,Atalanta BC,€24.00m
Gianluca Scamacca,Centre-Forward,26,Italy,Atalanta BC,€24.00m
Mohamed Simakan,Centre-Back,25,France,Al-Nassr FC,€23.00m
Keane Lewis-Potter,Left-Back,24,England,Brentford FC,€23.00m
Georges Mikautadze,Centre-Forward,24,Georgia,Olympique Lyon,€22.00m
Samuel Lino,Left Winger,25,Brazil,Atlético de Madrid,€22.00m
Iliman Ndiaye,Left Winger,25,Senegal,Everton FC,€22.00m
Leif Davis,Left-Back,25,England,Ipswich Town,€22.00m
Beto,Centre-Forward,27,Guinea-Bissau,Everton FC,€22.00m
Aitor Paredes,Centre-Back,25,Spain,Athletic Bilbao,€22.00m
Arnaud Kalimuendo,Centre-Forward,23,France,Stade Rennais FC,€22.00m
Lorenzo Lucca,Centre-Forward,24,Italy,SSC Napoli,€22.00m
Chrislain Matsima,Centre-Back,23,France,FC Augsburg,€22.00m
Gabriel Sara,Central Midfield,26,Brazil,Galatasaray,€22.00m
Sepp van den Berg,Centre-Back,23,Netherlands,Brentford FC,€22.00m
Fabio Vieira,Attacking Midfield,25,Portugal,Arsenal FC,€22.00m
Pepe,Right Winger,28,Brazil,FC Porto,€22.00m
Taylor Harwood-Bellis,Centre-Back,23,England,Southampton FC,€22.00m
Koni De Winter,Centre-Back,23,Belgium,Genoa CFC,€22.00m
Yuri Alberto,Centre-Forward,24,Brazil,Sport Club Corinthians Paulista,€22.00m
Crysencio Summerville,Left Winger,23,Netherlands,West Ham United,€22.00m
Brian Brobbey,Centre-Forward,23,Netherlands,Ajax Amsterdam,€22.00m
Marcos Senesi,Centre-Back,28,Argentina,AFC Bournemouth,€22.00m
Benoit Badiashile,Centre-Back,24,France,Chelsea FC,€22.00m
Pedro,Centre-Forward,28,Brazil,CR Flamengo,€22.00m
Jhon Lucumi,Centre-Back,27,Colombia,Bologna FC 1909,€22.00m
Matt O'Riley,Central Midfield,24,Denmark,Brighton & Hove Albion,€22.00m
Axel Disasi,Centre-Back,27,France,Chelsea FC,€22.00m
Florentino,Defensive Midfield,25,Portugal,SL Benfica,€22.00m
Jerdy Schouten,Defensive Midfield,28,Netherlands,PSV Eindhoven,€22.00m
Joe Willock,Central Midfield,25,England,Newcastle United,€22.00m
Ermedin Demirovic,Centre-Forward,27,Bosnia-Herzegovina,VfB Stuttgart,€22.00m
Weston McKennie,Central Midfield,26,United States,Juventus FC,€22.00m
Malcom,Attacking Midfield,28,Brazil,Al-Hilal SFC,€22.00m
Brais Mendez,Attacking Midfield,28,Spain,Real Sociedad,€22.00m
Ola Aina,Right-Back,28,Nigeria,Nottingham Forest,€22.00m
Serge Gnabry,Left Winger,30,Germany,Bayern Munich,€22.00m
Leon Goretzka,Central Midfield,30,Germany,Bayern Munich,€22.00m
Leandro Trossard,Left Winger,30,Belgium,Arsenal FC,€22.00m
Baris Alper Yilmaz,Left Winger,25,Türkiye,Galatasaray,€21.00m
Maxime Esteve,Centre-Back,23,France,Burnley FC,€20.00m
Vanderson,Right-Back,24,Brazil,AS Monaco,€20.00m
Rodrigo Muniz,Centre-Forward,24,Brazil,Fulham FC,€20.00m
Raphael Onyedika,Defensive Midfield,24,Nigeria,Club Brugge KV,€20.00m
Emmanuel Agbadou,Centre-Back,28,Cote d'Ivoire,Wolverhampton Wanderers,€20.00m
Alexsandro,Centre-Back,25,Brazil,LOSC Lille,€20.00m
Kaishu Sano,Defensive Midfield,24,Japan,1.FSV Mainz 05,€20.00m
Yan Couto,Right-Back,23,Brazil,Borussia Dortmund,€20.00m
Leonardo Balerdi,Centre-Back,26,Argentina,Olympique Marseille,€20.00m
Enzo Boyomo,Centre-Back,23,Cameroon,CA Osasuna,€20.00m
Miguel Gutierrez,Left-Back,23,Spain,Girona FC,€20.00m
Jamie Leweling,Right Winger,24,Germany,VfB Stuttgart,€20.00m
Fabio Silva,Centre-Forward,23,Portugal,Wolverhampton Wanderers,€20.00m
Morten Frendrup,Central Midfield,24,Denmark,Genoa CFC,€20.00m
Neco Williams,Right-Back,24,Wales,Nottingham Forest,€20.00m
Djed Spence,Left-Back,24,England,Tottenham Hotspur,€20.00m
Kiernan Dewsbury-Hall,Central Midfield,26,England,Chelsea FC,€20.00m
Marcin Bulka,Goalkeeper,25,Poland,NEOM SC,€20.00m
Djordje Petrovic,Goalkeeper,25,Serbia,AFC Bournemouth,€20.00m
Gustav Isaksen,Right Winger,24,Denmark,SS Lazio,€20.00m
Joao Felix,Second Striker,25,Portugal,Chelsea FC,€20.00m
Nahuel Molina,Right-Back,27,Argentina,Atlético de Madrid,€20.00m
Billy Gilmour,Defensive Midfield,24,Scotland,SSC Napoli,€20.00m
Lutsharel Geertruida,Right-Back,25,Netherlands,RB Leipzig,€20.00m
Robert Sanchez,Goalkeeper,27,Spain,Chelsea FC,€20.00m
Ethan Ampadu,Centre-Back,24,Wales,Leeds United,€20.00m
Angel Gomes,Attacking Midfield,24,England,Olympique Marseille,€20.00m
Hamed Junior Traore,Attacking Midfield,25,Cote d'Ivoire,AFC Bournemouth,€20.00m
Igor,Centre-Back,27,Brazil,Brighton & Hove Albion,€20.00m
Richarlison,Centre-Forward,28,Brazil,Tottenham Hotspur,€20.00m
Mathias Olivera,Left-Back,27,Uruguay,SSC Napoli,€20.00m
Julian Ryerson,Right-Back,27,Norway,Borussia Dortmund,€20.00m
Sergio Gomez,Left Winger,24,Spain,Real Sociedad,€20.00m
Sean Longstaff,Central Midfield,27,England,Leeds United,€20.00m
Davinson Sanchez,Centre-Back,29,Colombia,Galatasaray,€20.00m
Caoimhin Kelleher,Goalkeeper,26,Ireland,Brentford FC,€20.00m
Deniz Undav,Centre-Forward,29,Germany,VfB Stuttgart,€20.00m
Riqui Puig,Central Midfield,25,Spain,Los Angeles Galaxy,€20.00m
Oscar Mingueza,Right-Back,26,Spain,Celta de Vigo,€20.00m
Olivier Boscagli,Centre-Back,27,France,Brighton & Hove Albion,€20.00m
Matvey Safonov,Goalkeeper,26,Russia,Paris Saint-Germain,€20.00m
David Raum,Left-Back,27,Germany,RB Leipzig,€20.00m
Dodi Lukebakio,Right Winger,27,Belgium,Sevilla FC,€20.00m
Fikayo Tomori,Centre-Back,27,England,AC Milan,€20.00m
Marco Asensio,Attacking Midfield,29,Spain,Paris Saint-Germain,€20.00m
Mattia Zaccagni,Left Winger,30,Italy,SS Lazio,€20.00m
Maximilian Mittelstadt,Left-Back,28,Germany,VfB Stuttgart,€20.00m
Angelino,Left-Back,28,Spain,AS Roma,€20.00m
Vitaly Janelt,Defensive Midfield,27,Germany,Brentford FC,€20.00m
Aleksandr Golovin,Attacking Midfield,29,Russia,AS Monaco,€20.00m
Aleix Garcia,Central Midfield,28,Spain,Bayer 04 Leverkusen,€20.00m
Dean Henderson,Goalkeeper,28,England,Crystal Palace,€20.00m
Tosin Adarabioyo,Centre-Back,27,England,Chelsea FC,€20.00m
Joe Gomez,Centre-Back,28,England,Liverpool FC,€20.00m
Jose Maria Gimenez,Centre-Back,30,Uruguay,Atlético de Madrid,€20.00m
Nadiem Amiri,Central Midfield,28,Germany,1.FSV Mainz 05,€20.00m
Thilo Kehrer,Centre-Back,28,Germany,AS Monaco,€20.00m
Fredrik Aursnes,Central Midfield,29,Norway,SL Benfica,€20.00m
Oleksandr Zinchenko,Left-Back,28,Ukraine,Arsenal FC,€20.00m
Pierre-Emile Hojbjerg,Defensive Midfield,29,Denmark,Olympique Marseille,€20.00m
Igor Thiago,Centre-Forward,24,Brazil,Brentford FC,€18.00m
Jake O'Brien,Right-Back,24,Ireland,Everton FC,€18.00m
Gabri Veiga,Attacking Midfield,23,Spain,FC Porto,€18.00m
Jacob Greaves,Centre-Back,24,England,Ipswich Town,€18.00m
Tolu Arokodare,Centre-Forward,24,Nigeria,KRC Genk,€18.00m
Enzo Le Fee,Central Midfield,25,France,Sunderland AFC,€18.00m
Lucas Beltran,Attacking Midfield,24,Argentina,ACF Fiorentina,€18.00m
Benat Prados,Central Midfield,24,Spain,Athletic Bilbao,€18.00m
Rodrigo Zalazar,Central Midfield,25,Uruguay,SC Braga,€18.00m
Filip Jorgensen,Goalkeeper,23,Denmark,Chelsea FC,€18.00m
Sebastian Nanasi,Left Midfield,23,Sweden,RC Strasbourg Alsace,€18.00m
Strahinja Pavlovic,Centre-Back,24,Serbia,AC Milan,€18.00m
Amine Adli,Left Winger,25,Morocco,Bayer 04 Leverkusen,€18.00m
Noah Atubolu,Goalkeeper,23,Germany,SC Freiburg,€18.00m
Malick Thiaw,Centre-Back,23,Germany,AC Milan,€18.00m
Jesper Lindstrom,Right Winger,25,Denmark,VfL Wolfsburg,€18.00m
James Garner,Defensive Midfield,24,England,Everton FC,€18.00m
Eduardo Quaresma,Centre-Back,23,Portugal,Sporting CP,€18.00m
Folarin Balogun,Centre-Forward,24,United States,AS Monaco,€18.00m
Wendel,Central Midfield,27,Brazil,Zenit St. Petersburg,€18.00m
Nicolas Dominguez,Central Midfield,27,Argentina,Nottingham Forest,€18.00m
Logan Costa,Centre-Back,24,Cape Verde,Villarreal CF,€18.00m
Sacha Boey,Right-Back,24,France,Bayern Munich,€18.00m
Eric Garcia,Centre-Back,24,Spain,FC Barcelona,€18.00m
Oumar Solet,Centre-Back,25,France,Udinese Calcio,€18.00m
Cucho Hernandez,Centre-Forward,26,Colombia,Real Betis Balompié,€18.00m
Jean-Ricner Bellegarde,Central Midfield,27,France,Wolverhampton Wanderers,€18.00m
Nicolo Fagioli,Central Midfield,24,Italy,ACF Fiorentina,€18.00m
Pascal Struijk,Centre-Back,25,Netherlands,Leeds United,€18.00m
Nicolas Seiwald,Central Midfield,24,Austria,RB Leipzig,€18.00m
Andriy Lunin,Goalkeeper,26,Ukraine,Real Madrid,€18.00m
Marcus Tavernier,Left Midfield,26,England,AFC Bournemouth,€18.00m
Nicolas de la Cruz,Central Midfield,28,Uruguay,CR Flamengo,€18.00m
Emmanuel Latte Lath,Centre-Forward,26,Cote d'Ivoire,Atlanta United FC,€18.00m
Anel Ahmedhodzic,Centre-Back,26,Bosnia-Herzegovina,Sheffield United,€18.00m
Carlos Soler,Central Midfield,28,Spain,Paris Saint-Germain,€18.00m
Jaka Bijol,Centre-Back,26,Slovenia,Leeds United,€18.00m
Joel Piroe,Centre-Forward,25,Netherlands,Leeds United,€18.00m
Nayef Aguerd,Centre-Back,29,Morocco,West Ham United,€18.00m
Fran Garcia,Left-Back,25,Spain,Real Madrid,€18.00m
Eddie Nketiah,Centre-Forward,26,England,Crystal Palace,€18.00m
Konstantinos Tsimikas,Left-Back,29,Greece,Liverpool FC,€18.00m
Gedson Fernandes,Central Midfield,26,Portugal,Besiktas JK,€18.00m
Tyler Adams,Defensive Midfield,26,United States,AFC Bournemouth,€18.00m
Takehiro Tomiyasu,Right-Back,26,Japan,Without Club,€18.00m
Robin Koch,Centre-Back,29,Germany,Eintracht Frankfurt,€18.00m
Kristoffer Ajer,Centre-Back,27,Norway,Brentford FC,€18.00m
Daniel James,Right Winger,27,Wales,Leeds United,€18.00m
Albert Gudmundsson,Second Striker,28,Iceland,ACF Fiorentina,€18.00m
Michele Di Gregorio,Goalkeeper,27,Italy,Juventus FC,€18.00m
Orel Mangala,Defensive Midfield,27,Belgium,Olympique Lyon,€18.00m
Ludovic Blas,Right Winger,27,France,Stade Rennais FC,€18.00m
Tomas Soucek,Defensive Midfield,30,Czech Republic,West Ham United,€18.00m
Viktor Tsygankov,Right Winger,27,Ukraine,Girona FC,€18.00m
Alex Meret,Goalkeeper,28,Italy,SSC Napoli,€18.00m
Alex Remiro,Goalkeeper,30,Spain,Real Sociedad,€18.00m
Andreas Pereira,Attacking Midfield,29,Brazil,Fulham FC,€18.00m
Waldemar Anton,Centre-Back,29,Germany,Borussia Dortmund,€18.00m
Aleksandar Mitrovic,Centre-Forward,30,Serbia,Al-Hilal SFC,€18.00m
Jhon Arias,Right Winger,27,Colombia,Wolverhampton Wanderers,€17.00m
Maxi Araujo,Left Midfield,25,Uruguay,Sporting CP,€17.00m
Lazar Samardzic,Attacking Midfield,23,Serbia,Atalanta BC,€17.00m
Roger Ibanez,Centre-Back,26,Brazil,Al-Ahli SFC,€17.00m
Martin Terrier,Left Winger,28,France,Bayer 04 Leverkusen,€17.00m
Konstantinos Mavropanos,Centre-Back,27,Greece,West Ham United,€17.00m
Lovro Majer,Attacking Midfield,27,Croatia,VfL Wolfsburg,€17.00m
Alexis Saelemaekers,Right Winger,26,Belgium,AC Milan,€17.00m
Timothy Weah,Right Winger,25,United States,Juventus FC,€17.00m
Diogo Leite,Centre-Back,26,Portugal,1.FC Union Berlin,€17.00m
Romano Schmid,Attacking Midfield,25,Austria,SV Werder Bremen,€17.00m
Sofyan Amrabat,Defensive Midfield,28,Morocco,Fenerbahce,€17.00m
Sergej Milinkovic-Savic,Central Midfield,30,Serbia,Al-Hilal SFC,€17.00m
Tim Kleindienst,Centre-Forward,29,Germany,Borussia Mönchengladbach,€17.00m
Richard Rios,Defensive Midfield,25,Colombia,SL Benfica,€16.00m
Jaden Philogene,Left Winger,23,England,Ipswich Town,€16.00m
Matteo Ruggeri,Left-Back,23,Italy,Atlético de Madrid,€16.00m
Sem Steijn,Attacking Midfield,23,Netherlands,Feyenoord Rotterdam,€16.00m
Illan Meslier,Goalkeeper,25,France,Leeds United,€16.00m
Konstantin Tyukavin,Centre-Forward,23,Russia,Dynamo Moscow,€16.00m
Virgil van Dijk,Centre-Back,34,Netherlands,Liverpool FC,€23.00m
Kevin De Bruyne,Attacking Midfield,34,Belgium,SSC Napoli,€20.00m
Antoine Griezmann,Second Striker,34,France,Atlético de Madrid,€18.00m
Lionel Messi,Right Winger,38,Argentina,Inter Miami CF,€18.00m
Robert Lewandowski,Centre-Forward,36,Poland,FC Barcelona,€12.00m
Cristiano Ronaldo,Centre-Forward,40,Portugal,Al-Nassr FC,€12.00m
Riyad Mahrez,Right Winger,34,Algeria,Al-Ahli SFC,€8.00m
Karim Benzema,Centre-Forward,37,France,Al-Ittihad Club,€7.00m
Alexandre Lacazette,Centre-Forward,34,France,NEOM SC,€6.00m
Kalidou Koulibaly,Centre-Back,34,Senegal,Al-Hilal SFC,€6.00m
Sergio Canales,Attacking Midfield,34,Spain,CF Monterrey,€6.00m
Thomas Muller,Second Striker,35,Germany,Bayern Munich,€6.00m
Bono,Goalkeeper,34,Morocco,Al-Hilal SFC,€5.50m
N'Golo Kante,Defensive Midfield,34,France,Al-Ittihad Club,€5.00m
Raul Jimenez,Centre-Forward,34,Mexico,Fulham FC,€5.00m
Inigo Martinez,Centre-Back,34,Spain,FC Barcelona,€5.00m
Marten de Roon,Defensive Midfield,34,Netherlands,Atalanta BC,€5.00m
Benjamin Andre,Defensive Midfield,34,France,LOSC Lille,€5.00m
Pascal Gross,Central Midfield,34,Germany,Borussia Dortmund,€5.00m
Danny Welbeck,Centre-Forward,34,England,Brighton & Hove Albion,€5.00m
David de Gea,Goalkeeper,34,Spain,ACF Fiorentina,€5.00m
Ilkay Gundogan,Central Midfield,34,Germany,Manchester City,€5.00m
Ante Budimir,Centre-Forward,34,Croatia,CA Osasuna,€5.00m
Kieran Trippier,Right-Back,34,England,Newcastle United,€4.00m
Kyle Walker,Right-Back,35,England,Burnley FC,€4.00m
Joselu,Centre-Forward,35,Spain,Al-Gharafa SC,€4.00m
Henrikh Mkhitaryan,Central Midfield,36,Armenia,Inter Milan,€4.00m
Andrej Kramaric,Attacking Midfield,34,Croatia,TSG 1899 Hoffenheim,€4.00m
Yann Sommer,Goalkeeper,36,Switzerland,Inter Milan,€4.00m
Luka Modric,Central Midfield,39,Croatia,AC Milan,€4.00m
Manuel Neuer,Goalkeeper,39,Germany,Bayern Munich,€4.00m
Danilo,Centre-Back,34,Brazil,CR Flamengo,€3.50m
Rodrigo,Centre-Forward,34,Spain,Al-Rayyan SC,€3.50m
Duvan Zapata,Centre-Forward,34,Colombia,Torino FC,€3.50m
Pierre-Emerick Aubameyang,Centre-Forward,36,Gabon,Without Club,€3.50m
Lucas Vazquez,Right-Back,34,Spain,Without Club,€3.00m
Francesco Acerbi,Centre-Back,37,Italy,Inter Milan,€3.00m
Marco Bizot,Goalkeeper,34,Netherlands,Aston Villa,€3.00m
Alan Patrick,Attacking Midfield,34,Brazil,Sport Club Internacional,€3.00m
Oliver Baumann,Goalkeeper,35,Germany,TSG 1899 Hoffenheim,€3.00m
Georginio Wijnaldum,Central Midfield,34,Netherlands,Al-Ettifaq FC,€3.00m
Marko Arnautovic,Centre-Forward,36,Austria,Red Star Belgrade,€3.00m
Martin Braithwaite,Centre-Forward,34,Denmark,Grêmio Foot-Ball Porto Alegrense,€2.70m
Florian Lejeune,Centre-Back,34,France,Rayo Vallecano,€2.50m
Remy Cabella,Attacking Midfield,35,France,Olympiacos Piraeus,€2.50m
James Rodriguez,Attacking Midfield,34,Colombia,Club León FC,€2.50m
Lukasz Skorupski,Goalkeeper,34,Poland,Bologna FC 1909,€2.50m
Luuk de Jong,Centre-Forward,34,Netherlands,Without Club,€2.50m
Jordan Henderson,Defensive Midfield,35,England,Brentford FC,€2.50m
Matteo Darmian,Right-Back,35,Italy,Inter Milan,€2.50m
Kevin Kampl,Central Midfield,34,Slovenia,RB Leipzig,€2.50m
Kevin Trapp,Goalkeeper,35,Germany,Eintracht Frankfurt,€2.50m
Ciro Immobile,Centre-Forward,35,Italy,Bologna FC 1909,€2.20m
Dusan Tadic,Right Winger,36,Serbia,Without Club,€2.20m
Florian Sotoca,Centre-Forward,34,France,RC Lens,€2.00m
Djaniny,Centre-Forward,34,Cape Verde,Without Club,€2.00m
Denes Dibusz,Goalkeeper,34,Hungary,Ferencvárosi TC,€2.00m
Wissam Ben Yedder,Centre-Forward,34,France,Without Club,€2.00m
Allan,Defensive Midfield,34,Brazil,Botafogo de Futebol e Regatas,€2.00m
Nemanja Matic,Defensive Midfield,36,Serbia,Olympique Lyon,€2.00m
Iago Aspas,Centre-Forward,37,Spain,Celta de Vigo,€2.00m
Yacine Brahimi,Left Winger,35,Algeria,Al-Gharafa SC,€2.00m
Nacho Fernandez,Centre-Back,35,Spain,Al-Qadsiah FC,€2.00m
Giacomo Bonaventura,Attacking Midfield,35,Italy,Without Club,€2.00m
Peter Gulacsi,Goalkeeper,35,Hungary,RB Leipzig,€2.00m
Lars Unnerstall,Goalkeeper,35,Germany,Twente Enschede FC,€2.00m
Christian Benteke,Centre-Forward,34,Belgium,D.C. United,€2.00m
Lukas Hradecky,Goalkeeper,35,Finland,Bayer 04 Leverkusen,€2.00m
Angel Di Maria,Right Winger,37,Argentina,CA Rosario Central,€2.00m
Miralem Pjanic,Central Midfield,35,Bosnia-Herzegovina,Without Club,€2.00m
Marco Reus,Attacking Midfield,36,Germany,Los Angeles Galaxy,€2.00m
Axel Witsel,Centre-Back,36,Belgium,Without Club,€2.00m
Abderrazak Hamdallah,Centre-Forward,34,Morocco,Al-Hilal SFC,€1.80m
Romain Saiss,Centre-Back,35,Morocco,Al-Sadd SC,€1.80m
Lorenzo Insigne,Left Winger,34,Italy,Without Club,€1.80m
German Pezzella,Centre-Back,34,Argentina,CA River Plate,€1.80m
Alex Sandro,Left-Back,34,Brazil,CR Flamengo,€1.80m
Anthony Moris,Goalkeeper,35,Luxembourg,Al-Khaleej FC,€1.80m
Luis Suarez,Centre-Forward,38,Uruguay,Inter Miami CF,€1.80m
Enner Valencia,Centre-Forward,35,Ecuador,Sport Club Internacional,€1.70m
Edin Dzeko,Centre-Forward,39,Bosnia-Herzegovina,ACF Fiorentina,€1.60m
Junior Messias,Right Winger,34,Brazil,Genoa CFC,€1.50m
Romarinho,Centre-Forward,34,Brazil,Esporte Clube Vitória,€1.50m
Rodrigo Rey,Goalkeeper,34,Argentina,CA Independiente,€1.50m
Willy Boly,Centre-Back,34,Cote d'Ivoire,Nottingham Forest,€1.50m
Claudio Aquino,Attacking Midfield,34,Argentina,CSD Colo-Colo,€1.50m
Benjamin Lecomte,Goalkeeper,34,France,Montpellier HSC,€1.50m
Cedric Bakambu,Centre-Forward,34,DR Congo,Real Betis Balompié,€1.50m
Idrissa Gueye,Defensive Midfield,35,Senegal,Everton FC,€1.50m
Tom Cairney,Central Midfield,34,Scotland,Fulham FC,€1.50m
Juan Jesus,Centre-Back,34,Brazil,SSC Napoli,€1.50m
Craig Dawson,Centre-Back,35,England,Without Club,€1.50m
Marcos Alonso,Left-Back,34,Spain,Celta de Vigo,€1.50m
Neto,Goalkeeper,36,Brazil,AFC Bournemouth,€1.50m
Jeffrey Gouweleeuw,Centre-Back,34,Netherlands,FC Augsburg,€1.50m
Esteban Andrada,Goalkeeper,34,Argentina,CF Monterrey,€1.50m
Jordy Clasie,Defensive Midfield,34,Netherlands,AZ Alkmaar,€1.50m
Chris Smalling,Centre-Back,35,England,Al-Fayha FC,€1.50m
Tiquinho Soares,Centre-Forward,34,Brazil,Santos FC,€1.50m
Olivier Giroud,Centre-Forward,38,France,LOSC Lille,€1.50m
Hulk,Centre-Forward,38,Brazil,Clube Atlético Mineiro,€1.50m
Jason Steele,Goalkeeper,34,England,Brighton & Hove Albion,€1.50m
Jordi Alba,Left-Back,36,Spain,Inter Miami CF,€1.50m
Weverton,Goalkeeper,37,Brazil,Sociedade Esportiva Palmeiras,€1.50m
Andriy Yarmolenko,Right Winger,35,Ukraine,Dynamo Kyiv,€1.50m
Milan Djuric,Centre-Forward,35,Bosnia-Herzegovina,Parma Calcio 1913,€1.50m
Sergio Busquets,Defensive Midfield,37,Spain,Inter Miami CF,€1.50m
Dani Parejo,Central Midfield,36,Spain,Villarreal CF,€1.50m
Roman Burki,Goalkeeper,34,Switzerland,St. Louis CITY SC,€1.50m
