Name,Age,Nation,Position,Club,League,Confederation,MarketValue,Field,OVR,PAC,SHO,PAS,DRI,DEF,PHY
Lee Jin Yong,24,"Korea, South",Defensive_Midfielder,Daegu FC,K_League1,AFC,8,MF,65,59,48,61,64,63,73
Lee Myung Jae,31,"Korea, South",Left_Back,Daejeon Hana Citizen,K_League1,AFC,8,DF,68,77,43,60,68,60,68
Lee Myung Joo,35,"Korea, South",Central_Midfielder,Incheon United,K_League2,AFC,6,MF,69,68,61,67,69,60,72
Lee Seung Mo,27,"Korea, South",Central_Midfielder,FC Seoul,K_League1,AFC,8,MF,62,70,57,56,63,56,76
Lee Seung Woo,27,"Korea, South",Attacking_Midfielder,Jeonbuk Hyundai Motors,K_League1,AFC,9,MF,72,82,70,66,74,41,63
Lee Soon Min,31,"Korea, South",Central_Midfielder,Daejeon Hana Citizen,K_League1,AFC,9,MF,70,68,61,65,69,67,79
Lee Yeong Jae,30,"Korea, South",Central_Midfielder,Jeonbuk Hyundai Motors,K_League1,AFC,11,MF,71,75,62,69,73,58,69
Leif Davis,25,England,Left_Back,Ipswich Town,Championship,UEFA,358,DF,76,80,54,75,73,70,73
Leighton Clarkson,23,England,Attacking_Midfielder,Aberdeen FC,Scottish_Premiership,UEFA,21,MF,70,66,64,71,71,60,56
Lennard Maloney,25,United States,Defensive_Midfielder,1.FSV Mainz 05,Bundesliga,CONCACAF,57,MF,73,64,44,56,60,75,86
Lennon Miller,18,Scotland,Central_Midfielder,Motherwell FC,Scottish_Premiership,UEFA,130,MF,66,73,58,66,67,52,63
Leny Yoro,19,France,Centre_Back,Manchester United,PremierLeague,UEFA,894,DF,78,73,41,59,61,79,73
Leo Duarte,29,Brazil,Centre_Back,Basaksehir FK,SuperLig,CONMEBOL,49,DF,75,57,36,49,60,76,78
Leo Kokubo,24,Japan,Goalkeeper,Sint-Truidense VV,Jupiler_ProLeague,AFC,49,GK,64,63,62,60,65,41,63
Leo Leroy,25,France,Central_Midfielder,FC Basel 1893,Swiss_SuperLeague,UEFA,32,MF,69,53,56,69,69,61,66
Leonardo Balerdi,26,Argentina,Centre_Back,Olympique Marseille,Ligue1,CONMEBOL,325,DF,79,64,45,62,68,80,77
Leonardo Fernandez,26,Uruguay,Attacking_Midfielder,CA Peñarol,Other_leagues,CONMEBOL,122,MF,76,78,79,76,75,44,64
Leonardo Morales,34,Argentina,Centre_Back,Club Atlético Belgrano,Liga_Profesional,CONMEBOL,11,DF,72,70,33,52,64,72,76
Leonardo Pavoletti,36,Italy,Striker,Cagliari Calcio,Serie_A,UEFA,11,FW,70,49,68,53,61,39,68
Leon Avdullahu,21,Switzerland,Defensive_Midfielder,TSG 1899 Hoffenheim,Bundesliga,UEFA,162,MF,63,59,48,59,59,57,63
Leonel Picco,26,Argentina,Defensive_Midfielder,Club Atlético Platense,Liga_Profesional,CONMEBOL,49,MF,68,54,58,61,63,65,73
Leon Flach,24,United States,Defensive_Midfielder,Jagiellonia Bialystok,Ekstraklasa,CONCACAF,49,MF,68,82,54,63,69,68,70
Leon Goretzka,30,Germany,Central_Midfielder,Bayern Munich,Bundesliga,UEFA,358,MF,83,70,80,80,81,80,85
Leon Grgic,19,Austria,Striker,SK Sturm Graz,Austria_Bundesliga,UEFA,41,FW,60,64,62,48,58,19,56
Leon King,21,Scotland,Centre_Back,Rangers FC,Scottish_Premiership,UEFA,13,DF,66,69,34,60,65,66,64
Leo Ostigard,25,Norway,Centre_Back,Stade Rennais FC,Ligue1,UEFA,162,DF,72,64,37,50,61,71,79
Leopold Querfeld,21,Austria,Centre_Back,1.FC Union Berlin,Bundesliga,UEFA,211,DF,73,61,40,55,51,72,82
Leopold Wahlstedt,26,Sweden,Goalkeeper,Aarhus GF,Danish_Superligaen,UEFA,16,GK,67,68,64,64,70,36,65
Leo Roman,25,Spain,Goalkeeper,RCD Mallorca,LaLiga,UEFA,81,GK,73,71,72,69,75,49,70
Leo Sauer,19,Slovakia,Left_Winger,Feyenoord Rotterdam,Eredivisie,UEFA,81,FW,66,81,58,61,70,39,59
Lesley Ugochukwu,21,France,Defensive_Midfielder,Chelsea FC,PremierLeague,UEFA,292,MF,73,64,57,68,68,72,75
Levi Colwill,22,England,Centre_Back,Chelsea FC,PremierLeague,UEFA,894,DF,77,69,40,68,68,77,77
Levi Garcia,27,Trinidad and Tobago,Striker,Spartak Moscow,Russian_PremierLiga,CONCACAF,195,FW,78,89,77,71,81,35,82
Levin Winkler,21,Switzerland,Central_Midfielder,FC Luzern,Swiss_SuperLeague,UEFA,29,MF,62,62,48,61,62,61,57
Lewin Blum,24,Switzerland,Right_Back,BSC Young Boys,Swiss_SuperLeague,UEFA,49,DF,70,74,27,64,69,65,66
Lewis Cook,28,England,Central_Midfielder,AFC Bournemouth,PremierLeague,UEFA,244,MF,77,60,62,75,77,73,68
Lewis Ferguson,25,Scotland,Central_Midfielder,Bologna FC 1909,Serie_A,UEFA,455,MF,79,75,78,75,80,73,82
Lewis Hall,20,England,Left_Back,Newcastle United,PremierLeague,UEFA,520,DF,73,74,62,74,75,68,59
Lewis Holtby,34,Germany,Central_Midfielder,Holstein Kiel,Bundesliga_2,UEFA,8,MF,74,61,66,75,76,63,67
Lewis Mayo,25,Scotland,Centre_Back,Kilmarnock FC,Scottish_Premiership,UEFA,14,DF,66,68,36,53,59,65,73
Lewis Miley,19,England,Central_Midfielder,Newcastle United,PremierLeague,UEFA,358,MF,72,65,61,72,73,64,66
Lewis Miller,24,Australia,Right_Back,Hibernian FC,Scottish_Premiership,AFC,15,DF,67,66,43,57,62,65,73
Lewis Morgan,28,Scotland,Left_Winger,New York Red Bulls,MLS,UEFA,65,FW,73,82,74,71,75,55,68
Lewis Neilson,22,Scotland,Centre_Back,Falkirk FC,Scottish_Premiership,UEFA,11,DF,64,66,27,48,55,63,66
Liam Delap,22,England,Striker,Chelsea FC,PremierLeague,UEFA,650,FW,71,76,70,58,70,29,74
Liam Kitching,25,England,Centre_Back,Coventry City,Championship,UEFA,73,DF,70,67,34,53,58,67,79
Liam Scales,26,Ireland,Centre_Back,Celtic FC,Scottish_Premiership,UEFA,65,DF,73,70,56,63,63,71,79
Liberato Cacace,24,New Zealand,Left_Back,Wrexham AFC,Championship,OFC,49,DF,72,71,60,66,69,68,76
Liel Abada,23,Israel,Right_Winger,Charlotte FC,MLS,UEFA,114,FW,74,87,72,67,73,41,59
Lilian Brassier,25,France,Centre_Back,Stade Rennais FC,Ligue1,UEFA,162,DF,78,69,37,65,69,79,75
Lionel Messi,38,Argentina,Right_Winger,Inter Miami CF,MLS,CONMEBOL,292,FW,88,79,85,87,92,33,64
Lisandro Martinez,27,Argentina,Centre_Back,Manchester United,PremierLeague,CONMEBOL,650,DF,84,71,59,78,79,85,81
Lloyd Kelly,26,England,Centre_Back,Juventus FC,Serie_A,UEFA,260,DF,75,67,40,65,67,75,78
Lluis Lopez,28,Spain,Centre_Back,Shandong Taishan,Chinese_SuperLeague,UEFA,8,DF,69,65,36,56,61,69,74
Logan Costa,24,Cabo Verde,Centre_Back,Villarreal CF,LaLiga,CAF,292,DF,74,48,38,55,61,75,75
Logan Farrington,23,United States,Striker,FC Dallas,MLS,CONCACAF,13,FW,55,59,55,32,48,22,63
Logan Rogerson,27,New Zealand,Right_Winger,Auckland FC,A_League,OFC,7,FW,62,81,59,53,64,43,62
Loic Bade,25,France,Centre_Back,Sevilla FC,LaLiga,UEFA,406,DF,77,55,45,56,63,77,77
Loic Lapoussin,29,Madagascar,Side_Midfielder,Sint-Truidense VV,Jupiler_ProLeague,CAF,41,MF,74,75,67,70,77,66,72
Lois Openda,25,Belgium,Striker,RB Leipzig,Bundesliga,UEFA,812,FW,85,93,84,69,81,31,79
Lorenz Assignon,25,France,Right_Back,VfB Stuttgart,Bundesliga,UEFA,146,DF,74,74,51,63,72,70,67
Lorenzo Amatucci,21,Italy,Defensive_Midfielder,UD Las Palmas,LaLiga_2,UEFA,57,MF,60,56,46,60,63,55,50
Lorenzo De Silvestri,37,Italy,Right_Back,Bologna FC 1909,Serie_A,UEFA,13,DF,72,63,67,71,68,71,73
Lorenzo Insigne,34,Italy,Left_Winger,Toronto FC,MLS,UEFA,29,FW,78,79,77,79,81,36,44
Lorenzo Lucca,24,Italy,Striker,SSC Napoli,Serie_A,UEFA,358,FW,72,57,73,59,64,32,80
Lorenzo Melgarejo,34,Paraguay,Left_Winger,Club Libertad Asunción,Other_leagues,CONMEBOL,6,FW,73,83,72,65,76,56,69
Lorenzo Montipo,29,Italy,Goalkeeper,Hellas Verona,Serie_A,UEFA,32,GK,77,75,73,69,83,42,75
Lorenzo Pellegrini,29,Italy,Attacking_Midfielder,AS Roma,Serie_A,UEFA,146,MF,83,79,78,83,83,74,78
Lorenzo Pirola,23,Italy,Centre_Back,Olympiacos Piraeus,SuperLeague1,UEFA,98,DF,71,64,42,52,58,72,64
Loum Tchaouna,21,France,Right_Winger,Burnley FC,PremierLeague,UEFA,162,FW,70,75,72,63,71,37,59
Lovro Majer,27,Croatia,Attacking_Midfielder,VfL Wolfsburg,Bundesliga,UEFA,276,MF,78,62,73,80,83,60,71
Luca Caldirola,34,Italy,Centre_Back,AC Monza,Serie_B,UEFA,11,DF,73,32,42,63,59,76,65
Luca Lipani,20,Italy,Defensive_Midfielder,US Sassuolo,Serie_A,UEFA,57,MF,66,54,44,63,61,62,61
Luca Ranieri,26,Italy,Centre_Back,ACF Fiorentina,Serie_A,UEFA,195,DF,74,70,41,59,68,77,63
Lucas Acosta,30,Argentina,Goalkeeper,CA Sarmiento (Junin),Liga_Profesional,CONMEBOL,20,GK,71,70,71,70,73,60,72
Lucas Bartlett,28,United States,Centre_Back,D.C. United,MLS,CONCACAF,24,DF,68,52,26,38,42,67,78
Lucas Beraldo,21,Brazil,Centre_Back,Paris Saint-Germain,Ligue1,CONMEBOL,406,DF,77,68,38,65,67,76,74
Lucas Bergvall,19,Sweden,Central_Midfielder,Tottenham Hotspur,PremierLeague,UEFA,618,MF,68,72,52,67,73,53,65
Lucas Chevalier,23,France,Goalkeeper,LOSC Lille,Ligue1,UEFA,488,GK,80,80,79,72,83,45,78
Lucas Da Cunha,24,France,Central_Midfielder,Como 1907,Serie_A,UEFA,162,MF,74,79,69,69,78,39,56
Lucas Digne,32,France,Left_Back,Aston Villa,PremierLeague,UEFA,162,DF,79,73,68,78,76,76,74
Lucas Gourna-Douath,21,France,Defensive_Midfielder,Red Bull Salzburg,Austria_Bundesliga,UEFA,130,MF,73,76,52,65,71,70,77
Lucas Hernandez,29,France,Left_Back,Paris Saint-Germain,Ligue1,UEFA,406,DF,83,74,54,72,71,84,78
Lucas Hey,22,Denmark,Centre_Back,RSC Anderlecht,Jupiler_ProLeague,UEFA,81,DF,67,62,41,56,63,68,65
Lucas Hogsberg,19,Denmark,Centre_Back,FC Nordsjaelland,Danish_Superligaen,UEFA,57,DF,57,71,25,44,58,51,58
Lucas Lund,25,Denmark,Goalkeeper,Viborg FF,Danish_Superligaen,UEFA,24,GK,69,70,68,67,70,35,69
Lucas Martinez Quarta,29,Argentina,Centre_Back,CA River Plate,Liga_Profesional,CONMEBOL,114,DF,77,56,56,69,70,76,78
Lucas Mauragis,23,Australia,Left_Back,Central Coast Mariners,A_League,AFC,6,DF,65,77,50,60,64,58,72
Lucas Paqueta,27,Brazil,Attacking_Midfielder,West Ham United,PremierLeague,CONMEBOL,455,MF,82,72,77,79,85,69,79
Lucas Perez,36,Spain,Striker,PSV Eindhoven,Eredivisie,UEFA,6,FW,75,74,76,75,72,30,70
Lucas Perri,27,Brazil,Goalkeeper,Leeds United,PremierLeague,CONMEBOL,162,GK,78,81,73,80,81,35,75
Lucas Pires,24,Brazil,Left_Back,Burnley FC,PremierLeague,CONMEBOL,81,DF,72,76,49,64,64,67,66
Lucas Possignolo,31,Brazil,Centre_Back,Zhejiang FC,Chinese_SuperLeague,CONMEBOL,13,DF,70,49,37,46,50,70,75
Lucas Sanabria,21,Uruguay,Defensive_Midfielder,Los Angeles Galaxy,MLS,CONMEBOL,65,MF,63,57,48,57,62,60,59
Lucas Stassin,20,Belgium,Striker,AS Saint-Étienne,Ligue2,UEFA,292,FW,68,69,72,63,68,34,57
Lucas Torreira,29,Uruguay,Defensive_Midfielder,Galatasaray,SuperLig,CONMEBOL,211,MF,83,76,69,78,81,81,81
Lucas Vazquez,34,Spain,Right_Back,Real Madrid,LaLiga,UEFA,49,DF,81,81,74,80,81,74,69
Luca Zidane,27,France,Goalkeeper,Granada CF,LaLiga_2,UEFA,24,GK,70,72,67,66,70,37,71
Luciano Acosta,31,Argentina,Attacking_Midfielder,FC Dallas,MLS,CONMEBOL,98,MF,81,79,73,76,85,46,56
Lucien Agoume,23,France,Defensive_Midfielder,Sevilla FC,LaLiga,UEFA,130,MF,72,61,54,69,73,69,70
Ludovit Reis,25,Netherlands,Central_Midfielder,Club Brugge KV,Jupiler_ProLeague,UEFA,114,MF,73,73,63,68,76,67,72
Ludwig Augustinsson,31,Sweden,Left_Back,RSC Anderlecht,Jupiler_ProLeague,UEFA,49,DF,74,66,59,74,67,73,71
Luis Diaz,28,Colombia,Left_Winger,Liverpool FC,PremierLeague,CONMEBOL,1138,FW,84,90,80,75,87,39,75
Luis Ingolotti,25,Argentina,Goalkeeper,Club de Gimnasia y Esgrima La Plata,Liga_Profesional,CONMEBOL,16,GK,66,68,66,58,66,31,65
Luis Maximiano,26,Portugal,Goalkeeper,UD Almería,LaLiga_2,UEFA,49,GK,77,77,75,72,79,55,72
Luis Muriel,34,Colombia,Striker,Orlando City SC,MLS,CONMEBOL,20,FW,78,85,78,73,82,29,67
Luis Palma,25,Honduras,Left_Winger,Lech Poznan,Ekstraklasa,CONCACAF,49,FW,74,77,74,75,75,32,63
Luis Suarez,38,Uruguay,Striker,Inter Miami CF,MLS,CONMEBOL,29,FW,82,64,85,78,77,41,75
Luis Toomey,24,New Zealand,Central_Midfielder,Auckland FC,A_League,OFC,4,MF,54,60,47,54,56,40,60
Luiz Junior,24,Brazil,Goalkeeper,Villarreal CF,LaLiga,CONMEBOL,162,GK,76,76,75,69,77,30,76
Luka Ivanusec,26,Croatia,Left_Winger,PAOK Thessaloniki,SuperLeague1,UEFA,57,FW,76,65,73,72,83,58,73
Luka Modric,39,Croatia,Central_Midfielder,AC Milan,Serie_A,UEFA,65,MF,86,72,76,88,87,71,64
Lukas Gortler,31,Germany,Side_Midfielder,FC St. Gallen 1879,Swiss_SuperLeague,UEFA,20,MF,72,69,69,75,68,59,79
Lukas Grgic,29,Austria,Defensive_Midfielder,Rapid Vienna,Austria_Bundesliga,UEFA,24,MF,69,67,44,60,62,66,82
Lukas Haraslin,29,Slovakia,Left_Winger,AC Sparta Prague,Chance_Liga,UEFA,122,FW,78,80,74,73,81,40,59
Lukas Hornicek,23,Czech Republic,Goalkeeper,SC Braga,Liga_Portugal,UEFA,98,GK,66,70,63,69,67,23,66
Lukas Hradecky,35,Finland,Goalkeeper,Bayer 04 Leverkusen,Bundesliga,UEFA,32,GK,84,85,80,69,87,40,82
Lukas Kacavenda,22,Croatia,Attacking_Midfielder,LASK,Austria_Bundesliga,UEFA,32,MF,68,66,64,66,70,52,67
Lukas Kelly-Heald,20,New Zealand,Left_Back,Wellington Phoenix,A_League,OFC,5,DF,61,60,42,52,56,60,68
Lukas Klostermann,29,Germany,Centre_Back,RB Leipzig,Bundesliga,UEFA,130,DF,79,82,50,64,70,81,76
Lukas Lerager,32,Denmark,Central_Midfielder,FC Copenhagen,Danish_Superligaen,UEFA,29,MF,73,68,69,69,69,71,84
Lukas MacNaughton,30,Canada,Centre_Back,D.C. United,MLS,CONCACAF,20,DF,62,60,31,39,49,62,69
Luka Sucic,22,Croatia,Central_Midfielder,Real Sociedad,LaLiga,UEFA,244,MF,74,79,73,74,74,49,69
Lukas Ullrich,21,Germany,Left_Back,Borussia Mönchengladbach,Bundesliga,UEFA,130,DF,62,67,43,54,62,56,61
Lukasz Fabianski,40,Poland,Goalkeeper,Without Club,Unknown,UEFA,8,GK,77,77,78,68,76,49,77
Lukasz Lakomy,24,Poland,Central_Midfielder,BSC Young Boys,Swiss_SuperLeague,UEFA,57,MF,69,67,55,61,65,65,73
Lukasz Skorupski,34,Poland,Goalkeeper,Bologna FC 1909,Serie_A,UEFA,41,GK,79,79,76,68,83,51,78
Luka Vuskovic,18,Croatia,Centre_Back,Tottenham Hotspur,PremierLeague,UEFA,195,DF,64,61,62,50,58,59,75
Luke Amos,28,England,Central_Midfielder,Perth Glory,A_League,UEFA,6,MF,66,46,54,65,66,63,61
Luke Brattan,35,Australia,Defensive_Midfielder,Macarthur FC,A_League,AFC,6,MF,68,53,63,70,65,60,78
Luke McCowan,27,Scotland,Central_Midfielder,Celtic FC,Scottish_Premiership,UEFA,41,MF,69,75,70,70,73,57,62
Luke Shaw,30,England,Left_Back,Manchester United,PremierLeague,UEFA,195,DF,82,75,57,82,78,81,78
Luke Supyk,19,New Zealand,Striker,Wellington Phoenix,A_League,OFC,2,FW,54,76,51,43,53,29,61
Lutsharel Geertruida,25,Netherlands,Right_Back,RB Leipzig,Bundesliga,UEFA,325,DF,79,75,57,70,76,79,78
Luuk de Jong,34,Netherlands,Striker,PSV Eindhoven,Eredivisie,UEFA,41,FW,81,44,80,73,73,57,80
Lyall Cameron,22,Scotland,Attacking_Midfielder,Rangers FC,Scottish_Premiership,UEFA,29,MF,65,77,62,63,66,59,61
Lyle Foster,24,South Africa,Striker,Burnley FC,PremierLeague,CAF,98,FW,72,79,72,61,69,36,73
Lynden Gooch,29,United States,Right_Back,Huddersfield Town,League_One,CONCACAF,16,DF,69,81,61,62,68,63,76
M'Bala Nzola,28,Angola,Striker,ACF Fiorentina,Serie_A,CAF,98,FW,78,88,74,60,75,29,82
Maarten Paes,27,Indonesia,Goalkeeper,FC Dallas,MLS,AFC,29,GK,71,72,66,68,74,31,70
Maarten Vandevoordt,23,Belgium,Goalkeeper,RB Leipzig,Bundesliga,UEFA,130,GK,75,77,74,73,76,40,73
Mads Agger,25,Denmark,Right_Winger,Sönderjyske Fodbold,Danish_Superligaen,UEFA,16,FW,54,66,54,39,54,19,54
Mads Bech Sorensen,26,Denmark,Centre_Back,FC Midtjylland,Danish_Superligaen,UEFA,81,DF,72,53,43,56,61,73,75
Mads Bidstrup,24,Denmark,Central_Midfielder,Red Bull Salzburg,Austria_Bundesliga,UEFA,162,MF,71,70,55,69,72,72,75
Mads Emil Madsen,27,Denmark,Central_Midfielder,Aarhus GF,Danish_Superligaen,UEFA,32,MF,71,67,61,70,72,67,76
Mads Hermansen,25,Denmark,Goalkeeper,Leicester City,Championship,UEFA,244,GK,76,76,74,78,79,50,75
Mads Larsen,23,Denmark,Central_Midfielder,Silkeborg IF,Danish_Superligaen,UEFA,20,MF,64,69,57,61,64,57,48
Maduka Okoye,25,Nigeria,Goalkeeper,Udinese Calcio,Serie_A,CAF,122,GK,74,73,72,68,78,24,74
Mady Camara,28,Guinea,Central_Midfielder,PAOK Thessaloniki,SuperLeague1,CAF,122,MF,72,70,71,71,71,74,83
Magnus Mattsson,26,Denmark,Central_Midfielder,FC Copenhagen,Danish_Superligaen,UEFA,65,MF,73,67,70,70,76,39,62
Magomed Ozdoev,32,Russia,Defensive_Midfielder,PAOK Thessaloniki,SuperLeague1,UEFA,24,MF,74,69,71,74,72,72,71
Mahdi Camara,27,France,Central_Midfielder,Stade Brestois 29,Ligue1,UEFA,146,MF,76,61,63,72,76,75,75
Maher Carrizo,19,Argentina,Right_Winger,CA Vélez Sarsfield,Liga_Profesional,CONMEBOL,98,FW,63,79,65,49,65,21,60
Maikel Mesa,34,Spain,Attacking_Midfielder,CD Tenerife,Other_leagues,UEFA,6,MF,71,69,73,67,71,65,83
Mailson,28,Brazil,Goalkeeper,Al-Taawoun FC,Saudi_ProLeague,CONMEBOL,57,GK,73,73,73,78,71,36,73
Majid Hosseini,29,Iran,Centre_Back,Kayserispor,SuperLig,AFC,21,DF,69,58,30,47,50,70,75
Makhtar Gueye,27,Senegal,Striker,Blackburn Rovers,Championship,CAF,49,FW,70,63,69,55,60,32,85
Malcom,28,Brazil,Attacking_Midfielder,Al-Hilal SFC,Saudi_ProLeague,CONMEBOL,358,MF,82,84,79,79,84,43,72
Malcom Braida,28,Argentina,Side_Midfielder,CA Boca Juniors,Liga_Profesional,CONMEBOL,65,MF,76,82,69,70,76,72,72
Malick Fofana,20,Belgium,Left_Winger,Olympique Lyon,Ligue1,UEFA,488,FW,72,87,62,64,79,35,42
Malick Thiaw,23,Germany,Centre_Back,AC Milan,Serie_A,UEFA,292,DF,78,73,47,69,72,77,78
Malik Tillman,23,United States,Attacking_Midfielder,Bayer 04 Leverkusen,Bundesliga,CONCACAF,520,MF,77,80,68,72,80,62,72
Malo Gusto,22,France,Right_Back,Chelsea FC,PremierLeague,UEFA,569,DF,80,88,49,75,78,73,75
Mama Balde,29,Guinea-Bissau,Striker,Stade Brestois 29,Ligue1,CAF,65,FW,73,85,71,65,72,49,76
Mamadou Diop,25,Mauritania,Goalkeeper,Grenoble Foot 38,Ligue2,CAF,16,GK,58,61,54,59,66,28,53
Mamadou Sangare,23,Mali,Central_Midfielder,Rapid Vienna,Austria_Bundesliga,CAF,98,MF,67,82,64,64,72,49,62
Mamadou Sarr,19,France,Centre_Back,Chelsea FC,PremierLeague,UEFA,325,DF,65,62,30,51,54,65,68
Mamadou Traore,30,Mali,Centre_Back,Dalian Yingbo,Chinese_SuperLeague,CAF,12,DF,71,44,32,56,54,71,75
Mamady Diambou,22,Mali,Defensive_Midfielder,Red Bull Salzburg,Austria_Bundesliga,CAF,49,MF,65,74,52,59,66,60,65
Mamour Ndiaye,19,Senegal,Goalkeeper,Sarpsborg 08 FF,Eliteserien,CAF,20,GK,54,54,53,55,56,18,55
Mandela Keita,23,Belgium,Defensive_Midfielder,Parma Calcio 1913,Serie_A,UEFA,195,MF,75,78,56,67,75,72,80
Manfred Fischer,29,Austria,Central_Midfielder,Austria Vienna,Austria_Bundesliga,UEFA,16,MF,68,71,64,68,68,49,76
Manolis Siopis,31,Greece,Defensive_Midfielder,Panathinaikos FC,SuperLeague1,UEFA,29,MF,73,73,45,64,70,71,73
Manprit Sarkaria,28,Austria,Striker,Austria Vienna,Austria_Bundesliga,UEFA,13,FW,72,82,72,71,74,36,71
Manuel Akanji,30,Switzerland,Centre_Back,Manchester City,PremierLeague,UEFA,455,DF,84,78,48,71,75,85,82
Manuel Locatelli,27,Italy,Defensive_Midfielder,Juventus FC,Serie_A,UEFA,488,MF,83,64,70,80,78,79,80
Manuel Neuer,39,Germany,Goalkeeper,Bayern Munich,Bundesliga,UEFA,65,GK,86,83,81,90,83,49,88
Manuel Palacios,32,Colombia,Right_Winger,Wuhan Three Towns,Chinese_SuperLeague,CONMEBOL,6,FW,66,90,58,58,68,45,73
Manuel Roffo,25,Argentina,Goalkeeper,Instituto ACC,Liga_Profesional,CONMEBOL,57,GK,74,75,72,72,75,23,72
Manuel Ugarte,24,Uruguay,Defensive_Midfielder,Manchester United,PremierLeague,CONMEBOL,731,MF,81,69,65,73,77,78,80
Marash Kumbulla,25,Albania,Centre_Back,AS Roma,Serie_A,UEFA,122,DF,74,39,32,53,56,77,73
Marc-Andre ter Stegen,33,Germany,Goalkeeper,FC Barcelona,LaLiga,UEFA,195,GK,89,86,85,89,91,47,86
Marc Bartra,34,Spain,Centre_Back,Real Betis Balompié,LaLiga,UEFA,16,DF,78,68,61,71,72,78,75
Marc Casado,21,Spain,Defensive_Midfielder,FC Barcelona,LaLiga,UEFA,488,MF,65,58,54,62,66,62,53
Marc Cucurella,27,Spain,Left_Back,Chelsea FC,PremierLeague,UEFA,569,DF,82,75,60,80,80,78,76
Marcel Hartel,29,Germany,Central_Midfielder,St. Louis CITY SC,MLS,UEFA,73,MF,75,72,70,73,79,43,61
Marcelino Moreno,30,Argentina,Attacking_Midfielder,CA Lanús,Liga_Profesional,CONMEBOL,81,MF,77,87,70,72,81,53,61
Marcelino Nunez,25,Chile,Central_Midfielder,Norwich City,Championship,CONMEBOL,98,MF,72,63,67,73,74,63,67
Marcelo Brozovic,32,Croatia,Defensive_Midfielder,Al-Nassr FC,Saudi_ProLeague,UEFA,162,MF,82,66,74,79,80,80,80
Marcel Sabitzer,31,Austria,Central_Midfielder,Borussia Dortmund,Bundesliga,UEFA,130,MF,84,76,84,81,82,75,79
Marc Guehi,25,England,Centre_Back,Crystal Palace,PremierLeague,UEFA,731,DF,81,72,39,65,72,82,77
Marc Guiu,19,Spain,Striker,Chelsea FC,PremierLeague,UEFA,130,FW,67,54,70,50,63,27,65
Marcin Bulka,25,Poland,Goalkeeper,NEOM SC,Saudi_ProLeague,UEFA,325,GK,79,79,76,71,81,27,79
Marc Mateu,35,Spain,Left_Back,CD Tenerife,Other_leagues,UEFA,6,DF,70,65,69,74,70,65,68
Marco Bizot,34,Netherlands,Goalkeeper,Aston Villa,PremierLeague,UEFA,49,GK,79,79,76,72,80,46,79
Marco Brescianini,25,Italy,Central_Midfielder,Atalanta BC,Serie_A,UEFA,130,MF,69,53,64,64,66,63,72
Marco Carnesecchi,25,Italy,Goalkeeper,Atalanta BC,Serie_A,UEFA,406,GK,82,84,79,71,85,30,83
Marco Di Cesare,23,Argentina,Centre_Back,Racing Club,Liga_Profesional,CONMEBOL,146,DF,71,52,31,44,43,74,75
Marco Farfan,26,United States,Left_Back,FC Dallas,MLS,CONCACAF,32,DF,67,70,45,54,67,64,67
Marco Friedl,27,Austria,Centre_Back,SV Werder Bremen,Bundesliga,UEFA,195,DF,75,71,42,61,67,76,75
Marco Pellegrino,23,Argentina,Centre_Back,CA Boca Juniors,Liga_Profesional,CONMEBOL,65,DF,69,61,39,52,56,70,70
Marco Silvestri,34,Italy,Goalkeeper,FC Empoli,Serie_B,UEFA,8,GK,76,76,76,60,78,59,78
Marcos Ledesma,28,Argentina,Goalkeeper,CA Barracas Central,Liga_Profesional,CONMEBOL,21,GK,68,70,65,61,69,51,67
Marcos Leonardo,22,Brazil,Striker,Al-Hilal SFC,Saudi_ProLeague,CONMEBOL,292,FW,77,76,77,53,74,26,67
Marcos Llorente,30,Spain,Side_Midfielder,Atlético de Madrid,LaLiga,UEFA,406,MF,83,89,79,78,80,79,81
Marcos Senesi,28,Argentina,Centre_Back,AFC Bournemouth,PremierLeague,CONMEBOL,358,DF,78,57,42,70,72,79,77
Marcus Antonsson,34,Sweden,Striker,IFK Värnamo,Allsvenskan,UEFA,7,FW,65,77,63,53,64,38,74
Marcus Edwards,26,England,Right_Winger,Burnley FC,PremierLeague,UEFA,195,FW,79,85,70,72,85,30,48
Marcus Ingvartsen,29,Denmark,Striker,San Diego FC,MLS,UEFA,65,FW,73,62,77,67,73,38,72
Marcus Linday,22,Sweden,Central_Midfielder,SC Heerenveen,Eredivisie,UEFA,65,MF,60,60,54,53,60,48,61
Marcus Tavernier,26,England,Side_Midfielder,AFC Bournemouth,PremierLeague,UEFA,292,MF,76,77,72,71,78,60,64
Marcus Thuram,27,France,Striker,Inter Milan,Serie_A,UEFA,1219,FW,83,87,81,77,82,50,84
Marek Rodak,28,Slovakia,Goalkeeper,Al-Ettifaq FC,Saudi_ProLeague,UEFA,49,GK,74,74,71,72,75,47,72
Marian Aioani,25,Romania,Goalkeeper,FC Rapid 1923,Romaina_SuperLiga,UEFA,16,GK,68,68,67,67,69,35,67
Mariano Troilo,22,Argentina,Centre_Back,Club Atlético Belgrano,Liga_Profesional,CONMEBOL,65,DF,63,46,29,43,46,62,73
Marino Hinestroza,23,Colombia,Right_Winger,Atlético Nacional,Liga_Dimayor,CONMEBOL,98,FW,60,79,61,52,64,29,43
