name,field,position,age,nation,confederation,club,league,value_billion_krw,Identifier
Baltasar Rodriguez,MF,Attacking_Midfielder,22,Argentina,CONMEBOL,Inter Miami CF,MLS,73.1,baltasarrodriguez_ARG
Philippe Coutinho,MF,Attacking_Midfielder,33,Brazil,CONMEBOL,Clube de Regatas Vasco da Gama,Brasileiro_SerieA,73.1,philippecoutinho_BRA
Santiago Rodriguez,MF,Attacking_Midfielder,25,Uruguay,CONMEBOL,Botafogo de Futebol e Regatas,Brasileiro_SerieA,73.1,santiagorodriguez_URU
Paulo Diaz,DF,Centre_Back,30,Chile,CONMEBOL,CA River Plate,Liga_Profesional,73.1,paulodiaz_CHI
Nahitan Nandez,MF,Central_Midfielder,29,Uruguay,CONMEBOL,Al-Qadsiah FC,Saudi_ProLeague,73.1,nahitannandez_URU
Walace,MF,Defensive_Midfielder,30,Brazil,CONMEBOL,Cruzeiro Esporte Clube,Brasileiro_SerieA,73.1,walace_BRA
Agustin Canobbio,FW,Left_Winger,26,Uruguay,CONMEBOL,Fluminense Football Club,Brasileiro_SerieA,73.1,agustincanobbio_URU
Rav van den Berg,DF,Centre_Back,21,Netherlands,UEFA,Middlesbrough FC,Championship,73.1,ravvandenberg_NET
Matteo Dams,DF,Left_Back,21,Belgium,UEFA,Al-Ahli SFC,Saudi_ProLeague,73.1,matteodams_BEL
Georgios Koutsias,FW,Striker,21,Greece,UEFA,FC Lugano,Swiss_SuperLeague,73.1,georgioskoutsias_GRE
Kyriani Sabbe,DF,Right_Back,20,Belgium,UEFA,Club Brugge KV,Jupiler_ProLeague,73.1,kyrianisabbe_BEL
Luis Romo,MF,Central_Midfielder,30,Mexico,CONCACAF,Deportivo Guadalajara,Liga_MX,73.1,luisromo_MEX
Alan Cervantes,MF,Defensive_Midfielder,27,Mexico,CONCACAF,CF América,Liga_MX,73.1,alancervantes_MEX
Kaku,MF,Attacking_Midfielder,30,Paraguay,CONMEBOL,Al-Ain FC,UAE_ProLeague,73.1,kaku_PAR
William,DF,Right_Back,30,Brazil,CONMEBOL,Cruzeiro Esporte Clube,Brasileiro_SerieA,73.1,william_BRA
Miguel Rodriguez,FW,Right_Winger,22,Spain,UEFA,FC Utrecht,Eredivisie,73.1,miguelrodriguez_SPA
Amir Hadziahmetovic,MF,Defensive_Midfielder,28,Bosnia-Herzegovina,UEFA,Besiktas JK,SuperLig,73.1,amirhadziahmetovic_BOS
Nathan Broadhead,FW,Left_Winger,27,Wales,UEFA,Ipswich Town,Championship,73.1,nathanbroadhead_WAL
Liam Kitching,DF,Centre_Back,25,England,UEFA,Coventry City,Championship,73.1,liamkitching_ENG
Hakim Ziyech,FW,Right_Winger,32,Morocco,CAF,Without Club,Without_Club,73.1,hakimziyech_MOR
Kelechi Iheanacho,FW,Striker,28,Nigeria,CAF,Sevilla FC,LaLiga,73.1,kelechiiheanacho_NIG
Aboubakary Koita,FW,Left_Winger,26,Mauritania,CAF,AEK Athens,SuperLeague1,73.1,aboubakarykoita_MAU
Bernard Tekpetey,FW,Right_Winger,27,Ghana,CAF,Ludogorets Razgrad,Efbet_Liga,73.1,bernardtekpetey_GHA
Amine Bassi,MF,Attacking_Midfielder,27,Morocco,CAF,Houston Dynamo FC,MLS,73.1,aminebassi_MOR
Mohammed Fuseini,FW,Striker,23,Ghana,CAF,Union Saint-Gilloise,Jupiler_ProLeague,73.1,mohammedfuseini_GHA
Arseniy Batagov,DF,Centre_Back,23,Ukraine,UEFA,Trabzonspor,SuperLig,73.1,arseniybatagov_UKR
Scott Twine,MF,Attacking_Midfielder,26,England,UEFA,Bristol City,Championship,73.1,scotttwine_ENG
Amankwah Forson,MF,Central_Midfielder,22,Ghana,CAF,Norwich City,Championship,73.1,amankwahforson_GHA
Samuel Essende,FW,Striker,27,Congo,CAF,FC Augsburg,Bundesliga,73.1,samuelessende_CON
Alieu Fadera,FW,Left_Winger,23,Gambia,CAF,Como 1907,Serie_A,73.1,alieufadera_GAM
Mohamed Belloumi,FW,Right_Winger,23,Algeria,CAF,Hull City,Championship,73.1,mohamedbelloumi_ALG
Kevin Carlos,FW,Striker,24,Spain,UEFA,FC Basel 1893,Swiss_SuperLeague,73.1,kevincarlos_SPA
Jamie Roche,MF,Defensive_Midfielder,24,Sweden,UEFA,FC Lausanne-Sport,Swiss_SuperLeague,73.1,jamieroche_SWE
Giorgi Chakvetadze,MF,Attacking_Midfielder,25,Georgia,UEFA,Watford FC,Championship,73.1,giorgichakvetadze_GEO
Finn van Breemen,DF,Centre_Back,22,Netherlands,UEFA,FC Basel 1893,Swiss_SuperLeague,73.1,finnvanbreemen_NET
Ryan Giles,DF,Left_Back,25,England,UEFA,Hull City,Championship,73.1,ryangiles_ENG
Harry Clarke,DF,Right_Back,24,England,UEFA,Ipswich Town,Championship,73.1,harryclarke_ENG
Emil Riis,FW,Striker,27,Denmark,UEFA,Bristol City,Championship,73.1,emilriis_DEN
Ricardo Pereira,DF,Right_Back,31,Portugal,UEFA,Leicester City,Championship,73.1,ricardopereira_POR
Jesus Angulo,MF,Attacking_Midfielder,28,Mexico,CONCACAF,Deportivo Toluca,Liga_MX,73.1,jesusangulo_MEX
Cesar Montes,DF,Centre_Back,28,Mexico,CONCACAF,Lokomotiv Moscow,Russian_PremierLiga,73.1,cesarmontes_MEX
Jordan Zemura,DF,Left_Back,25,Zimbabwe,CAF,Udinese Calcio,Serie_A,73.1,jordanzemura_ZIM
Lameck Banda,FW,Left_Winger,24,Zambia,CAF,US Lecce,Serie_A,73.1,lameckbanda_ZAM
Andreas Ntoi,DF,Centre_Back,22,Greece,UEFA,Rio Ave FC,Liga_Portugal,73.1,andreasntoi_GRE
Karol Swiderski,FW,Striker,28,Poland,UEFA,Panathinaikos FC,SuperLeague1,73.1,karolswiderski_POL
Koen Casteels,GK,Goalkeeper,33,Belgium,UEFA,Al-Qadsiah FC,Saudi_ProLeague,73.1,koencasteels_BEL
Danilo Pereira,DF,Centre_Back,33,Portugal,UEFA,Al-Ittihad Club,Saudi_ProLeague,73.1,danilopereira_POR
Christiaan Ravych,DF,Centre_Back,22,Belgium,UEFA,Cercle Brugge ,Jupiler_ProLeague,73.1,christiaanravych_BEL
Kamil Piatkowski,DF,Centre_Back,25,Poland,UEFA,Red Bull Salzburg,Austria_Bundesliga,73.1,kamilpiatkowski_POL
Aleksandr Maksimenko,GK,Goalkeeper,27,Russia,UEFA,Spartak Moscow,Russian_PremierLiga,73.1,aleksandrmaksimenko_RUS
Michael Zetterer,GK,Goalkeeper,30,Germany,UEFA,SV Werder Bremen,Bundesliga,73.1,michaelzetterer_GER
Koba Koindredi,MF,Central_Midfielder,23,France,UEFA,FC Basel 1893,Swiss_SuperLeague,73.1,kobakoindredi_FRA
Adriano Bertaccini,FW,Striker,24,Belgium,UEFA,Sint-Truidense VV,Jupiler_ProLeague,73.1,adrianobertaccini_BEL
Alan Franco,DF,Centre_Back,28,Argentina,CONMEBOL,São Paulo Futebol Clube,Brasileiro_SerieA,73.1,alanfranco_ARG
Leonel Perez,MF,Defensive_Midfielder,20,Argentina,CONMEBOL,CA Huracán,Liga_Profesional,73.1,leonelperez_ARG
Alex Arce,FW,Striker,30,Paraguay,CONMEBOL,CS Independiente Rivadavia,Liga_Profesional,73.1,alexarce_PAR
Bruno Mendez,DF,Centre_Back,25,Uruguay,CONMEBOL,Deportivo Toluca,Liga_MX,73.1,brunomendez_URU
Carlos Rotondi,FW,Left_Winger,28,Argentina,CONMEBOL,CD Cruz Azul,Liga_MX,73.1,carlosrotondi_ARG
Nemanja Maksimovic,MF,Central_Midfielder,30,Serbia,UEFA,Panathinaikos FC,SuperLeague1,73.1,nemanjamaksimovic_SER
Bruno Duarte,FW,Striker,29,Brazil,CONMEBOL,Red Star Belgrade,Superliga_Srbjie,73.1,brunoduarte_BRA
Eric Ramires,MF,Central_Midfielder,24,Brazil,CONMEBOL,Red Bull Bragantino,Brasileiro_SerieA,73.1,ericramires_BRA
Luca Orellano,FW,Right_Winger,25,Argentina,CONMEBOL,FC Cincinnati,MLS,73.1,lucaorellano_ARG
Erick,MF,Defensive_Midfielder,27,Brazil,CONMEBOL,Esporte Clube Bahia,Brasileiro_SerieA,73.1,erick_BRA
Santiago Simon,MF,Side_Midfielder,23,Argentina,CONMEBOL,CA River Plate,Liga_Profesional,73.1,santiagosimon_ARG
Exequiel Zeballos,FW,Right_Winger,23,Argentina,CONMEBOL,CA Boca Juniors,Liga_Profesional,73.1,exequielzeballos_ARG
Facundo Kruspzky,FW,Left_Winger,22,Argentina,CONMEBOL,Al-Wahda FC,UAE_ProLeague,73.1,facundokruspzky_ARG
Marcel Hartel,MF,Central_Midfielder,29,Germany,UEFA,St. Louis CITY SC,MLS,73.1,marcelhartel_GER
Pep Biel,MF,Attacking_Midfielder,28,Spain,UEFA,Charlotte FC,MLS,73.1,pepbiel_SPA
Bryan Gonzalez,DF,Left_Back,22,Mexico,CONCACAF,Deportivo Guadalajara,Liga_MX,73.1,bryangonzalez_MEX
Caio Lucas,FW,Left_Winger,31,United Arab Emirates,AFC,Sharjah FC,UAE_ProLeague,73.1,caiolucas_UNI
Hamza Choudhury,MF,Defensive_Midfielder,27,Bangladesh,AFC,Leicester City,Championship,73.1,hamzachoudhury_BAN
Seol Young Woo,DF,Right_Back,26,"Korea, South",AFC,Red Star Belgrade,Superliga_Srbjie,73.1,seolyoungwoo_KOR
Nicolas Gimenez,MF,Attacking_Midfielder,29,United Arab Emirates,AFC,Al-Wasl FC,UAE_ProLeague,73.1,nicolasgimenez_UNI
Tatsuhiro Sakamoto,MF,Side_Midfielder,28,Japan,AFC,Coventry City,Championship,73.1,tatsuhirosakamoto_JAP
Firas Al-Buraikan,FW,Striker,25,Saudi Arabia,AFC,Al-Ahli SFC,Saudi_ProLeague,73.1,firasal-buraikan_SAU
Berat Ozdemir,MF,Defensive_Midfielder,27,Turkey,UEFA,Basaksehir FK,SuperLig,68.2,beratozdemir_TUR
Victor Hugo,MF,Attacking_Midfielder,21,Brazil,CONMEBOL,CR Flamengo,Brasileiro_SerieA,68.2,victorhugo_BRA
Kacper Kozlowski,MF,Attacking_Midfielder,21,Poland,UEFA,Gaziantep FK,SuperLig,68.2,kacperkozlowski_POL
Musab Al-Juwayr,MF,Central_Midfielder,22,Saudi Arabia,AFC,Al-Hilal SFC,Saudi_ProLeague,65.0,musabal-juwayr_SAU
Seiya Maikuma,DF,Right_Back,27,Japan,AFC,AZ Alkmaar,Eredivisie,65.0,seiyamaikuma_JAP
David Mella,FW,Right_Winger,20,Spain,UEFA,Deportivo de La Coruña,LaLiga_2,65.0,davidmella_SPA
Patrick Agyemang,FW,Striker,24,United States,CONCACAF,Derby County,Championship,65.0,patrickagyemang_UNI
Ozziel Herrera,FW,Right_Winger,24,Mexico,CONCACAF,Tigres UANL,Liga_MX,65.0,ozzielherrera_MEX
Daniel Jebbison,FW,Striker,22,Canada,CONCACAF,Preston North End,Championship,65.0,danieljebbison_CAN
Aidan Morris,MF,Central_Midfielder,23,United States,CONCACAF,Middlesbrough FC,Championship,65.0,aidanmorris_UNI
Jacob Shaffelburg,FW,Left_Winger,25,Canada,CONCACAF,Nashville SC,MLS,65.0,jacobshaffelburg_CAN
Fernando Beltran,MF,Central_Midfielder,27,Mexico,CONCACAF,Club León FC,Liga_MX,65.0,fernandobeltran_MEX
Nestory Irankunda,FW,Right_Winger,19,Australia,AFC,Watford FC,Championship,65.0,nestoryirankunda_AUS
Keita Kosugi,DF,Left_Back,19,Japan,AFC,Djurgårdens IF,Allsvenskan,65.0,keitakosugi_JAP
Zidane Iqbal,MF,Central_Midfielder,22,Iraq,AFC,FC Utrecht,Eredivisie,65.0,zidaneiqbal_IRA
Onni Valakari,MF,Attacking_Midfielder,25,Finland,UEFA,San Diego FC,MLS,65.0,onnivalakari_FIN
Adilson Malanda,DF,Centre_Back,23,France,UEFA,Charlotte FC,MLS,65.0,adilsonmalanda_FRA
Andres Cubas,MF,Defensive_Midfielder,29,Paraguay,CONMEBOL,Vancouver Whitecaps FC,MLS,65.0,andrescubas_PAR
Lewis Morgan,FW,Left_Winger,28,Scotland,UEFA,New York Red Bulls,MLS,65.0,lewismorgan_SCO
Saba Lobjanidze,FW,Left_Winger,30,Georgia,UEFA,Atlanta United FC,MLS,65.0,sabalobjanidze_GEO
Bartosz Slisz,MF,Defensive_Midfielder,26,Poland,UEFA,Atlanta United FC,MLS,65.0,bartoszslisz_POL
Enea Mihaj,DF,Centre_Back,27,Albania,UEFA,Atlanta United FC,MLS,65.0,eneamihaj_ALB
Junior Ligue,DF,Left_Back,20,Switzerland,UEFA,FC Zürich,Swiss_SuperLeague,65.0,juniorligue_SWI
Mihailo Ivanovic,FW,Striker,20,Serbia,UEFA,Millwall FC,Championship,65.0,mihailoivanovic_SER
Dzenan Pejcinovic,FW,Striker,20,Germany,UEFA,VfL Wolfsburg,Bundesliga,65.0,dzenanpejcinovic_GER
Max Finkgrafe,DF,Left_Back,21,Germany,UEFA,RB Leipzig,Bundesliga,65.0,maxfinkgrafe_GER
Cheveyo Tsawa,MF,Central_Midfielder,18,Switzerland,UEFA,FC Zürich,Swiss_SuperLeague,65.0,cheveyotsawa_SWI
Willy Kambwala,DF,Centre_Back,20,France,UEFA,Villarreal CF,LaLiga,65.0,willykambwala_FRA
Matko Miljevic,MF,Attacking_Midfielder,24,United States,CONCACAF,CA Huracán,Liga_Profesional,65.0,matkomiljevic_UNI
Kodai Sano,MF,Central_Midfielder,21,Japan,AFC,NEC Nijmegen,Eredivisie,65.0,kodaisano_JAP
Mattia Liberali,MF,Attacking_Midfielder,18,Italy,UEFA,AC Milan Primavera,Other_leagues,65.0,mattialiberali_ITA
Vasilije Adzic,MF,Attacking_Midfielder,19,Montenegro,UEFA,Juventus FC,Serie_A,65.0,vasilijeadzic_MON
Samuel Amo-Ameyaw,FW,Right_Winger,19,England,UEFA,RC Strasbourg Alsace,Ligue1,65.0,samuelamo-ameyaw_ENG
Hugo Sotelo,MF,Central_Midfielder,21,Spain,UEFA,Celta de Vigo,LaLiga,65.0,hugosotelo_SPA
Kevin Zeroli,MF,Central_Midfielder,20,Italy,UEFA,AC Monza,Serie_B,65.0,kevinzeroli_ITA
Oliver Braude,DF,Right_Back,21,Norway,UEFA,SC Heerenveen,Eredivisie,65.0,oliverbraude_NOR
Maxi Oyedele,MF,Defensive_Midfielder,20,Poland,UEFA,RC Strasbourg Alsace,Ligue1,65.0,maxioyedele_POL
Love Arrhov,MF,Attacking_Midfielder,17,Sweden,UEFA,IF Brommapojkarna,Allsvenskan,65.0,lovearrhov_SWE
Louis Leroux,MF,Attacking_Midfielder,19,France,UEFA,FC Nantes,Ligue1,65.0,louisleroux_FRA
Emmanuel Biumla,DF,Centre_Back,20,France,UEFA,Angers SCO,Ligue1,65.0,emmanuelbiumla_FRA
Deniz Gul,FW,Striker,21,Turkey,UEFA,FC Porto,Liga_Portugal,65.0,denizgul_TUR
Qazim Laci,MF,Central_Midfielder,29,Albania,UEFA,Caykur Rizespor,SuperLig,65.0,qazimlaci_ALB
Dominik Schmid,DF,Left_Back,27,Switzerland,UEFA,FC Basel 1893,Swiss_SuperLeague,65.0,dominikschmid_SWI
Nikola Stulic,FW,Striker,23,Serbia,UEFA,Royal Charleroi SC,Jupiler_ProLeague,65.0,nikolastulic_SER
Timothe Cognat,MF,Central_Midfielder,27,France,UEFA,Servette FC,Swiss_SuperLeague,65.0,timothecognat_FRA
Meschack Elia,FW,Striker,27,Congo,CAF,BSC Young Boys,Swiss_SuperLeague,65.0,meschackelia_CON
Yann Sommer,GK,Goalkeeper,36,Switzerland,UEFA,Inter Milan,Serie_A,65.0,yannsommer_SWI
Manuel Neuer,GK,Goalkeeper,39,Germany,UEFA,Bayern Munich,Bundesliga,65.0,manuelneuer_GER
Philip Otele,FW,Left_Winger,26,Nigeria,CAF,FC Basel 1893,Swiss_SuperLeague,65.0,philipotele_NIG
Vitezslav Jaros,GK,Goalkeeper,24,Czech Republic,UEFA,Ajax Amsterdam,Eredivisie,65.0,vitezslavjaros_CZE
Ruslan Neshcheret,GK,Goalkeeper,23,Ukraine,UEFA,Dynamo Kyiv,Ukrainian_PremierLeague,65.0,ruslanneshcheret_UKR
Jeong Woo Yeong,MF,Attacking_Midfielder,25,"Korea, South",AFC,1.FC Union Berlin,Bundesliga,65.0,jeongwooyeong_KOR
Omri Glazer,GK,Goalkeeper,29,Israel,UEFA,Red Star Belgrade,Superliga_Srbjie,65.0,omriglazer_ISR
Evgeniy Latyshonok,GK,Goalkeeper,27,Russia,UEFA,Zenit St. Petersburg,Russian_PremierLiga,65.0,evgeniylatyshonok_RUS
Robin Zentner,GK,Goalkeeper,30,Germany,UEFA,1.FSV Mainz 05,Bundesliga,65.0,robinzentner_GER
Slawomir Abramowicz,GK,Goalkeeper,21,Poland,UEFA,Jagiellonia Bialystok,Ekstraklasa,65.0,slawomirabramowicz_POL
Kacper Trelowski,GK,Goalkeeper,21,Poland,UEFA,Raków Częstochowa,Ekstraklasa,65.0,kacpertrelowski_POL
Tobe Leysen,GK,Goalkeeper,23,Belgium,UEFA,Oud-Heverlee Leuven,Jupiler_ProLeague,65.0,tobeleysen_BEL
Ricardo Velho,GK,Goalkeeper,26,Portugal,UEFA,SC Farense,Other_leagues,65.0,ricardovelho_POR
Samuel Soares,GK,Goalkeeper,23,Portugal,UEFA,SL Benfica,Liga_Portugal,65.0,samuelsoares_POR
Arijon Ibrahimovic,MF,Attacking_Midfielder,19,Germany,UEFA,1.FC Heidenheim 1846,Bundesliga,65.0,arijonibrahimovic_GER
Alan Mozo,DF,Right_Back,28,Mexico,CONCACAF,Deportivo Guadalajara,Liga_MX,65.0,alanmozo_MEX
Peter Vindahl,GK,Goalkeeper,27,Denmark,UEFA,AC Sparta Prague,Chance_Liga,65.0,petervindahl_DEN
Mark Travers,GK,Goalkeeper,26,Ireland,UEFA,Everton FC,PremierLeague,65.0,marktravers_IRE
Matthieu Epolo,GK,Goalkeeper,20,Belgium,UEFA,Standard Liège,Jupiler_ProLeague,65.0,matthieuepolo_BEL
Jon Gorenc Stankovic,MF,Defensive_Midfielder,29,Slovenia,UEFA,SK Sturm Graz,Austria_Bundesliga,65.0,jongorencstankovic_SLO
Andrew,GK,Goalkeeper,24,Brazil,CONMEBOL,Gil Vicente FC,Liga_Portugal,65.0,andrew_BRA
Dimitri Lavalee,DF,Left_Back,28,Belgium,UEFA,SK Sturm Graz,Austria_Bundesliga,65.0,dimitrilavalee_BEL
Tochi Chukwuani,MF,Central_Midfielder,22,Denmark,UEFA,SK Sturm Graz,Austria_Bundesliga,65.0,tochichukwuani_DEN
Robin Roefs,GK,Goalkeeper,22,Netherlands,UEFA,NEC Nijmegen,Eredivisie,65.0,robinroefs_NET
Omri Gandelman,MF,Attacking_Midfielder,25,Israel,UEFA,KAA Gent,Jupiler_ProLeague,65.0,omrigandelman_ISR
Bjorn Meijer,DF,Left_Back,22,Netherlands,UEFA,Club Brugge KV,Jupiler_ProLeague,65.0,bjornmeijer_NET
Hugo Siquet,DF,Right_Back,23,Belgium,UEFA,Club Brugge KV,Jupiler_ProLeague,65.0,hugosiquet_BEL
Hugo Vetlesen,MF,Central_Midfielder,25,Norway,UEFA,Club Brugge KV,Jupiler_ProLeague,65.0,hugovetlesen_NOR
Niclas Eliasson,MF,Side_Midfielder,29,Sweden,UEFA,AEK Athens,SuperLeague1,65.0,niclaseliasson_SWE
Tuur Rommens,DF,Left_Back,22,Belgium,UEFA,KVC Westerlo,Jupiler_ProLeague,65.0,tuurrommens_BEL
Enric Llansana,MF,Defensive_Midfielder,24,Netherlands,UEFA,RSC Anderlecht,Jupiler_ProLeague,65.0,enricllansana_NET
Max Weiss,GK,Goalkeeper,21,Germany,UEFA,Burnley FC,PremierLeague,65.0,maxweiss_GER
Magnus Mattsson,MF,Central_Midfielder,26,Denmark,UEFA,FC Copenhagen,Danish_Superligaen,65.0,magnusmattsson_DEN
Pau Victor,FW,Striker,23,Spain,UEFA,SC Braga,Liga_Portugal,65.0,pauvictor_SPA
Gabri Martinez,FW,Left_Winger,22,Spain,UEFA,SC Braga,Liga_Portugal,65.0,gabrimartinez_SPA
Oscar Aranda,FW,Left_Winger,23,Spain,UEFA,FC Famalicão,Liga_Portugal,65.0,oscararanda_SPA
Alan,MF,Attacking_Midfielder,25,Brazil,CONMEBOL,Moreirense FC,Liga_Portugal,65.0,alan_BRA
Leonardo Lelo,DF,Left_Back,25,Portugal,UEFA,SC Braga,Liga_Portugal,65.0,leonardolelo_POR
Gorby,MF,Central_Midfielder,23,France,UEFA,SC Braga,Liga_Portugal,65.0,gorby_FRA
Carlos Junior,FW,Right_Winger,29,Brazil,CONMEBOL,Al-Shabab FC,Saudi_ProLeague,65.0,carlosjunior_BRA
Alvaro Medran,MF,Central_Midfielder,31,Spain,UEFA,Al-Ettifaq FC,Saudi_ProLeague,65.0,alvaromedran_SPA
Yaya Fofana,MF,Central_Midfielder,21,Cote d'Ivoire,CAF,Stade Reims,Ligue2,65.0,yayafofana_COT
Edo Kayembe,MF,Central_Midfielder,27,Congo,CAF,Watford FC,Championship,65.0,edokayembe_CON
Tiago Gouveia,FW,Right_Winger,24,Portugal,UEFA,SL Benfica,Liga_Portugal,65.0,tiagogouveia_POR
Ze Pedro,DF,Centre_Back,28,Portugal,UEFA,FC Porto,Liga_Portugal,65.0,zepedro_POR
Marko Grujic,MF,Defensive_Midfielder,29,Serbia,UEFA,FC Porto,Liga_Portugal,65.0,markogrujic_SER
Vasco Sousa,MF,Central_Midfielder,22,Portugal,UEFA,FC Porto,Liga_Portugal,65.0,vascosousa_POR
Andi Zeqiri,FW,Striker,26,Switzerland,UEFA,KRC Genk,Jupiler_ProLeague,65.0,andizeqiri_SWI
Cheikh Sabaly,FW,Left_Winger,26,Senegal,CAF,FC Metz,Ligue1,65.0,cheikhsabaly_SEN
Nobel Mendy,DF,Centre_Back,20,Senegal,CAF,Real Betis Balompié,LaLiga,65.0,nobelmendy_SEN
Cristian Roldan,MF,Central_Midfielder,30,United States,CONCACAF,Seattle Sounders FC,MLS,65.0,cristianroldan_UNI
Griffin Yow,FW,Right_Winger,22,United States,CONCACAF,KVC Westerlo,Jupiler_ProLeague,65.0,griffinyow_UNI
Anastasios Bakasetas,MF,Attacking_Midfielder,32,Greece,UEFA,Panathinaikos FC,SuperLeague1,65.0,anastasiosbakasetas_GRE
Robert Ljubicic,MF,Central_Midfielder,26,Croatia,UEFA,AEK Athens,SuperLeague1,65.0,robertljubicic_CRO
Harold Moukoudi,DF,Centre_Back,27,Cameroon,CAF,AEK Athens,SuperLeague1,65.0,haroldmoukoudi_CAM
Niko Sigur,MF,Defensive_Midfielder,21,Canada,CONCACAF,HNK Hajduk Split,SuperSport_HNL,65.0,nikosigur_CAN
Kyle Walker,DF,Right_Back,35,England,UEFA,Burnley FC,PremierLeague,65.0,kylewalker_ENG
Joselu,FW,Striker,35,Spain,UEFA,Al-Gharafa SC,QSL,65.0,joselu_SPA
Marcus Linday,MF,Central_Midfielder,22,Sweden,UEFA,SC Heerenveen,Eredivisie,65.0,marcuslinday_SWE
Kanya Fujimoto,MF,Attacking_Midfielder,26,Japan,AFC,Birmingham City,Championship,65.0,kanyafujimoto_JAP
Wessam Abou Ali,FW,Striker,26,Palestine,AFC,Columbus Crew,MLS,65.0,wessamabouali_PAL
Allahyar Sayyadmanesh,FW,Left_Winger,24,Iran,AFC,KVC Westerlo,Jupiler_ProLeague,65.0,allahyarsayyadmanesh_IRA
Koki Saito,FW,Left_Winger,23,Japan,AFC,Lommel SK,Other_leagues,65.0,kokisaito_JAP
Kieran Trippier,DF,Right_Back,34,England,UEFA,Newcastle United,PremierLeague,65.0,kierantrippier_ENG
Glauber,DF,Centre_Back,25,United Arab Emirates,AFC,Al-Nasr SC (UAE),UAE_ProLeague,65.0,glauber_UNI
Liam Scales,DF,Centre_Back,26,Ireland,UEFA,Celtic FC,Scottish_Premiership,65.0,liamscales_IRE
John Souttar,DF,Centre_Back,28,Scotland,UEFA,Rangers FC,Scottish_Premiership,65.0,johnsouttar_SCO
Cyriel Dessers,FW,Striker,30,Nigeria,CAF,Rangers FC,Scottish_Premiership,65.0,cyrieldessers_NIG
Kaan Ayhan,DF,Centre_Back,30,Turkey,UEFA,Galatasaray,SuperLig,65.0,kaanayhan_TUR
Amadou Kone,MF,Defensive_Midfielder,20,Cote d'Ivoire,CAF,NEOM SC,Saudi_ProLeague,65.0,amadoukone_COT
Ayman El Wafi,DF,Centre_Back,21,Morocco,CAF,FC Lugano,Swiss_SuperLeague,65.0,aymanelwafi_MOR
Peter Olayinka,FW,Left_Winger,29,Nigeria,CAF,Red Star Belgrade,Superliga_Srbjie,65.0,peterolayinka_NIG
Junior Diaz,DF,Centre_Back,22,Cote d'Ivoire,CAF,Stade Brestois 29,Ligue1,65.0,juniordiaz_COT
Mario Dorgeles,MF,Central_Midfielder,20,Cote d'Ivoire,CAF,SC Braga,Liga_Portugal,65.0,mariodorgeles_COT
Kevin Boma,DF,Centre_Back,22,Togo,CAF,GD Estoril Praia,Liga_Portugal,65.0,kevinboma_TOG
Danny Namaso,FW,Striker,24,Cameroon,CAF,FC Porto,Liga_Portugal,65.0,dannynamaso_CAM
Oussama Targhalline,MF,Defensive_Midfielder,23,Morocco,CAF,Feyenoord Rotterdam,Eredivisie,65.0,oussamatarghalline_MOR
Morgan Guilavogui,FW,Right_Winger,27,Guinea,CAF,RC Lens,Ligue1,65.0,morganguilavogui_GUI
Gabriel Batista,GK,Goalkeeper,27,Brazil,CONMEBOL,CD Santa Clara,Liga_Portugal,65.0,gabrielbatista_BRA
Jaydee Canvot,DF,Centre_Back,18,France,UEFA,FC Toulouse,Ligue1,65.0,jaydeecanvot_FRA
Mohamed Belhadj Mahmoud,MF,Defensive_Midfielder,25,Tunisia,CAF,FC Lugano,Swiss_SuperLeague,65.0,mohamedbelhadjmahmoud_TUN
Edmund Baidoo,FW,Right_Winger,19,Ghana,CAF,Red Bull Salzburg,Austria_Bundesliga,65.0,edmundbaidoo_GHA
Emam Ashour,MF,Central_Midfielder,27,Egypt,CAF,Al Ahly FC,Saudi_ProLeague,65.0,emamashour_EGY
Ousseynou Niang,FW,Left_Winger,23,Senegal,CAF,Union Saint-Gilloise,Jupiler_ProLeague,65.0,ousseynouniang_SEN
Chidera Ejuke,FW,Left_Winger,27,Nigeria,CAF,Sevilla FC,LaLiga,65.0,chideraejuke_NIG
Lassine Sinayoko,FW,Striker,25,Mali,CAF,AJ Auxerre,Ligue1,65.0,lassinesinayoko_MAL
Vakoun Bayo,FW,Striker,28,Cote d'Ivoire,CAF,Udinese Calcio,Serie_A,65.0,vakounbayo_COT
Couhaib Driouech,FW,Left_Winger,23,Morocco,CAF,PSV Eindhoven,Eredivisie,65.0,couhaibdriouech_MOR
Abdoulaye Ndiaye,DF,Centre_Back,23,Senegal,CAF,ESTAC Troyes,Ligue2,65.0,abdoulayendiaye_SEN
Ilay Camara,MF,Side_Midfielder,22,Senegal,CAF,RSC Anderlecht,Jupiler_ProLeague,65.0,ilaycamara_SEN
Afimico Pululu,FW,Striker,26,Congo,CAF,Jagiellonia Bialystok,Ekstraklasa,65.0,afimicopululu_CON
Jordan Torunarigha,DF,Centre_Back,27,Nigeria,CAF,Hamburger SV,Bundesliga,65.0,jordantorunarigha_NIG
Gideon Mensah,DF,Left_Back,27,Ghana,CAF,AJ Auxerre,Ligue1,65.0,gideonmensah_GHA
Lassina Traore,FW,Striker,24,Burkina Faso,CAF,Shakhtar Donetsk,Ukrainian_PremierLeague,65.0,lassinatraore_BUR
Papa Amadou Diallo,FW,Left_Winger,21,Senegal,CAF,Norwich City,Championship,65.0,papaamadoudiallo_SEN
