name,nation,club,position,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Identifier
Harlee Dean,England,Reading,CB,64,49,33,45,53,62,72,harleedean_ENG
Max Dean,England,KAA Gent,ST,64,70,64,50,62,26,68,maxdean_ENG
Patrickson Delgado,Ecuador,FC Dallas,CM,64,59,54,56,64,62,63,patricksondelgado_ECU
Cheick Diabate,England,Bradford City,CB,64,71,30,43,55,62,72,cheickdiabate_ENG
Souleymane Diaby,Cote d'Ivoire,FC Winterthur,LB,64,70,51,56,65,59,63,souleymanediaby_COT
Mamadou Diakhon,France,Stade de Reims,RM,64,75,59,57,68,32,48,mamadoudiakhon_FRA
Ibrahim Diakite,Guinea,Cercle Brugge,RB,64,77,42,51,62,61,66,ibrahimdiakite_GUI
Jack Diamond,England,Stockport,LW,64,88,58,55,65,34,58,jackdiamond_ENG
Leandro Diaz,Chile,Huachipato,LB,64,74,39,54,62,58,57,leandrodiaz_CHI
Junior Diaz,France,ESTAC Troyes,CB,64,77,29,48,49,64,62,juniordiaz_FRA
Florian Dietz,Germany,1. FC Köln,ST,64,73,62,43,57,25,71,floriandietz_GER
Paul Digby,England,Cambridge Utd,CDM,64,42,52,58,56,62,79,pauldigby_ENG
Noah Diliberto,France,Widzew Łódź,CM,64,67,47,65,68,52,53,noahdiliberto_FRA
Deniz Dilmen,Turkey,Başakşehir,GK,64,65,64,57,67,22,59,denizdilmen_TUR
Ding Haifeng,China,Henan FC,LB,64,80,52,60,65,56,64,dinghaifeng_CHI
Mouhamed Diop,Senegal,ESTAC Troyes,CM,64,69,54,58,66,52,60,mouhameddiop_SEN
Maximilian Dittgen,Germany,FC Ingolstadt 04,ST,64,76,59,56,65,51,70,maximiliandittgen_GER
Elijah Dixon-Bonner,England,QPR,CM,64,60,54,62,66,58,60,elijahdixon-bonner_ENG
Alexis Dominguez,Argentina,Barracas Central,ST,64,60,63,54,54,27,72,alexisdominguez_ARG
Kyliane Dong,France,ESTAC Troyes,RM,64,71,61,56,68,23,46,kylianedong_FRA
Dong Chunyu,China,Zhejiang Pro,GK,64,64,64,63,63,43,65,dongchunyu_CHI
Jamie Donley,England,Leyton Orient,MOC,64,66,60,60,64,35,54,jamiedonley_ENG
Liam Donnelly,Northern Ireland,Kilmarnock,CM,64,59,65,60,64,64,69,liamdonnelly_NOR
Patrick Dorgu,Denmark,Lecce,LB,64,78,50,54,67,57,48,patrickdorgu_DEN
Jeriel Dorsett,Montserrat,Reading,CB,64,71,26,50,57,62,76,jerieldorsett_MON
Griffin Dorsey,United States,Houston Dynamo,RB,64,76,55,61,66,57,67,griffindorsey_UNI
Renato Junior,Brazil,Viborg FF,ST,64,64,62,47,63,27,70,renatojunior_BRA
Moussa Doumbouya,Guinea,Rot-Weiss Essen,ST,64,74,62,46,64,19,66,moussadoumbouya_GUI
Milos Drincic,Montenegro,Kerala Blasters,CB,64,53,38,43,43,66,71,milosdrincic_MON
Moyita,Spain,CD Castellón,MOC,64,72,63,61,66,45,55,moyita_SPA
Andrei Dumiter,Romania,UTA Arad,ST,64,81,64,55,65,38,67,andreidumiter_ROM
Lucian Dumitriu,Romania,FC Petrolul,CM,64,72,61,63,64,55,68,luciandumitriu_ROM
Jakob Maslo Dunsby,Norway,Sandefjord,RW,64,78,57,58,66,28,63,jakobmaslodunsby_NOR
Cosmin Dur-Bozoanca,Romania,SC Oțelul Galați,GK,64,62,63,63,66,40,65,cosmindur-bozoanca_ROM
Luca Durholtz,Germany,SV Elversberg,CM,64,64,53,61,67,59,62,lucadurholtz_GER
Dylan Durivaux,France,Red Star FC,RB,64,85,41,50,57,57,72,dylandurivaux_FRA
Xavier Dziekonski,Poland,Korona Kielce,GK,64,64,64,63,67,32,62,xavierdziekonski_POL
George Earthy,England,Bristol City,MOC,64,67,58,61,67,38,47,georgeearthy_ENG
Simon Eastwood,England,Oxford United,GK,64,64,64,63,64,50,64,simoneastwood_ENG
Tom Eaves,England,Northampton,ST,64,49,65,46,59,37,77,tomeaves_ENG
Michael Eberwein,Germany,B. Dortmund II,MOC,64,71,63,60,64,34,72,michaeleberwein_GER
Eskil Edh,Norway,AIK,RB,64,80,50,56,63,58,62,eskiledh_NOR
Rarmani Edmonds-Green,England,Charlton Ath,CB,64,68,31,54,58,62,72,rarmaniedmonds-green_ENG
Tayo Edun,England,Charlton Ath,LB,64,74,44,57,63,60,65,tayoedun_ENG
Curtis Edwards,England,Notts County,CM,64,47,62,65,64,57,67,curtisedwards_ENG
Ryan Edwards,England,Chennaiyin FC,CB,64,44,35,43,43,64,72,ryanedwards_ENG
Tom Edwards,England,Salford City,RB,64,55,46,62,62,62,74,tomedwards_ENG
Malamine Efekele,France,Cercle Brugge,RM,64,86,63,55,67,19,50,malamineefekele_FRA
Egiluz,Spain,CD Mirandés,CB,64,54,40,45,45,62,71,egiluz_SPA
Kelvin Ehibhatiomhan,England,Reading,ST,64,75,63,43,62,19,66,kelvinehibhatiomhan_ENG
Kevin Ehlers,Germany,Braunschweig,CB,64,63,29,50,52,64,68,kevinehlers_GER
Thomas Eisfeld,Germany,Rot-Weiss Essen,CM,64,62,65,67,67,41,57,thomaseisfeld_GER
Mourad Daoudi El Ghezouani,Morocco,Elche CF,ST,64,51,64,53,62,24,69,mouraddaoudielghezouani_MOR
Hamza El Kaouakibi,Morocco,Südtirol,RB,64,69,42,52,61,61,66,hamzaelkaouakibi_MOR
Rodney Elongo-Yombo,Germany,B. Dortmund II,ST,64,79,59,57,68,41,71,rodneyelongo-yombo_GER
Xian Emmers,Belgium,FC Rapid 1923,CM,64,70,57,63,65,58,65,xianemmers_BEL
Marcel Engelhardt,Germany,Holstein Kiel,GK,64,69,58,61,67,46,64,marcelengelhardt_GER
Ramon Enriquez,Spain,Málaga CF,CM,64,66,61,64,62,58,64,ramonenriquez_SPA
Matthieu Epolo,Belgium,Standard Liège,GK,64,66,65,59,66,32,59,matthieuepolo_BEL
Anton Eriksson,Sweden,IFK Norrköping,CB,64,54,32,49,44,63,67,antoneriksson_SWE
Carlos Nino Espinola,Paraguay,Olimpia,RB,64,78,34,50,54,62,65,carlosninoespinola_PAR
Romain Esse,England,Millwall,RM,64,73,53,59,68,47,56,romainesse_ENG
Joao Tome,Portugal,Rio Ave FC,RB,64,69,42,54,61,60,63,joaotome_POR
Pascal Estrada,Austria,SCR Altach,CB,64,60,43,52,56,64,68,pascalestrada_AUS
Sultan Farhan,Saudi Arabia,Al Taawoun,CDM,64,63,42,51,57,61,78,sultanfarhan_SAU
Angel Faria,Venezuela,Rayo Zuliano,RB,64,66,41,57,61,62,56,angelfaria_VEN
Chico Lamba,Portugal,Arouca,CB,64,66,43,48,56,63,70,chicolamba_POR
Paul Farman,England,Barrow,GK,64,64,58,64,65,43,65,paulfarman_ENG
Priestley Farquharson,England,Walsall,CB,64,63,33,38,42,62,79,priestleyfarquharson_ENG
Costantino Favasuli,Italy,Bari,CM,64,61,55,64,64,59,55,costantinofavasuli_ITA
Morgan Feeney,England,Shrewsbury,CB,64,66,34,41,42,62,79,morganfeeney_ENG
Kevin Felida,Curacao,RKC Waalwijk,CDM,64,64,48,57,61,61,67,kevinfelida_CUR
Joel Felix,Denmark,Arminia Bielefeld,CB,64,50,39,48,50,64,70,joelfelix_DEN
Gustavo Fernandez,Argentina,Dep. Riestra,ST,64,69,61,58,64,29,63,gustavofernandez_ARG
Brian Ferrares,Uruguay,Cerro Largo,CB,64,61,23,50,33,67,64,brianferrares_URU
Nacho Ferri,Spain,KV Kortrijk,ST,64,69,65,49,57,27,66,nachoferri_SPA
Jayden Fevrier,England,Stockport,RW,64,91,55,56,65,51,78,jaydenfevrier_ENG
Sebastian Figueredo,Uruguay,Wanderers,RB,64,71,41,54,54,61,63,sebastianfigueredo_URU
Bradley Fink,Switzerland,FC Basel 1893,ST,64,73,59,44,60,30,75,bradleyfink_SWI
Lewis Fiorini,Scotland,Stockport,CM,64,67,59,60,66,55,59,lewisfiorini_SCO
Jack Fitzwater,England,Exeter City,CB,64,65,37,48,54,64,69,jackfitzwater_ENG
Tom Flanagan,Northern Ireland,Colchester,CB,64,43,34,49,47,63,77,tomflanagan_NOR
Brandon Fleming,England,Doncaster,LB,64,73,36,57,64,60,57,brandonfleming_ENG
Josh Flint,England,Crawley Town,CB,64,75,44,56,60,64,66,joshflint_ENG
Francisco Flores,Argentina,Atlético Tucumán,CB,64,67,36,56,59,62,74,franciscoflores_ARG
Mariusz Fornalczyk,Poland,Korona Kielce,RM,64,88,50,50,71,27,52,mariuszfornalczyk_POL
Ian Forns,Spain,Burgos CF,LB,64,83,53,57,65,57,59,ianforns_SPA
Will Forrester,England,Bolton,CB,64,56,24,47,56,63,71,willforrester_ENG
Jake Forster-Caskey,England,Stevenage,CM,64,62,60,65,65,57,63,jakeforster-caskey_ENG
Antonio Foti,Cyprus,B. Dortmund II,MOC,64,68,60,60,67,52,55,antoniofoti_CYP
Guillaume Francois,Belgium,R. Union St.-G.,RB,64,60,57,61,66,63,63,guillaumefrancois_BEL
Ivan Franjic,Croatia,Wehen Wiesbaden,MOC,64,68,58,62,65,29,55,ivanfranjic_CRO
Liam Fraser,Canada,FC Dallas,CDM,64,60,35,59,59,61,74,liamfraser_CAN
Nick Freeman,England,Stevenage,CM,64,71,57,62,66,54,59,nickfreeman_ENG
Lewis Freestone,England,Stevenage,CB,64,75,33,50,58,62,76,lewisfreestone_ENG
Toni Fuidias,Spain,FC Cartagena,GK,64,65,64,62,63,30,63,tonifuidias_SPA
James Furlong,Ireland,AFC Wimbledon,LB,64,67,32,59,62,60,55,jamesfurlong_IRE
Ethan Galbraith,Northern Ireland,Leyton Orient,MOC,64,72,59,62,66,61,60,ethangalbraith_NOR
Pedro Galindo,Bolivia,Real Tomayapo,GK,64,67,65,62,63,46,61,pedrogalindo_BOL
Jon Gallagher,Ireland,Austin FC,RB,64,78,58,59,64,55,61,jongallagher_IRE
Braian Galvan,Argentina,Banfield,RM,64,79,57,58,68,43,58,braiangalvan_ARG
Marco Gantschnig,Austria,Grazer AK,CB,64,54,46,51,56,64,63,marcogantschnig_AUS
Matthew Garbett,New Zealand,NAC Breda,MOC,64,73,60,61,66,51,66,matthewgarbett_NEW
Luke Garbutt,England,Salford City,LB,64,67,53,62,60,61,64,lukegarbutt_ENG
Naim Garcia,Spain,CD Leganés,RM,64,60,63,60,68,33,50,naimgarcia_SPA
Luka Gavran,Canada,Toronto FC,GK,64,64,66,66,63,28,62,lukagavran_CAN
Timur Gayret,Germany,SC Verl,MOC,64,69,58,59,66,42,57,timurgayret_GER
Simon Gefvert,Sweden,Västerås SK,RB,64,78,53,60,64,55,65,simongefvert_SWE
Gelardo,Spain,Racing de Ferrol,CM,64,64,56,63,64,51,55,gelardo_SPA
Georgie Gent,England,Barnsley,LB,64,85,48,58,64,55,57,georgiegent_ENG
Tyrique George,England,Chelsea,LM,64,81,62,58,68,32,52,tyriquegeorge_ENG
Alberto Gerbo,Italy,SS Juve Stabia,CM,64,78,52,63,70,50,62,albertogerbo_ITA
Alex Gersbach,Australia,Kalmar FF,LB,64,82,35,55,61,57,73,alexgersbach_AUS
Thomas Geyer,Germany,SSV Ulm 1846,CB,64,66,25,44,54,65,67,thomasgeyer_GER
Ion Gheorghe,Romania,FC Gloria Buzău,LM,64,84,58,60,64,44,60,iongheorghe_ROM
Simone Ghidotti,Italy,Sampdoria,GK,64,66,64,59,64,35,63,simoneghidotti_ITA
Oscar Gil,Spain,CD Castellón,CB,64,46,43,57,53,64,66,oscargil_SPA
Nestor Gimenez,Paraguay,Libertad,LB,64,71,34,52,57,60,59,nestorgimenez_PAR
Andrea Giorgini,Italy,Südtirol,CB,64,58,28,51,56,62,75,andreagiorgini_ITA
Edvinas Girdvainis,Lithuania,SV Sandhausen,CB,64,54,25,48,43,62,73,edvinasgirdvainis_LIT
Ian Glavinovich,Argentina,Newell's,CB,64,63,32,53,53,66,62,ianglavinovich_ARG
Michael Gluck,Austria,VfB Stuttgart II,CB,64,62,27,43,50,64,66,michaelgluck_AUS
Marcus Godinho,Canada,Korona Kielce,LB,64,75,31,55,68,57,65,marcusgodinho_CAN
Fernando Godoy,Argentina,Sarmiento,CM,64,58,55,62,63,64,68,fernandogodoy_ARG
Alan Godoy,Spain,CD Eldense,ST,64,74,62,48,68,31,60,alangodoy_SPA
Udoka Godwin-Malife,England,Burton Albion,CB,64,81,32,53,59,61,75,udokagodwin-malife_ENG
Alex Gogic,Cyprus,St. Mirren,CB,64,46,45,51,52,62,77,alexgogic_CYP
Nicolas Goitea,Argentina,Delfín SC,CB,64,57,24,42,51,66,62,nicolasgoitea_ARG
Luka Gojkovic,Serbia,FC Rapid 1923,MOC,64,69,56,64,66,33,54,lukagojkovic_SER
Julian Golles,Austria,Blau-Weiss Linz,RB,64,74,54,54,58,61,69,juliangolles_AUS
David Tavares,Cabo Verde,FC Gloria Buzău,CM,64,72,56,59,67,59,74,davidtavares_CAB
Erick Gonzales,Peru,Dep. Garcilaso,CDM,64,59,32,56,52,59,69,erickgonzales_PER
David Gonzalez,Argentina,Racing Club,CM,64,64,54,65,67,48,51,davidgonzalez_ARG
Brian Gonzalez,Uruguay,Cerro Largo,RM,64,75,61,61,65,37,57,briangonzalez_URU
Diego Gonzalez,Spain,SD Huesca,CB,64,61,42,54,56,65,63,diegogonzalez_SPA
Nono,Spain,Korona Kielce,CM,64,79,67,66,68,41,59,nono_SPA
Will Goodwin,England,Oxford United,ST,64,70,61,46,62,28,74,willgoodwin_ENG
Tristan Gooijer,Netherlands,PEC Zwolle,RB,64,73,38,52,64,61,67,tristangooijer_NET
Anthony Gordillo,Peru,Dep. Garcilaso,LB,64,63,29,50,55,62,56,anthonygordillo_PER
Liam Gordon,Scotland,Motherwell,CB,64,43,28,41,46,63,77,liamgordon_SCO
Luis Antonio Gorocito,Uruguay,Racing Club,ST,64,55,68,38,59,21,70,luisantoniogorocito_URU
Viktor Granath,Sweden,Västerås SK,ST,64,60,66,47,56,27,70,viktorgranath_SWE
Rhyan Grant,Australia,Sydney FC,RB,64,66,56,60,62,59,81,rhyangrant_AUS
Conor Grant,England,Port Vale,LB,64,66,58,61,63,59,67,conorgrant_ENG
Christoph Greger,Germany,Viktoria Köln,CB,64,53,28,37,40,64,74,christophgreger_GER
Fabian Greilinger,Germany,Wehen Wiesbaden,LB,64,81,47,55,68,54,61,fabiangreilinger_GER
Daniel Leo Gretarsson,Iceland,Sønderjyske,CB,64,66,52,58,59,64,70,danielleogretarsson_ICE
Josh Griffiths,England,Bristol Rovers,GK,64,65,62,61,66,30,62,joshgriffiths_ENG
Will Grigg,Northern Ireland,Chesterfield,ST,64,63,64,49,62,32,64,willgrigg_NOR
Maximilian Grosser,Germany,Arminia Bielefeld,CB,64,51,34,53,51,62,75,maximiliangrosser_GER
Emin Grozdanic,Sweden,IFK Värnamo,CB,64,56,30,52,56,63,68,emingrozdanic_SWE
Fabio Gruber,Germany,SC Verl,CB,64,61,28,46,48,64,69,fabiogruber_GER
Zsombor Gruber,Hungary,Ferencvárosi TC,ST,64,67,65,51,62,20,56,zsomborgruber_HUN
Sveinn Aron Gudjohnsen,Iceland,Sarpsborg 08,ST,64,40,64,47,62,33,72,sveinnarongudjohnsen_ICE
Saulo Guerra,Bolivia,Nacional Potosí,RM,64,68,56,62,63,59,59,sauloguerra_BOL
Matthew Guillaumier,Malta,Stal Mielec,CDM,64,67,59,64,64,60,67,matthewguillaumier_MAL
Thomas Gundelund,Denmark,Vejle Boldklub,RB,64,71,41,57,62,60,60,thomasgundelund_DEN
Niklas Gunnarsson,Norway,Yverdon Sport FC,CB,64,52,49,55,56,62,76,niklasgunnarsson_NOR
Thomas Gutierrez,Venezuela,S. Ameliano,CB,64,61,35,52,49,64,65,thomasgutierrez_VEN
Jean Gutierrez,Venezuela,Dep. Táchira,CB,64,53,25,44,46,64,67,jeangutierrez_VEN
Leon Guwara,Gambia,FC Ingolstadt 04,LB,64,80,39,54,64,60,69,leonguwara_GAM
Callum Guy,England,Carlisle United,CDM,64,66,54,63,62,60,68,callumguy_ENG
Nicholas Hagen,Guatemala,Columbus Crew,GK,64,64,61,60,64,32,63,nicholashagen_GUA
Jetmir Haliti,Kosovo,Jagiellonia,CB,64,89,31,47,61,63,70,jetmirhaliti_KOS
Dan Happe,England,Leyton Orient,CB,64,54,28,44,46,63,81,danhappe_ENG
Vincent Harper,Kenya,Exeter City,LB,64,90,45,55,66,55,74,vincentharper_KEN
Shayon Harrison,England,Politehnica Iași,ST,64,87,62,45,66,22,60,shayonharrison_ENG
Alex Hartridge,England,Wycombe,CB,64,70,28,50,54,63,75,alexhartridge_ENG
Daniel Harvie,Scotland,Wycombe,LB,64,75,46,56,61,57,70,danielharvie_SCO
Ajdin Hasic,Bosnia-Herzegovina,Cracovia,RM,64,78,59,61,72,38,41,ajdinhasic_BOS
Jesse Hautier,Switzerland,Yverdon Sport FC,RM,64,60,54,60,65,30,55,jessehautier_SWI
Lucien Hawryluk,Germany,SV Waldhof,GK,64,64,64,63,67,28,62,lucienhawryluk_GER
Zakaria Hawsawi,Saudi Arabia,Al Raed,LB,64,91,34,51,71,55,63,zakariahawsawi_SAU
Aaron Hayden,England,Carlisle United,CB,64,64,30,44,52,62,75,aaronhayden_ENG
Justin Heekeren,Germany,FC Schalke 04,GK,64,64,62,68,66,39,63,justinheekeren_GER
Melker Heier,Sweden,IK Sirius,RW,64,73,62,59,66,52,63,melkerheier_SWE
Karl Hein,Estonia,R. Valladolid CF,GK,64,61,63,56,66,35,64,karlhein_EST
Mark Helm,England,Fleetwood Town,MOC,64,70,60,61,66,50,57,markhelm_ENG
Zach Hemming,England,Leyton Orient,GK,64,65,64,61,63,28,64,zachhemming_ENG
Callum Hendry,Scotland,MK Dons,ST,64,73,63,55,65,31,72,callumhendry_SCO
Ben Heneghan,England,Port Vale,CB,64,43,28,42,42,63,74,benheneghan_ENG
Heo Yul,"Korea, South",GwangJu FC,CB,64,82,60,43,58,60,76,heoyul_KOR
Geronimo Heredia,Argentina,Belgrano,RB,64,75,43,54,58,59,62,geronimoheredia_ARG
Jose Manuel Hernandez,Venezuela,Caracas FC,RM,64,71,62,61,65,38,59,josemanuelhernandez_VEN
Ronald Hernandez,Venezuela,Atlanta United,RB,64,82,33,52,61,59,65,ronaldhernandez_VEN
Simen Hestnes,Norway,KFUM-Kameratene,CM,64,72,52,62,64,54,68,simenhestnes_NOR
Santiago Hidalgo,Argentina,Independiente,ST,64,77,63,56,66,33,48,santiagohidalgo_ARG
Ben Hinchliffe,England,Stockport,GK,64,65,60,62,66,40,65,benhinchliffe_ENG
Otto Hindrich,Romania,CFR 1907 Cluj,GK,64,64,63,54,65,26,63,ottohindrich_ROM
Brendan Hines-Ike,United States,Austin FC,CB,64,53,53,54,58,64,73,brendanhines-ike_UNI
Patrick Hoban,Ireland,Derry City,ST,64,51,64,52,59,38,72,patrickhoban_IRE
Joe Hodge,Ireland,Huddersfield,CDM,64,66,53,61,65,59,60,joehodge_IRE
Jonas Hofmann,Germany,Energie Cottbus,CM,64,68,52,64,65,61,57,jonashofmann_GER
Kasper Hogh,Denmark,FK Bodø/Glimt,ST,64,77,62,50,62,28,64,kasperhogh_DEN
Oscar Hojlund,Denmark,Frankfurt,CM,64,74,56,60,66,61,66,oscarhojlund_DEN
Odin Thiago Holm,Norway,Celtic,CM,64,78,55,64,64,55,59,odinthiagoholm_NOR
Dinko Horkas,Croatia,UD Las Palmas,GK,64,64,61,61,66,48,62,dinkohorkas_CRO
Hormigo,Spain,Sevilla FC,LB,64,67,26,53,51,62,57,hormigo_SPA
Santeri Hostikka,Finland,HJK Helsinki,LW,64,77,56,61,66,34,59,santerihostikka_FIN
Marco Huaman,Peru,Alianza Lima,RW,64,70,62,60,65,59,54,marcohuaman_PER
Muharem Huskovic,Austria,FK Austria Wien,ST,64,73,62,57,69,20,57,muharemhuskovic_AUS
Isaac Hutchinson,England,Bristol Rovers,CM,64,72,61,64,66,52,67,isaachutchinson_ENG
Gabriel Iancu,Romania,Farul Constanța,ST,64,63,66,67,67,32,58,gabrieliancu_ROM
Franco Ibarra,Argentina,Rosario Central,CDM,64,67,45,55,59,65,64,francoibarra_ARG
Christopher Ibayi,Congo,AC Ajaccio,ST,64,62,65,48,60,26,66,christopheribayi_CON
Sunusi Ibrahim,Nigeria,CF Montréal,ST,64,86,60,53,64,23,70,sunusiibrahim_NIG
Emirhan Ilkhan,Turkey,Torino,CM,64,66,58,63,70,50,48,emirhanilkhan_TUR
Tomoki Imai,Japan,Western United,CB,64,57,24,48,55,62,77,tomokiimai_JAP
Sandro Ingolitsch,Austria,SCR Altach,RB,64,71,41,58,62,61,65,sandroingolitsch_AUS
Jack Iredale,Australia,Hibernian,CB,64,72,43,56,58,61,74,jackiredale_AUS
Joe Ironside,England,Doncaster,ST,64,67,63,50,59,41,82,joeironside_ENG
Aziel Jackson,United States,Columbus Crew,MOC,64,77,57,57,71,33,51,azieljackson_UNI
Damian Jakubik,Poland,Radomiak Radom,RB,64,76,32,54,50,60,71,damianjakubik_POL
Jeremias James,Argentina,Dep. Riestra,CB,64,44,33,40,43,64,70,jeremiasjames_ARG
Alexandre Jankewitz,Switzerland,FC Winterthur,CDM,64,68,57,61,66,58,71,alexandrejankewitz_SWI
Mohamed Jaouab,Morocco,Amiens SC,CB,64,57,29,42,51,64,65,mohamedjaouab_MOR
Pawel Jaroszynski,Poland,Salernitana,LM,64,63,53,63,63,64,71,paweljaroszynski_POL
Seedy Jatta,Norway,SK Sturm Graz,ST,64,81,61,46,66,26,67,seedyjatta_NOR
Jauregizar,Spain,Athletic Club,CM,64,60,55,57,62,56,57,jauregizar_SPA
Mehdi Jeannin,Algeria,Pau FC,GK,64,66,62,65,66,49,61,mehdijeannin_ALG
Keegan Jelacic,Australia,Brisbane Roar,LM,64,74,57,60,65,54,69,keeganjelacic_AUS
Fredrik Oldrup Jensen,Norway,NAC Breda,CDM,64,50,51,57,60,63,70,fredrikoldrupjensen_NOR
Kevin Jensen,Sweden,Kalmar FF,LW,64,76,60,59,67,20,47,kevinjensen_SWE
Anders Finjord Jenssen,Norway,Tromsø IL,CB,64,50,32,46,48,63,74,andersfinjordjenssen_NOR
Jeong Woo Jae,"Korea, South",Jeonbuk Hyundai,LB,64,73,59,60,66,59,71,jeongwoojae_KOR
Ji Dong Won,"Korea, South",Suwon FC,ST,64,52,64,56,60,40,67,jidongwon_KOR
Jian Tao,China,Rongcheng FC,GK,64,60,67,57,69,19,64,jiantao_CHI
Joao Magno,Brazil,GwangJu FC,ST,64,68,65,44,56,28,81,joaomagno_BRA
Marcel Johnen,Germany,Aleman. Aachen,GK,64,68,60,64,68,27,59,marceljohnen_GER
Callum Johnson,England,Bradford City,RB,64,73,45,57,60,60,71,callumjohnson_ENG
Max Johnston,Scotland,SK Sturm Graz,RB,64,81,36,58,60,57,64,maxjohnston_SCO
Jamie Jones,England,Salford City,GK,64,64,63,66,64,34,64,jamiejones_ENG
Antonio Jonjic,Germany,FC Hansa Rostock,ST,64,76,62,57,69,31,64,antoniojonjic_GER
Vidar Ari Jonsson,Iceland,HamKam Fotball,RW,64,80,56,59,63,60,66,vidararijonsson_ICE
Filip Jorgensen,Norway,Odds BK,CM,64,73,55,60,67,57,64,filipjorgensen_NOR
Marcelo Jorquera,Chile,Cobresal,LB,64,73,39,59,63,58,70,marcelojorquera_CHI
Jorquera,Spain,CD Eldense,LM,64,70,53,61,64,28,51,jorquera_SPA
Kyle Joseph,Scotland,Blackpool,ST,64,75,62,53,65,23,60,kylejoseph_SCO
Andreas Jungdal,Denmark,Cremonese,GK,64,67,61,57,67,23,63,andreasjungdal_DEN
Elton Kabangu,Belgium,R. Union St.-G.,ST,64,77,62,60,68,33,52,eltonkabangu_BEL
Sullay Kaikai,Sierra Leone,Cambridge Utd,RM,64,82,61,60,66,48,52,sullaykaikai_SIE
Sherif Kallaku,Albania,Sepsi OSK,MOC,64,69,60,62,65,36,44,sherifkallaku_ALB
Brent Kallman,United States,Nashville SC,CB,64,46,39,49,37,63,76,brentkallman_UNI
Mohammed Kamara,Liberia,CFR 1907 Cluj,LW,64,76,59,56,67,29,64,mohammedkamara_LIB
Krzysztof Kaminski,Poland,Pogoń Szczecin,GK,64,64,61,65,65,36,66,krzysztofkaminski_POL
Bernard Kamungo,United States,FC Dallas,RM,64,77,64,54,67,45,48,bernardkamungo_UNI
Kang Seong Jin,"Korea, South",FC Seoul,RM,64,80,58,53,67,27,57,kangseongjin_KOR
Abdoulaye Kante,Cote d'Ivoire,ESTAC Troyes,CDM,64,63,40,55,60,63,62,abdoulayekante_COT
Juan Cruz Kaprof,Argentina,FC Botoșani,ST,64,76,63,59,63,32,64,juancruzkaprof_ARG
Malte Karbstein,Germany,SV Waldhof,CB,64,61,36,48,51,63,71,maltekarbstein_GER
Gregory Karlen,Switzerland,FC St. Gallen,CM,64,65,64,63,65,57,65,gregorykarlen_SWI
Sander Erik Kartum,Norway,SK Brann,CM,64,73,54,64,66,55,64,sandererikkartum_NOR
Jadel Katongo,England,Peterborough,RB,64,70,36,55,58,61,68,jadelkatongo_ENG
Lars Kehl,Germany,VfL Osnabrück,RW,64,66,61,61,67,39,57,larskehl_GER
Felix Keidel,Germany,FC Ingolstadt 04,CM,64,70,42,63,66,57,59,felixkeidel_GER
Tidiane Keita,France,FC Petrolul,CM,64,70,53,63,64,55,64,tidianekeita_FRA
Kader Keita,Cote d'Ivoire,CFR 1907 Cluj,CDM,64,66,44,56,61,61,71,kaderkeita_COT
Jonas Kersken,Germany,Arminia Bielefeld,GK,64,67,45,66,70,25,67,jonaskersken_GER
Hugo Keto,Finland,Sandefjord,GK,64,65,62,60,64,46,63,hugoketo_FIN
Anan Khalaili,Israel,R. Union St.-G.,RW,64,76,62,56,67,25,59,anankhalaili_ISR
Benji Kikanovic,United States,SJ Earthquakes,LM,64,87,58,49,64,24,63,benjikikanovic_UNI
Alfie Kilgour,England,Mansfield Town,CB,64,64,46,44,52,62,73,alfiekilgour_ENG
Greg Kiltie,Scotland,St. Mirren,LW,64,65,59,60,66,46,61,gregkiltie_SCO
Kim Tae Hyun,"Korea, South",Jeonbuk Hyundai,RB,64,68,48,59,62,57,64,kimtaehyun_KOR
Kim Tae Han,"Korea, South",Suwon FC,CB,64,52,21,34,32,66,71,kimtaehan_KOR
Kim Jin Ya,"Korea, South",FC Seoul,RB,64,81,53,58,64,56,63,kimjinya_KOR
Kim Min Hyeok,"Korea, South",Ulsan Hyundai,CDM,64,57,59,60,64,56,73,kimminhyeok_KOR
Tom King,Wales,Wolves,GK,64,64,63,61,64,42,63,tomking_WAL
Kristian Kirkegaard,Denmark,Vejle Boldklub,LM,64,75,61,61,64,35,56,kristiankirkegaard_DEN
Pal Alexander Kirkevold,Norway,HamKam Fotball,ST,64,56,64,62,62,33,77,palalexanderkirkevold_NOR
Philipp Klewin,Germany,FC Hansa Rostock,GK,64,63,61,60,64,41,65,philippklewin_GER
Thibault Klidje,Togo,FC Luzern,ST,64,81,63,56,69,26,63,thibaultklidje_TOG
Antoni Klimek,Poland,Widzew Łódź,LW,64,73,58,56,68,51,59,antoniklimek_POL
Jonathan Klinsmann,United States,Cesena,GK,64,64,63,64,65,29,64,jonathanklinsmann_UNI
Ruben Kluivert,Netherlands,Casa Pia AC,CB,64,71,31,44,52,65,63,rubenkluivert_NET
Gabriel Kobylak,Poland,Legia Warszawa,GK,64,63,62,62,66,32,67,gabrielkobylak_POL
Martin Kobylanski,Poland,SV Waldhof,MOC,64,61,66,66,66,36,53,martinkobylanski_POL
Tobias Koch,Austria,Austria Klagenfurt,CM,64,66,54,61,64,59,73,tobiaskoch_AUS
